"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.922,424,98.961,93.247
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.888,556,97.403,91.169
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.864,641,91.346,95.05
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.836,323,98.02,85.577
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.854,40,97.059,88.35
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.844,646,94.175,89.216
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.864,535,97.059,89.32
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.776,369,93.137,84.466
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.863,434,95.146,91.176
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.873,465,96.078,91.262
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.854,263,95.098,90.291
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.766,0,100,0
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.873,722,95.146,92.157
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.824,611,94.175,88.235
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.903,449.5,98.02,92.308
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.805,76,96.078,84.466
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.835,212,93.069,90.385
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.803,343,95.192,85.149
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.844,540,94.059,90.385
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.748,10,92.079,82.692
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.873,328,96.078,91.262
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.825,258,97.059,85.437
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.894,646,95.325,94.026
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.868,586,95.584,91.169
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.902,250,97.115,93.069
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.865,458,97.03,89.423
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.903,510,96.078,94.175
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.844,626,94.175,90.196
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.874,590,99.02,88.35
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.893,417.5,98.039,91.262
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.883,496.5,98.058,90.196
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.873,618,94.118,93.204
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.912,479,98.039,93.204
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.834,384,93.137,89.32
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.922,664,100,92.157
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.882,525,100,87.255
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.923,576,99.01,93.269
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.844,713,91.176,93.204
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.902,687,95.05,95.192
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.862,364,98.077,88.119
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.875,449,99.01,88.462
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.846,551,98.02,86.538
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.893,181,100,89.32
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.893,438,98.039,91.262
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.896,62.5,97.403,92.208
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.873,263,97.403,90.39
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.883,0,100,0
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.814,231,90.099,91.346
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.864,10,96.078,91.262
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.824,217,96.117,86.275
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.835,9,97.059,84.466
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.844,163,97.059,87.379
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.844,33,95.146,89.216
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.854,205,95.098,90.291
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.873,47,95.098,92.233
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.844,118,96.078,88.35
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.814,69.5,93.204,88.235
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.601,4,66.99,93.137
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.903,144,98.02,92.308
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.824,53.5,92.157,90.291
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.903,0,100,0
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.163,0,100,0
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.864,124,94.059,92.308
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.836,170,98.02,85.577
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.785,531,88.235,90.291
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.893,111.5,97.059,92.233
