"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.917,535,99.538,92.171
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.922,475,100,92.217
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.848,152,95.69,89.154
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.88,455,95.763,92.265
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.842,152,94.118,90.046
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.821,71,93.162,88.96
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.838,232,94.915,88.766
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.835,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.873,81,97.436,89.88
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.852,40,96.639,88.571
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.845,40,95.868,88.643
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.866,273,95.763,90.884
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.829,182,93.22,89.687
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.841,61,95.763,88.306
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.868,192,97.414,89.246
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.849,141,95.798,89.124
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.84,101,92.5,91.513
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.757,20,88.983,86.74
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.858,222,96.639,89.124
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.859,182,94.915,90.976
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.88,667,95.843,92.148
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.884,545.5,96.767,91.524
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.876,662,96.552,91.085
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.899,585,98.305,91.621
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.855,343,95.798,89.677
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.854,602,93.277,92.166
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.849,518,94.872,90.064
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.864,605,95.763,90.608
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.848,539,92.373,92.449
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.882,433,97.458,90.7
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.884,470,98.291,90.156
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.876,515,97.479,90.138
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.865,566,95.041,91.505
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.875,407,97.458,90.055
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.843,514,94.915,89.411
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.859,657,94.068,91.805
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.882,655,96.552,91.636
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.892,663,97.479,91.705
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.861,588,95,91.052
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.86,296,99.153,86.832
