"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.764,0.584,0.706,0.793,0.469,0.86,0.784,0.494,0.88,0.765,0.228,0.559,0.534,0.383,0.368,0.315,0.6,0.748,0.749,0.59,0.834,0.269,0.408,0.759,0.004,0,0.592,0.322,0,0.835,0.847,0.412,0.74,0.009,0.643,0.458,0.632,0.734,0.402,0.993,0,0.642,0.918,0.608,0.666,0.752,0.639,0.817,0.059,0.465,0.372,0.643,0.765,0.136,0.239,0.586,0.308,0.478,0.462,0.669,0.474,0.367,0.578,0.401,0.622,0.58
0.299,0,0.084,0.196,0,0.048,0.172,0,0.108,0.006,0.012,0.067,0.239,0.02,0.041,0.227,0,0.08,0.413,0,0.148,0.134,0,0.122,0.011,0,0.064,0.363,0.015,0.006,0.005,0,0.074,0.02,0,0,0.326,0,0.077,0.228,0,0.007,0.359,0,0,0.505,0,0.005,0.382,0.038,0.002,0.307,0,0,0.452,0.022,0.009,0.007,0,0,0.27,0.02,0,0.225,0,0
0.251,0,0.149,0.588,0,0.037,0.358,0,0.101,0.543,0,0.092,0.712,0,0.16,0.405,0.266,0.153,0.264,0.309,0.101,0.583,0,0.157,0.542,0,0.066,0.349,0,0,0.177,0,0.147,0.087,0,0.03,0.15,0,0.016,0.211,0,0.006,0.37,0,0.002,0.333,0,0,0.36,0,0.028,0.235,0,0.019,0.434,0,0.002,0.217,0,0.082,0.29,0,0.012,0.22,0,0.061
0.375,0.023,0.123,0.214,0,0.001,0.36,0.023,0.029,0.382,0,0.063,0.223,0,0.027,0.362,0.24,0.075,0.362,0.083,0.043,0.09,0.011,0.171,0.018,0.162,0.118,0.506,0,0,0.15,0.011,0.132,0.286,0.02,0,0.43,0,0,0.066,0.048,0.027,0.4,0.033,0,0.349,0,0,0.125,0,0.009,0.384,0,0.096,0.354,0,0.073,0.386,0,0,0.089,0,0,0.008,0,0
0.246,0.228,0.295,0.359,0.223,0.05,0.417,0.314,0.087,0.568,0.628,0.269,0.649,0.35,0.536,0.285,0.184,0.194,0.318,0.237,0.085,0.327,0.361,0.135,0.365,0.585,0.306,0.472,0.537,0.087,0.181,0.379,0.226,0.237,0.155,0.155,0.492,0.11,0.125,0,0.452,0.053,0.351,0.192,0.054,0.449,0.186,0.047,0.401,0.296,0.226,0.593,0.062,0.405,0.263,0.201,0.375,0.485,0.237,0.023,0.392,0.381,0.148,0.356,0.145,0.086
0.31,0,0.026,0.382,0,0,0.459,0,0,0.454,0,0.052,0.608,0,0.084,0.263,0,0.038,0.377,0,0.009,0.493,0,0.007,0.377,0.032,0.006,0.439,0,0,0.283,0,0.009,0.225,0,0,0.317,0,0.07,0.248,0,0,0.42,0,0.07,0.142,0,0,0.127,0,0.004,0.247,0,0.003,0.386,0,0,0.439,0,0.001,0.326,0,0.013,0.329,0,0.001
0.07,0,0.014,0.188,0,0.002,0.19,0,0.049,0.472,0,0.085,0.278,0,0.097,0.103,0.053,0.046,0.238,0,0.001,0.264,0,0.028,0.032,0.205,0.212,0.385,0,0,0.059,0,0.04,0.051,0,0.006,0.249,0,0.025,0.023,0,0.007,0.438,0,0.001,0.547,0,0,0.138,0,0.054,0.285,0,0.01,0.126,0,0.01,0.451,0,0.156,0.203,0,0.005,0.398,0,0.045
0.23,0,0.085,0.415,0,0.062,0.45,0,0.1,0.194,0,0.073,0.67,0,0.061,0.209,0,0.102,0.208,0,0.093,0.426,0,0.109,0.069,0,0.046,0.373,0,0,0.044,0,0.111,0.443,0,0,0.433,0,0.051,0.194,0,0.015,0.409,0,0.001,0.409,0,0,0.505,0,0,0.362,0,0.124,0.102,0,0.009,0.38,0,0,0.235,0,0.025,0.467,0,0
0.072,0,0.046,0.205,0,0,0.284,0,0.035,0.758,0,0.02,0.694,0,0,0.054,0,0,0.479,0,0.057,0.719,0,0.032,0.632,0,0.012,0.591,0,0,0.091,0,0,0.197,0,0,0.257,0,0.042,0.26,0,0,0.465,0,0.076,0.41,0,0,0.223,0,0,0.214,0,0,0.479,0,0.048,0.52,0,0.05,0.551,0,0,0.416,0,0.02
0.168,0,0.002,0.181,0,0,0.401,0,0.008,0.391,0,0.017,0.671,0,0.027,0.109,0.07,0,0.371,0,0.001,0.534,0,0.032,0.25,0,0.014,0.504,0.029,0,0.077,0.015,0.029,0.475,0,0.128,0.319,0,0.102,0.236,0,0.12,0.376,0,0.002,0.516,0,0.009,0.484,0,0.008,0.028,0,0.124,0.365,0,0.148,0.524,0,0,0.425,0,0.14,0.453,0,0.008
