"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,626,100,99.96
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.495,990,50,99.519
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.759
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.759
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.497,495,50,99.679
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.981,495,100,98.076
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0,1000,0,99.92
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.987,495,100,98.717
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.998,217,100,99.759
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.978,495,100,97.835
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.97,495,100,97.033
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.983,354,100,98.316
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.996,602,100,99.599
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.99,464,100,98.957
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.994,488,100,99.358
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.993,482,100,99.278
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.985,312,100,98.476
