"rand1.AETOBATUS.OCELLATUS_PA1_RUN1_GLM","rand2.AETOBATUS.OCELLATUS_PA1_RUN1_GLM","rand3.AETOBATUS.OCELLATUS_PA1_RUN1_GLM","rand4.AETOBATUS.OCELLATUS_PA1_RUN1_GLM","rand5.AETOBATUS.OCELLATUS_PA1_RUN1_GLM","rand1.AETOBATUS.OCELLATUS_PA1_RUN1_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_RUN1_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_RUN1_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_RUN1_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_RUN1_MAXENT.Phillips","rand1.AETOBATUS.OCELLATUS_PA1_RUN2_GLM","rand2.AETOBATUS.OCELLATUS_PA1_RUN2_GLM","rand3.AETOBATUS.OCELLATUS_PA1_RUN2_GLM","rand4.AETOBATUS.OCELLATUS_PA1_RUN2_GLM","rand5.AETOBATUS.OCELLATUS_PA1_RUN2_GLM","rand1.AETOBATUS.OCELLATUS_PA1_RUN2_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_RUN2_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_RUN2_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_RUN2_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_RUN2_MAXENT.Phillips","rand1.AETOBATUS.OCELLATUS_PA1_RUN3_GLM","rand2.AETOBATUS.OCELLATUS_PA1_RUN3_GLM","rand3.AETOBATUS.OCELLATUS_PA1_RUN3_GLM","rand4.AETOBATUS.OCELLATUS_PA1_RUN3_GLM","rand5.AETOBATUS.OCELLATUS_PA1_RUN3_GLM","rand1.AETOBATUS.OCELLATUS_PA1_RUN3_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_RUN3_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_RUN3_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_RUN3_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_RUN3_MAXENT.Phillips","rand1.AETOBATUS.OCELLATUS_PA1_RUN4_GLM","rand2.AETOBATUS.OCELLATUS_PA1_RUN4_GLM","rand3.AETOBATUS.OCELLATUS_PA1_RUN4_GLM","rand4.AETOBATUS.OCELLATUS_PA1_RUN4_GLM","rand5.AETOBATUS.OCELLATUS_PA1_RUN4_GLM","rand1.AETOBATUS.OCELLATUS_PA1_RUN4_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_RUN4_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_RUN4_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_RUN4_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_RUN4_MAXENT.Phillips","rand1.AETOBATUS.OCELLATUS_PA1_RUN5_GLM","rand2.AETOBATUS.OCELLATUS_PA1_RUN5_GLM","rand3.AETOBATUS.OCELLATUS_PA1_RUN5_GLM","rand4.AETOBATUS.OCELLATUS_PA1_RUN5_GLM","rand5.AETOBATUS.OCELLATUS_PA1_RUN5_GLM","rand1.AETOBATUS.OCELLATUS_PA1_RUN5_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_RUN5_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_RUN5_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_RUN5_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_RUN5_MAXENT.Phillips","rand1.AETOBATUS.OCELLATUS_PA1_Full_GAM","rand2.AETOBATUS.OCELLATUS_PA1_Full_GAM","rand3.AETOBATUS.OCELLATUS_PA1_Full_GAM","rand4.AETOBATUS.OCELLATUS_PA1_Full_GAM","rand5.AETOBATUS.OCELLATUS_PA1_Full_GAM","rand1.AETOBATUS.OCELLATUS_PA1_Full_GLM","rand2.AETOBATUS.OCELLATUS_PA1_Full_GLM","rand3.AETOBATUS.OCELLATUS_PA1_Full_GLM","rand4.AETOBATUS.OCELLATUS_PA1_Full_GLM","rand5.AETOBATUS.OCELLATUS_PA1_Full_GLM","rand1.AETOBATUS.OCELLATUS_PA1_Full_MAXENT.Phillips","rand2.AETOBATUS.OCELLATUS_PA1_Full_MAXENT.Phillips","rand3.AETOBATUS.OCELLATUS_PA1_Full_MAXENT.Phillips","rand4.AETOBATUS.OCELLATUS_PA1_Full_MAXENT.Phillips","rand5.AETOBATUS.OCELLATUS_PA1_Full_MAXENT.Phillips"
0.999467,0.993987,1,0.976412,1,0.661617,0.597816,0.622787,0.656568,0.533371,0,0,0,0,0,0.453577,0.439809,0.541675,0.475044,0.474455,0,0,0,0,0,0.686445,0.595594,0.527773,0.839513,0.75467,0,0,0,0,0,0.524728,0.672464,0.568622,0.496968,0.567647,0,0,0,0,0,0.609882,0.55982,0.46688,0.541175,0.52312,0.789471,0.836951,0.790324,0.775218,0.769596,0.962576,0.951297,0.976796,0.956888,0.977572,0.412366,0.465973,0.469651,0.360882,0.509323
0.206863,0.221078,0.208643,0.19509,0.203265,0.474555,0.405275,0.393378,0.410038,0.443569,0,0,0,0,0,0.717852,0.694649,0.711898,0.674519,0.665047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583877,0.638278,0.593779,0.646883,0.601295,1,1,1,1,1,0.036067,0.035202,0.040265,0.028541,0.034224
0.61941,0.544176,0.555447,0.64339,0.596819,0.642243,0.721679,0.664616,0.663698,0.697118,1,1,1,1,0.99472,0.689721,0.665768,0.718229,0.743176,0.644497,0,0,0,0,0,0.739798,0.727552,0.783299,0.898874,0.952004,0,0,0,0,0,0.754918,0.724426,0.644099,0.725918,0.633466,0,0,0,0,0,0.720827,0.817764,0.787871,0.823439,0.803321,0.732435,0.866696,0.773025,0.710656,0.816578,0.842441,0.886809,0.828273,0.884891,0.893005,0.808446,0.83445,0.914645,0.925482,0.820865
0,0,0,0,0,0.419368,0.482687,0.47375,0.395389,0.48416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667246,0.750391,0.73716,0.700036,0.738077,0,0,0,0,0,0.295701,0.269074,0.278361,0.298917,0.32186,0,0,0,0,0,0.729748,0.733376,0.811224,0.683809,0.727432,0.767862,0.737154,0.758667,0.821741,0.816789,0,0,0,0,0,0.570264,0.523922,0.639072,0.540294,0.608412
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750976,0.750968,0.745823,0.841415,0.759172,0.788829,0.792162,0.784859,0.797597,0.800686,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358879,0.385105,0.309257,0.379895,0.364424,0.76204,0.762623,0.76913,0.770993,0.764534,0,0,0,0,0
0.2558,0.270005,0.26006,0.250385,0.283702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515906,0.452255,0.392907,0.525413,0.497905,0.798145,0.824606,0.839629,0.815648,0.842263,0.0245880000000001,0.032351,0.031779,0.034754,0.024865
0.949768,0.959318,0.981082,0.964833,0.913865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173668,0.179981,0.173182,0.174849,0.160045,0,0,0,0,0,0,0,0,0,0,0.850827,0.735013,0.81619,0.825137,0.767752,0.672072,0.667634,0.666101,0.670601,0.655091,0.148087,0.161222,0.151119,0.140318,0.179477
0,0,0,0,0,0.000234999999999985,0.000234999999999985,0.000144000000000033,0.000222999999999973,0.000240000000000018,0,0,0,0,0,0,0,0,0,0,0.981669,0.995797,0.980627,0.988432,0.996656,0.019603,0.022217,0.015662,0.00951500000000005,0.012931,0.983778,0.977395,1,1,0.989318,3.90000000000112e-05,4.59999999999905e-05,3.69999999999537e-05,3.2000000000032e-05,3.6000000000036e-05,0.998614,0.998772,0.970137,1,1,0,0,0,0,0,0.363381,0.366918,0.313068,0.407271,0.406239,0.00582400000000005,0.00583900000000004,0.011648,0.00582400000000005,0.00291600000000003,0.13079,0.079712,0.110764,0.137765,0.13424
0.781331,0.778157,0.785015,0.773674,0.784501,0.047544,0.056888,0.058514,0.057881,0.050851,0,0,0,0,0,0.00861100000000004,0.00858599999999998,0.00863000000000003,0.006826,0.00774600000000003,0,0,0,0,0,0.0607259999999999,0.058049,0.056402,0.049019,0.05606,0,0,0,0,0,0.035403,0.034406,0.04006,0.041936,0.035829,0,0,0,0,0,0.056688,0.059459,0.056899,0.083239,0.080031,0.451552,0.50905,0.34356,0.404328,0.382668,0.698353,0.676542,0.695799,0.701578,0.693721,0.064201,0.073456,0.102738,0.096743,0.106495
