"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.989,495,100,98.947
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.874,431,98.947,88.421
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.833,76,95.833,87.5
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.917,15,100,91.667
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.875,480,100,87.5
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.875,253,100,87.5
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.792,247.5,87.5,91.667
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.625,0,100,0
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.833,0,100,0
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.833,467,100,83.333
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.917,495,95.833,95.833
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.708,495,79.167,91.667
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.833,439,100,83.333
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.917,504,95.833,95.833
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.833,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.833,329,95.833,87.5
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.75,192,79.167,95.833
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.875,281,100,87.5
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.792,76,83.333,95.833
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.75,0,100,0
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.833,384,100,83.333
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.833,617,95.833,87.5
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.916,562,97.895,93.684
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.874,365,98.947,88.421
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.875,411,95.833,91.667
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.917,43.5,100,91.667
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.833,211,100,83.333
