"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.995,965,100,99.519
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.24,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.092,500,10,99.199
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.52,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.093,45.5,10.526,98.799
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.76,486.5,96.667,79.295
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.788,568,100,78.846
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.804,523,100,80.369
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.782,629,89.474,88.391
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.792,787,85,94.231
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.72,797,78.947,93.034
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.835,101,93.333,90.128
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.788,263,100,78.766
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.841,487,95,88.782
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.773,46,100,77.342
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.775,287,85,92.308
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.76,147,84.211,91.673
