"rand1.ALOPIAS.VULPINUS_PA1_RUN1_GAM","rand2.ALOPIAS.VULPINUS_PA1_RUN1_GAM","rand3.ALOPIAS.VULPINUS_PA1_RUN1_GAM","rand4.ALOPIAS.VULPINUS_PA1_RUN1_GAM","rand5.ALOPIAS.VULPINUS_PA1_RUN1_GAM","rand1.ALOPIAS.VULPINUS_PA1_RUN1_GLM","rand2.ALOPIAS.VULPINUS_PA1_RUN1_GLM","rand3.ALOPIAS.VULPINUS_PA1_RUN1_GLM","rand4.ALOPIAS.VULPINUS_PA1_RUN1_GLM","rand5.ALOPIAS.VULPINUS_PA1_RUN1_GLM","rand1.ALOPIAS.VULPINUS_PA1_RUN1_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_RUN1_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_RUN1_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_RUN1_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_RUN1_MAXENT.Phillips","rand1.ALOPIAS.VULPINUS_PA1_RUN2_GAM","rand2.ALOPIAS.VULPINUS_PA1_RUN2_GAM","rand3.ALOPIAS.VULPINUS_PA1_RUN2_GAM","rand4.ALOPIAS.VULPINUS_PA1_RUN2_GAM","rand5.ALOPIAS.VULPINUS_PA1_RUN2_GAM","rand1.ALOPIAS.VULPINUS_PA1_RUN2_GLM","rand2.ALOPIAS.VULPINUS_PA1_RUN2_GLM","rand3.ALOPIAS.VULPINUS_PA1_RUN2_GLM","rand4.ALOPIAS.VULPINUS_PA1_RUN2_GLM","rand5.ALOPIAS.VULPINUS_PA1_RUN2_GLM","rand1.ALOPIAS.VULPINUS_PA1_RUN2_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_RUN2_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_RUN2_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_RUN2_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_RUN2_MAXENT.Phillips","rand1.ALOPIAS.VULPINUS_PA1_RUN3_GLM","rand2.ALOPIAS.VULPINUS_PA1_RUN3_GLM","rand3.ALOPIAS.VULPINUS_PA1_RUN3_GLM","rand4.ALOPIAS.VULPINUS_PA1_RUN3_GLM","rand5.ALOPIAS.VULPINUS_PA1_RUN3_GLM","rand1.ALOPIAS.VULPINUS_PA1_RUN3_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_RUN3_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_RUN3_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_RUN3_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_RUN3_MAXENT.Phillips","rand1.ALOPIAS.VULPINUS_PA1_RUN4_GAM","rand2.ALOPIAS.VULPINUS_PA1_RUN4_GAM","rand3.ALOPIAS.VULPINUS_PA1_RUN4_GAM","rand4.ALOPIAS.VULPINUS_PA1_RUN4_GAM","rand5.ALOPIAS.VULPINUS_PA1_RUN4_GAM","rand1.ALOPIAS.VULPINUS_PA1_RUN4_GLM","rand2.ALOPIAS.VULPINUS_PA1_RUN4_GLM","rand3.ALOPIAS.VULPINUS_PA1_RUN4_GLM","rand4.ALOPIAS.VULPINUS_PA1_RUN4_GLM","rand5.ALOPIAS.VULPINUS_PA1_RUN4_GLM","rand1.ALOPIAS.VULPINUS_PA1_RUN4_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_RUN4_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_RUN4_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_RUN4_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_RUN4_MAXENT.Phillips","rand1.ALOPIAS.VULPINUS_PA1_RUN5_GAM","rand2.ALOPIAS.VULPINUS_PA1_RUN5_GAM","rand3.ALOPIAS.VULPINUS_PA1_RUN5_GAM","rand4.ALOPIAS.VULPINUS_PA1_RUN5_GAM","rand5.ALOPIAS.VULPINUS_PA1_RUN5_GAM","rand1.ALOPIAS.VULPINUS_PA1_RUN5_GLM","rand2.ALOPIAS.VULPINUS_PA1_RUN5_GLM","rand3.ALOPIAS.VULPINUS_PA1_RUN5_GLM","rand4.ALOPIAS.VULPINUS_PA1_RUN5_GLM","rand5.ALOPIAS.VULPINUS_PA1_RUN5_GLM","rand1.ALOPIAS.VULPINUS_PA1_RUN5_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_RUN5_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_RUN5_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_RUN5_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_RUN5_MAXENT.Phillips","rand1.ALOPIAS.VULPINUS_PA1_Full_GAM","rand2.ALOPIAS.VULPINUS_PA1_Full_GAM","rand3.ALOPIAS.VULPINUS_PA1_Full_GAM","rand4.ALOPIAS.VULPINUS_PA1_Full_GAM","rand5.ALOPIAS.VULPINUS_PA1_Full_GAM","rand1.ALOPIAS.VULPINUS_PA1_Full_GLM","rand2.ALOPIAS.VULPINUS_PA1_Full_GLM","rand3.ALOPIAS.VULPINUS_PA1_Full_GLM","rand4.ALOPIAS.VULPINUS_PA1_Full_GLM","rand5.ALOPIAS.VULPINUS_PA1_Full_GLM","rand1.ALOPIAS.VULPINUS_PA1_Full_MAXENT.Phillips","rand2.ALOPIAS.VULPINUS_PA1_Full_MAXENT.Phillips","rand3.ALOPIAS.VULPINUS_PA1_Full_MAXENT.Phillips","rand4.ALOPIAS.VULPINUS_PA1_Full_MAXENT.Phillips","rand5.ALOPIAS.VULPINUS_PA1_Full_MAXENT.Phillips"
0.979287,0.928495,0.99677,0.978146,1,1,0.995474,0.975637,1,1,0.87911,0.876588,0.873162,0.86467,0.852128,0.954116,0.915063,0.812924,0.972751,0.931258,1,1,1,1,1,0.829257,0.873598,0.862287,0.875879,0.815199,0,0,0,0,0,0.555183,0.573102,0.582183,0.625957,0.589878,1,0.947701,0.961626,1,0.945612,0.682019,0.640037,0.715959,0.681269,0.704362,0.667793,0.604559,0.632302,0.661335,0.592848,0.86848,0.967376,0.897287,0.921746,0.932432,0,0,0,0,0,0.556628,0.545084,0.579575,0.564773,0.567582,0.692665,0.753842,0.760446,0.766712,0.718172,0,0,0,0,0,0.957341,0.911043,0.937252,0.92023,0.918686
0.822329,0.819817,0.818843,0.821595,0.829166,0,0,0,0,0,0,0,0,0,0,0.882328,0.884061,0.9075,0.875599,0.861907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185132,0.190155,0.194465,0.199559,0.185214,0,0,0,0,0,0,0,0,0,0,0.702902,0.662384,0.643341,0.555305,0.659813,0,0,0,0,0,0,0,0,0,0,0.750947,0.770118,0.722985,0.725178,0.759805,0,0,0,0,0,0.00583500000000003,0.00530299999999995,0.00615699999999997,0.00542399999999998,0.00634400000000002
0.818669,0.569532,0.53365,0.504662,0.51628,0,0,0,0,0,0.000526000000000026,0.000499999999999945,0.000542000000000042,0.000512999999999986,0.000523000000000051,0.853863,0.820639,0.810231,0.732634,0.849061,0,0,0,0,0,0.103529,0.105662,0.102039,0.100185,0.103182,1,0.997181,1,0.99897,1,0.169511,0.169093,0.178267,0.162798,0.181614,0.727527,0.808332,0.846982,0.715496,0.7773,0.644705,0.666086,0.667171,0.662847,0.669818,0.61925,0.64009,0.625882,0.553139,0.604884,0.97114,0.90036,0.962741,0.803491,0.806596,0.97528,1,0.987272,1,1,0.714719,0.665345,0.72358,0.736493,0.682601,0.893566,0.879228,0.907551,0.893536,0.931724,0,0,0,0,0,0.00984300000000005,0.010469,0.010206,0.00981900000000002,0.011055
0.95944,0.902147,0.964691,0.938501,0.990491,0,0,0,0,0,0,0,0,0,0,0.89248,0.87976,0.876369,0.865018,0.88169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798673,0.770696,0.786559,0.772284,0.766594,0,0,0,0,0,0,0,0,0,0,0.804679,0.806192,0.778417,0.788034,0.790966,0,0,0,0,0,0,0,0,0,0,0.765899,0.730226,0.691393,0.72417,0.735228,0,0,0,0,0,0.00627599999999995,0.00963199999999997,0.00715900000000003,0.006027,0.00488299999999997
0.883028,0.88736,0.735619,0.787751,0.876022,0,0,0,0,0,0,0,0,0,0,0.908137,0.864991,0.899524,0.893866,0.916461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539894,0.558324,0.540294,0.522119,0.514479,0,0,0,0,0,0,0,0,0,0,0.839303,0.855409,0.840244,0.82888,0.829758,0,0,0,0,0,0,0,0,0,0,0.802019,0.864784,0.86543,0.814509,0.745564,0,0,0,0,0,0,0,0,0,0
0.830775,0.79164,0.796953,0.806728,0.780284,0,0,0,0,0,0,0,0,0,0,0.892964,0.925077,0.953998,0.887665,0.911555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10024,0.094675,0.104687,0.113521,0.097452,0.845793,0.928823,0.849071,0.902638,0.929054,0,0,0,0,0,0,0,0,0,0,0.987526,0.968635,0.980872,0.985704,0.985205,0,0,0,0,0,0,0,0,0,0,0.828065,0.807883,0.799894,0.764842,0.783509,0,0,0,0,0,0.038902,0.033653,0.035392,0.03337,0.03307
0.862554,0.851589,0.825087,0.811289,0.82509,0,0,0,0,0,0,0,0,0,0,0.853083,0.877515,0.922136,0.844158,0.899252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741556,0.724009,0.715611,0.706175,0.724387,0,0,0,0,0,0,0,0,0,0,0.947017,0.944183,0.88115,0.877373,0.91145,0,0,0,0,0,0,0,0,0,0,0.659312,0.661232,0.654918,0.667926,0.700458,0,0,0,0,0,2.50000000000528e-05,2.4000000000024e-05,3.69999999999537e-05,9.40000000000385e-05,4.99999999999945e-05
0.976032,1,0.963238,0.929889,0.948239,0,0,0,0,0,0.057353,0.057576,0.056991,0.057298,0.056661,0.841498,0.815981,0.854864,0.835482,0.833387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004911,0.00465899999999997,0.00474600000000003,0.00498900000000002,0.00460099999999997,0.939018,0.87978,0.915179,0.873065,0.8748,0,0,0,0,0,0,0,0,0,0,0.872787,0.870516,0.862838,0.869218,0.860308,0,0,0,0,0,0,0,0,0,0,0.915026,0.888907,0.892463,0.892799,0.878678,0,0,0,0,0,0.04112,0.036226,0.0379389999999999,0.044942,0.035013
0.73709,0.78303,0.796705,0.838991,0.820299,0.000751999999999975,0.000754000000000032,0.000801999999999969,0.000807000000000002,0.000713999999999992,0,0,0,0,0,0.829735,0.827451,0.900849,0.82566,0.904581,0.0108740000000001,0.010924,0.011258,0.011635,0.011192,0.00114099999999995,0.00116400000000005,0.00120600000000004,0.00114000000000003,0.00118099999999999,0,0,0,0,0,0.127994,0.135497,0.127854,0.121356,0.127208,0.575528,0.697718,0.678316,0.651051,0.684009,0,0,0,0,0,0.026243,0.026262,0.025402,0.0262520000000001,0.026586,0.751334,0.7738,0.799089,0.813555,0.76233,0,0,0,0,0,0.197153,0.200248,0.202034,0.201011,0.190571,0.505703,0.434059,0.436568,0.498718,0.458549,0,0,0,0,0,0.020729,0.022473,0.0223139999999999,0.021105,0.021555
0.863056,0.863447,0.887382,0.881941,0.877765,0,0,0,0,0,0.087865,0.082072,0.086306,0.084616,0.084296,0.84268,0.821905,0.746208,0.795079,0.894714,0,0,0,0,0,0.036474,0.037727,0.036256,0.034834,0.035448,0,0,0,0,0,0.069001,0.069797,0.0705,0.0718529999999999,0.067479,0.862756,0.867999,0.895391,0.895745,0.867984,0,0,0,0,0,0.066997,0.068821,0.067591,0.067645,0.067865,0.821556,0.727713,0.875924,0.732463,0.722283,0,0,0,0,0,0.010609,0.010387,0.010176,0.00973100000000005,0.010023,0.694622,0.57952,0.613375,0.712901,0.658736,0.987515,1,0.994978,0.978979,1,0.031404,0.030049,0.031073,0.035506,0.030181
