"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.979,899,100,97.937
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.746,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.189,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.332,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.609,10,64.286,96.554
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.841,495,94.915,89.205
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.686,495,75,93.59
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.669,495,78.571,88.301
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.753,495,85.185,90.152
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.639,495,71.429,92.468
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.828,495,92.857,89.984
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.864,129,93.22,93.13
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.891,163,96.429,92.628
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.931,158,100,93.029
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.808,68,88.889,91.833
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.849,126,92.857,91.987
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.895,159,96.429,93.029
