"rand1.APRISTURUS.MICROPS_PA1_RUN1_GAM","rand2.APRISTURUS.MICROPS_PA1_RUN1_GAM","rand3.APRISTURUS.MICROPS_PA1_RUN1_GAM","rand4.APRISTURUS.MICROPS_PA1_RUN1_GAM","rand5.APRISTURUS.MICROPS_PA1_RUN1_GAM","rand1.APRISTURUS.MICROPS_PA1_RUN1_GLM","rand2.APRISTURUS.MICROPS_PA1_RUN1_GLM","rand3.APRISTURUS.MICROPS_PA1_RUN1_GLM","rand4.APRISTURUS.MICROPS_PA1_RUN1_GLM","rand5.APRISTURUS.MICROPS_PA1_RUN1_GLM","rand1.APRISTURUS.MICROPS_PA1_RUN1_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_RUN1_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_RUN1_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_RUN1_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_RUN1_MAXENT.Phillips","rand1.APRISTURUS.MICROPS_PA1_RUN2_GAM","rand2.APRISTURUS.MICROPS_PA1_RUN2_GAM","rand3.APRISTURUS.MICROPS_PA1_RUN2_GAM","rand4.APRISTURUS.MICROPS_PA1_RUN2_GAM","rand5.APRISTURUS.MICROPS_PA1_RUN2_GAM","rand1.APRISTURUS.MICROPS_PA1_RUN2_GLM","rand2.APRISTURUS.MICROPS_PA1_RUN2_GLM","rand3.APRISTURUS.MICROPS_PA1_RUN2_GLM","rand4.APRISTURUS.MICROPS_PA1_RUN2_GLM","rand5.APRISTURUS.MICROPS_PA1_RUN2_GLM","rand1.APRISTURUS.MICROPS_PA1_RUN2_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_RUN2_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_RUN2_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_RUN2_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_RUN2_MAXENT.Phillips","rand1.APRISTURUS.MICROPS_PA1_RUN3_GLM","rand2.APRISTURUS.MICROPS_PA1_RUN3_GLM","rand3.APRISTURUS.MICROPS_PA1_RUN3_GLM","rand4.APRISTURUS.MICROPS_PA1_RUN3_GLM","rand5.APRISTURUS.MICROPS_PA1_RUN3_GLM","rand1.APRISTURUS.MICROPS_PA1_RUN3_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_RUN3_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_RUN3_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_RUN3_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_RUN3_MAXENT.Phillips","rand1.APRISTURUS.MICROPS_PA1_RUN4_GAM","rand2.APRISTURUS.MICROPS_PA1_RUN4_GAM","rand3.APRISTURUS.MICROPS_PA1_RUN4_GAM","rand4.APRISTURUS.MICROPS_PA1_RUN4_GAM","rand5.APRISTURUS.MICROPS_PA1_RUN4_GAM","rand1.APRISTURUS.MICROPS_PA1_RUN4_GLM","rand2.APRISTURUS.MICROPS_PA1_RUN4_GLM","rand3.APRISTURUS.MICROPS_PA1_RUN4_GLM","rand4.APRISTURUS.MICROPS_PA1_RUN4_GLM","rand5.APRISTURUS.MICROPS_PA1_RUN4_GLM","rand1.APRISTURUS.MICROPS_PA1_RUN4_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_RUN4_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_RUN4_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_RUN4_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_RUN4_MAXENT.Phillips","rand1.APRISTURUS.MICROPS_PA1_RUN5_GAM","rand2.APRISTURUS.MICROPS_PA1_RUN5_GAM","rand3.APRISTURUS.MICROPS_PA1_RUN5_GAM","rand4.APRISTURUS.MICROPS_PA1_RUN5_GAM","rand5.APRISTURUS.MICROPS_PA1_RUN5_GAM","rand1.APRISTURUS.MICROPS_PA1_RUN5_GLM","rand2.APRISTURUS.MICROPS_PA1_RUN5_GLM","rand3.APRISTURUS.MICROPS_PA1_RUN5_GLM","rand4.APRISTURUS.MICROPS_PA1_RUN5_GLM","rand5.APRISTURUS.MICROPS_PA1_RUN5_GLM","rand1.APRISTURUS.MICROPS_PA1_RUN5_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_RUN5_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_RUN5_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_RUN5_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_RUN5_MAXENT.Phillips","rand1.APRISTURUS.MICROPS_PA1_Full_GAM","rand2.APRISTURUS.MICROPS_PA1_Full_GAM","rand3.APRISTURUS.MICROPS_PA1_Full_GAM","rand4.APRISTURUS.MICROPS_PA1_Full_GAM","rand5.APRISTURUS.MICROPS_PA1_Full_GAM","rand1.APRISTURUS.MICROPS_PA1_Full_GLM","rand2.APRISTURUS.MICROPS_PA1_Full_GLM","rand3.APRISTURUS.MICROPS_PA1_Full_GLM","rand4.APRISTURUS.MICROPS_PA1_Full_GLM","rand5.APRISTURUS.MICROPS_PA1_Full_GLM","rand1.APRISTURUS.MICROPS_PA1_Full_MAXENT.Phillips","rand2.APRISTURUS.MICROPS_PA1_Full_MAXENT.Phillips","rand3.APRISTURUS.MICROPS_PA1_Full_MAXENT.Phillips","rand4.APRISTURUS.MICROPS_PA1_Full_MAXENT.Phillips","rand5.APRISTURUS.MICROPS_PA1_Full_MAXENT.Phillips"
0.843179,0.900551,0.834844,0.847059,0.828391,0.65343,0.605487,0.622874,0.597524,0.623955,0.918439,0.925179,0.925529,0.945511,0.915013,0.928461,0.935908,0.917377,0.944563,0.830012,0.883556,0.864947,0.858242,0.915057,0.869269,0.898856,0.873901,0.874353,0.880809,0.85825,0.716363,0.671207,0.709493,0.700315,0.672345,0.87275,0.859373,0.876845,0.844182,0.83647,0.896536,0.874009,0.897743,0.891662,0.9106,0.77251,0.75966,0.728189,0.724348,0.712295,0.935511,0.926171,0.901649,0.931505,0.905509,0.882431,0.889529,0.913582,0.915716,0.888947,0.849529,0.850127,0.856052,0.863867,0.866848,0.892259,0.895992,0.922702,0.894049,0.866104,0.836428,0.862836,0.879873,0.83234,0.853804,0.798787,0.836884,0.796792,0.816766,0.801171,0.908776,0.900456,0.928137,0.953961,0.909116
0.647922,0.696496,0.661081,0.656921,0.628142,0.760002,0.752596,0.768259,0.752902,0.768409,0,0,0,0,0,0.898923,0.898259,0.906596,0.923684,0.927715,0.659922,0.674261,0.643863,0.674166,0.648777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788211,0.763498,0.79287,0.757337,0.768547,0.677447,0.697899,0.681715,0.67325,0.679318,0,0,0,0,0,0.722239,0.698038,0.750312,0.72612,0.726407,0,0,0,0,0,1.99999999994649e-06,1.99999999994649e-06,1.99999999994649e-06,1.99999999994649e-06,1.99999999994649e-06,0.597865,0.6186,0.62427,0.614211,0.625601,0.541313,0.546564,0.542831,0.555881,0.545606,0,0,0,0,0
0.465236,0.506271,0.420183,0.539295,0.44328,0.343337,0.373771,0.354504,0.345994,0.363702,0,0,0,0,0,0.588582,0.578665,0.568998,0.527464,0.545571,0,0,0,0,0,0.018604,0.0186460000000001,0.018891,0.0176539999999999,0.020262,0.506488,0.459079,0.446896,0.462008,0.462652,0.106137,0.106897,0.122563,0.103721,0.106717,0.513908,0.477488,0.46571,0.488475,0.482123,0.448629,0.494572,0.448025,0.43019,0.42191,0,0,0,0,0,0.364139,0.406401,0.321396,0.338046,0.341398,0,0,0,0,0,0.097391,0.086126,0.098307,0.09518,0.096477,0.437063,0.404069,0.382909,0.399592,0.400189,0.28047,0.296535,0.289107,0.294957,0.300061,0.00844500000000004,0.00901300000000005,0.00916300000000003,0.00913399999999998,0.008355
0.771488,0.764872,0.77875,0.775492,0.769608,0.627529,0.612566,0.614184,0.599573,0.61426,0,0,0,0,0,0.942502,0.931968,0.905392,0.906956,0.945358,0.693887,0.697356,0.696046,0.699168,0.694961,0,0,0,0,0,0.660528,0.674371,0.667932,0.663066,0.658982,0,0,0,0,0,0.858871,0.834806,0.838172,0.871737,0.863223,0.788843,0.787945,0.792358,0.774069,0.777613,0,0,0,0,0,0.715911,0.705899,0.724237,0.713787,0.721342,0.557619,0.553164,0.555647,0.548681,0.554115,0,0,0,0,0,0.599115,0.579188,0.580953,0.576549,0.569346,0.576744,0.599143,0.581349,0.598656,0.590919,0,0,0,0,0
0.739431,0.747064,0.725432,0.74575,0.766517,1,1,0.989796,1,1,0.028419,0.0278119999999999,0.028413,0.028324,0.029,0.918298,0.91854,0.894332,0.933262,0.961883,0,0,0,0,0,0.00525299999999995,0.00463999999999998,0.00433700000000004,0.00456299999999998,0.004525,0,0,0,0,0,0.018774,0.019326,0.022505,0.017487,0.021582,0.600871,0.498831,0.601668,0.559057,0.618641,0.995049,1,1,0.992193,0.985907,0.013785,0.018097,0.019059,0.014698,0.01955,0.845262,0.902178,0.867172,0.878223,0.917176,0.833362,0.859125,0.812067,0.841043,0.821211,0.00765099999999996,0.00882799999999995,0.00932900000000003,0.00777700000000003,0.00765700000000002,0.814903,0.822977,0.83095,0.845962,0.823149,0.944804,0.951576,0.953563,0.942006,0.968451,0.054556,0.056166,0.051925,0.043771,0.060601
0.928075,0.893359,0.898775,0.911623,0.909014,0.755866,0.759229,0.756233,0.747289,0.751285,0.0258969999999999,0.025872,0.025284,0.025251,0.02454,0.708859,0.762827,0.758078,0.73816,0.735847,1,1,1,1,1,0,0,0,0,0,1,0.999505,1,0.998279,1,0.0677759999999999,0.058985,0.072421,0.061037,0.06714,0.80482,0.802057,0.810405,0.814597,0.801825,0.735416,0.713678,0.729956,0.71127,0.70875,0,0,0,0,0,0.871693,0.878745,0.868388,0.820817,0.866338,0,0,0,0,0,0,0,0,0,0,0.558121,0.578983,0.51381,0.622391,0.580512,0.582015,0.597151,0.591176,0.585893,0.578823,0.044349,0.039394,0.040497,0.042835,0.043979
0.863747,0.88219,0.873593,0.849953,0.899797,1,1,1,1,1,0.098735,0.103637,0.10694,0.100879,0.104103,0.787802,0.753739,0.797176,0.767042,0.819742,0,0,0,0,0,0.279272,0.302329,0.293127,0.287582,0.282979,0.70674,0.679332,0.692998,0.698983,0.692519,0.05331,0.05826,0.05396,0.051651,0.045225,0.884727,0.894929,0.875836,0.865399,0.854303,0,0,0,0,0,0.336907,0.41388,0.391234,0.388011,0.413925,0.778548,0.76058,0.798046,0.767822,0.747304,0,0,0,0,0,0.28181,0.282495,0.246329,0.271376,0.289351,0.731431,0.712088,0.714519,0.730161,0.736706,0,0,0,0,0,0.154301,0.177904,0.185579,0.166607,0.172418
0.934311,0.928296,0.931082,0.941174,0.952576,0.842678,0.820785,0.845442,0.821135,0.827044,0,0,0,0,0,0.848467,0.83268,0.831084,0.864615,0.842934,0.567202,0.58133,0.584659,0.592622,0.576108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876331,0.87631,0.895196,0.87025,0.891352,0.287075,0.286356,0.312679,0.304556,0.297339,0,0,0,0,0,0.909376,0.925697,0.933099,0.952724,0.939896,0,0,0,0,0,0,0,0,0,0,0.885551,0.866724,0.903224,0.876572,0.863932,0.558251,0.574878,0.566891,0.56597,0.571381,0,0,0,0,0
0.870265,0.846418,0.847686,0.881367,0.833768,0.581758,0.561375,0.570546,0.590027,0.584997,0.000364000000000031,0.000363000000000002,0.000360999999999945,0.000379000000000018,0.000352000000000019,0.873094,0.925612,0.902727,0.855603,0.880046,0.21668,0.212786,0.236115,0.239838,0.232071,0.00582899999999997,0.00475800000000004,0.00522400000000001,0.00630900000000001,0.00514899999999996,0.387546,0.377707,0.384495,0.362138,0.353415,0,0,0,0,0,0.929394,0.898104,0.911634,0.913574,0.90093,0,0,0,0,0,0.00717000000000001,0.00601200000000002,0.00656999999999996,0.00740300000000005,0.00630699999999995,0.887958,0.915192,0.870934,0.900208,0.907543,0,0,0,0,0,0,0,0,0,0,0.773649,0.776861,0.741195,0.716473,0.735183,0.113072,0.113615,0.12015,0.124128,0.129411,0.004803,0.00522599999999995,0.005243,0.00421199999999999,0.00504300000000002
0.61734,0.650994,0.620201,0.656302,0.622289,0.362855,0.384646,0.368041,0.367277,0.374254,0.025811,0.025911,0.025952,0.026888,0.026657,0.763134,0.806626,0.782731,0.702545,0.778947,0.39315,0.384733,0.385389,0.391625,0.389113,0.02385,0.024205,0.025038,0.024598,0.025425,0.284384,0.283485,0.268393,0.273016,0.263694,0.036313,0.03503,0.037427,0.040251,0.04042,0.433001,0.362286,0.421228,0.412846,0.437252,0.421631,0.422676,0.414629,0.399024,0.409781,0.00726700000000002,0.00709400000000004,0.00698200000000004,0.00616899999999998,0.00621700000000003,0.514852,0.497813,0.467653,0.510754,0.548389,0.448073,0.443699,0.441608,0.433709,0.449553,0.00814999999999999,0.00749500000000003,0.00760499999999997,0.00689200000000001,0.00722,0.340554,0.329079,0.267829,0.31778,0.291501,0.32821,0.325592,0.337863,0.306778,0.314698,0.00388299999999997,0.00403600000000004,0.00382099999999996,0.00394300000000003,0.00393200000000005
