"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.979,879,100,97.877
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.607,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.513,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.644,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.728,495,78.632,94.152
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.675,495,72.5,95.032
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.768,495,89.744,87.03
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.764,495,95,81.41
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.757,495,85,90.705
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.745,495,82.051,92.474
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.906,130,96.581,93.972
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.912,205,97.5,93.67
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.875,123,94.872,92.554
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.918,239,97.5,94.311
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.894,52,100,89.263
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.932,173,100,93.195
