"rand1.APRISTURUS.SALDANHA_PA1_RUN1_GLM","rand2.APRISTURUS.SALDANHA_PA1_RUN1_GLM","rand3.APRISTURUS.SALDANHA_PA1_RUN1_GLM","rand4.APRISTURUS.SALDANHA_PA1_RUN1_GLM","rand5.APRISTURUS.SALDANHA_PA1_RUN1_GLM","rand1.APRISTURUS.SALDANHA_PA1_RUN1_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_RUN1_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_RUN1_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_RUN1_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_RUN1_MAXENT.Phillips","rand1.APRISTURUS.SALDANHA_PA1_RUN2_GAM","rand2.APRISTURUS.SALDANHA_PA1_RUN2_GAM","rand3.APRISTURUS.SALDANHA_PA1_RUN2_GAM","rand4.APRISTURUS.SALDANHA_PA1_RUN2_GAM","rand5.APRISTURUS.SALDANHA_PA1_RUN2_GAM","rand1.APRISTURUS.SALDANHA_PA1_RUN2_GLM","rand2.APRISTURUS.SALDANHA_PA1_RUN2_GLM","rand3.APRISTURUS.SALDANHA_PA1_RUN2_GLM","rand4.APRISTURUS.SALDANHA_PA1_RUN2_GLM","rand5.APRISTURUS.SALDANHA_PA1_RUN2_GLM","rand1.APRISTURUS.SALDANHA_PA1_RUN2_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_RUN2_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_RUN2_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_RUN2_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_RUN2_MAXENT.Phillips","rand1.APRISTURUS.SALDANHA_PA1_RUN3_GLM","rand2.APRISTURUS.SALDANHA_PA1_RUN3_GLM","rand3.APRISTURUS.SALDANHA_PA1_RUN3_GLM","rand4.APRISTURUS.SALDANHA_PA1_RUN3_GLM","rand5.APRISTURUS.SALDANHA_PA1_RUN3_GLM","rand1.APRISTURUS.SALDANHA_PA1_RUN3_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_RUN3_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_RUN3_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_RUN3_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_RUN3_MAXENT.Phillips","rand1.APRISTURUS.SALDANHA_PA1_RUN4_GAM","rand2.APRISTURUS.SALDANHA_PA1_RUN4_GAM","rand3.APRISTURUS.SALDANHA_PA1_RUN4_GAM","rand4.APRISTURUS.SALDANHA_PA1_RUN4_GAM","rand5.APRISTURUS.SALDANHA_PA1_RUN4_GAM","rand1.APRISTURUS.SALDANHA_PA1_RUN4_GLM","rand2.APRISTURUS.SALDANHA_PA1_RUN4_GLM","rand3.APRISTURUS.SALDANHA_PA1_RUN4_GLM","rand4.APRISTURUS.SALDANHA_PA1_RUN4_GLM","rand5.APRISTURUS.SALDANHA_PA1_RUN4_GLM","rand1.APRISTURUS.SALDANHA_PA1_RUN4_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_RUN4_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_RUN4_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_RUN4_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_RUN4_MAXENT.Phillips","rand1.APRISTURUS.SALDANHA_PA1_RUN5_GAM","rand2.APRISTURUS.SALDANHA_PA1_RUN5_GAM","rand3.APRISTURUS.SALDANHA_PA1_RUN5_GAM","rand4.APRISTURUS.SALDANHA_PA1_RUN5_GAM","rand5.APRISTURUS.SALDANHA_PA1_RUN5_GAM","rand1.APRISTURUS.SALDANHA_PA1_RUN5_GLM","rand2.APRISTURUS.SALDANHA_PA1_RUN5_GLM","rand3.APRISTURUS.SALDANHA_PA1_RUN5_GLM","rand4.APRISTURUS.SALDANHA_PA1_RUN5_GLM","rand5.APRISTURUS.SALDANHA_PA1_RUN5_GLM","rand1.APRISTURUS.SALDANHA_PA1_RUN5_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_RUN5_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_RUN5_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_RUN5_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_RUN5_MAXENT.Phillips","rand1.APRISTURUS.SALDANHA_PA1_Full_GAM","rand2.APRISTURUS.SALDANHA_PA1_Full_GAM","rand3.APRISTURUS.SALDANHA_PA1_Full_GAM","rand4.APRISTURUS.SALDANHA_PA1_Full_GAM","rand5.APRISTURUS.SALDANHA_PA1_Full_GAM","rand1.APRISTURUS.SALDANHA_PA1_Full_GLM","rand2.APRISTURUS.SALDANHA_PA1_Full_GLM","rand3.APRISTURUS.SALDANHA_PA1_Full_GLM","rand4.APRISTURUS.SALDANHA_PA1_Full_GLM","rand5.APRISTURUS.SALDANHA_PA1_Full_GLM","rand1.APRISTURUS.SALDANHA_PA1_Full_MAXENT.Phillips","rand2.APRISTURUS.SALDANHA_PA1_Full_MAXENT.Phillips","rand3.APRISTURUS.SALDANHA_PA1_Full_MAXENT.Phillips","rand4.APRISTURUS.SALDANHA_PA1_Full_MAXENT.Phillips","rand5.APRISTURUS.SALDANHA_PA1_Full_MAXENT.Phillips"
0.962157,0.970319,0.934934,0.943761,0.955545,0.890096,0.856839,0.870544,0.890801,0.895406,0.927004,0.932129,0.888406,0.878644,0.888953,0.77121,0.788881,0.766633,0.764331,0.791064,0.907294,0.91584,0.897224,0.956426,0.909887,0.901167,0.903774,0.867951,0.88581,0.92118,0.920755,0.877265,0.91806,0.921129,0.886195,0.84432,0.841128,0.826092,0.80767,0.840967,0.975556,0.948046,0.95781,0.942654,0.974576,0.928739,0.875071,0.901463,0.920337,0.923854,0.707095,0.695799,0.719748,0.758345,0.727971,0.704894,0.711014,0.737492,0.713531,0.735613,0.873585,0.807088,0.878937,0.914435,0.852399,0.686071,0.685447,0.733724,0.712163,0.712216,0.878607,0.884136,0.823789,0.871302,0.843707,0.859426,0.813801,0.905797,0.836801,0.855223
0,0,0,0,0,0.00453700000000001,0.00525100000000001,0.00577399999999995,0.00524500000000006,0.00573100000000004,0.588837,0.568088,0.644784,0.645274,0.646762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634234,0.581036,0.641485,0.654272,0.635417,0,0,0,0,0,0,0,0,0,0,0.552309,0.586631,0.54411,0.579245,0.568442,0,0,0,0,0,0.00383100000000003,0.00431899999999996,0.00390299999999999,0.00397999999999998,0.00411499999999998,0.553137,0.600477,0.562197,0.563387,0.61618,0.81451,0.802525,0.860233,0.812172,0.83704,0.019231,0.018686,0.019333,0.020186,0.019512
0,0,0,0,0,0,0,0,0,0,0.557951,0.554781,0.611549,0.585717,0.601127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50000000000528e-05,2.59999999999705e-05,2.50000000000528e-05,2.69999999999992e-05,2.50000000000528e-05,0.643366,0.642034,0.641426,0.665891,0.617869,0,0,0,0,0,0,0,0,0,0,0.62945,0.666972,0.680051,0.662515,0.609331,0,0,0,0,0,0.000811000000000006,0.000765000000000016,0.000816999999999957,0.000863999999999976,0.000804999999999945,0.605381,0.592609,0.595542,0.568095,0.599927,0.641539,0.670625,0.663198,0.672088,0.656229,0.015433,0.015393,0.0151289999999999,0.0157890000000001,0.0152369999999999
0,0,0,0,0,0,0,0,0,0,0.616801,0.659915,0.591762,0.652284,0.628049,0.572835,0.56318,0.592398,0.550772,0.543131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740009,0.675205,0.70527,0.715418,0.717766,0,0,0,0,0,0.000337999999999949,0.000282000000000004,0.000306999999999946,0.000315999999999983,0.000333000000000028,0.739624,0.747757,0.743825,0.755024,0.742437,0,0,0,0,0,0,0,0,0,0,0.940531,0.924682,0.943708,0.944879,0.948472,0,0,0,0,0,0.00407299999999999,0.00375099999999995,0.003749,0.00356699999999999,0.00391799999999998
0.056266,0.054543,0.042804,0.047822,0.04614,0.024703,0.0258659999999999,0.0260010000000001,0.027177,0.027057,0.56768,0.582393,0.547806,0.543433,0.550663,0.26691,0.280897,0.306888,0.255743,0.277903,0.050861,0.043381,0.049252,0.043709,0.056226,0,0,0,0,0,0.06899,0.071783,0.066526,0.069096,0.0651,0.677758,0.680381,0.693627,0.626689,0.680533,0,0,0,0,0,0.081045,0.088566,0.084898,0.079352,0.081256,0.475613,0.507399,0.518225,0.505649,0.462341,0,0,0,0,0,0.115807,0.121424,0.132842,0.126142,0.117349,0.419871,0.427384,0.424898,0.402086,0.388148,0.412224,0.378357,0.388583,0.388583,0.402707,0.017428,0.017752,0.017616,0.0172060000000001,0.0159010000000001
0,0,0,0,0,0.00409300000000001,0.00515299999999996,0.00473100000000004,0.00467099999999998,0.00510299999999997,0.583855,0.606791,0.623626,0.664747,0.653689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655499999999998,0.00788900000000003,0.00600400000000001,0.00829100000000005,0.007324,0.609148,0.569187,0.586178,0.590096,0.58865,0,0,0,0,0,0.03329,0.026832,0.030317,0.028324,0.031884,0.620341,0.63333,0.640086,0.632779,0.651683,0,0,0,0,0,0.000921999999999978,0.000924000000000036,0.00098100000000001,0.000809999999999977,0.00104599999999999,0.364338,0.385328,0.393887,0.374653,0.382808,0,0,0,0,0,0.01685,0.017609,0.017131,0.019692,0.020855
0,0,0,0,0,0.05554,0.051536,0.0542859999999999,0.050555,0.054626,0.488065,0.482975,0.536233,0.541156,0.558852,0,0,0,0,0,0.108543,0.110391,0.113275,0.110451,0.115508,0,0,0,0,0,0.09975,0.104065,0.108432,0.127857,0.120859,0.572227,0.519711,0.557607,0.57016,0.552093,0,0,0,0,0,0.010688,0.0101,0.011469,0.010086,0.00943499999999997,0.419781,0.418477,0.417706,0.413875,0.420402,0,0,0,0,0,0.006687,0.005687,0.00797599999999998,0.00694099999999997,0.00635399999999997,0.379258,0.405057,0.378428,0.41073,0.401275,0,0,0,0,0,0.041647,0.038922,0.04338,0.03873,0.037708
0,0,0,0,0,0.023181,0.022529,0.020823,0.021563,0.02783,0.56367,0.553622,0.541623,0.53125,0.587193,0.087408,0.081461,0.08214,0.076453,0.0756250000000001,0.00958099999999995,0.0126039999999999,0.013818,0.00997599999999998,0.00995100000000004,0,0,0,0,0,0.020597,0.0164029999999999,0.017967,0.021199,0.021303,0.485288,0.441676,0.484731,0.457827,0.473985,0,0,0,0,0,0.117062,0.107874,0.11146,0.114067,0.109463,0.432408,0.460235,0.45985,0.462144,0.437529,0,0,0,0,0,0.00670599999999999,0.00865899999999997,0.00756400000000002,0.00890299999999999,0.00982099999999997,0.315267,0.288664,0.28088,0.262468,0.306828,0,0,0,0,0,0.038561,0.044785,0.047474,0.055075,0.0460120000000001
0,0,0,0,0,0,0,0,0,0,0.478149,0.565091,0.553188,0.521532,0.52344,0.064532,0.059732,0.064692,0.06507,0.063546,3.69999999999537e-05,4.19999999999865e-05,4.59999999999905e-05,4.70000000000192e-05,4.70000000000192e-05,0,0,0,0,0,0,0,0,0,0,0.691941,0.701036,0.70187,0.676077,0.730976,0,0,0,0,0,0.00857300000000005,0.00913600000000003,0.010042,0.00890000000000002,0.00943300000000002,0.658807,0.717211,0.693782,0.708088,0.701407,0,0,0,0,0,0,0,0,0,0,0.535263,0.532757,0.549256,0.507084,0.529384,0,0,0,0,0,0.00838499999999998,0.00974200000000003,0.010019,0.00809099999999996,0.00841899999999995
0.241714,0.262198,0.233302,0.240836,0.243339,0.00716600000000001,0.00635300000000005,0.00885499999999995,0.00772600000000001,0.008127,0.435801,0.45116,0.470779,0.428036,0.438577,0,0,0,0,0,0.01762,0.016458,0.023024,0.026241,0.019582,0.330637,0.348646,0.345548,0.320582,0.331085,0.027854,0.025227,0.025413,0.027993,0.029647,0.583101,0.527248,0.524344,0.568031,0.542558,0,0,0,0,0,0.00015900000000002,0.00017199999999995,0.000156999999999963,0.00015900000000002,0.000148000000000037,0.48969,0.490789,0.458651,0.48547,0.471229,0,0,0,0,0,0.00285500000000005,0.00202800000000003,0.00212699999999999,0.00214300000000001,0.00202100000000005,0.256187,0.231163,0.246447,0.250449,0.251048,0.389309,0.402158,0.388483,0.399587,0.397909,0.014204,0.010951,0.015938,0.00990400000000002,0.014458
