"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,500,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.75,985,100,75
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.76,520,92,84
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.654,0,100,0
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.84,389,91.667,92.308
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.8,0,100,0
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.88,131,100,88
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.756,495,92.308,83.333
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.808,500,95.652,85.185
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.76,25,88,88
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.753,495,96.154,79.167
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.56,495,72,84
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.52,0,100,0
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.728,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.683,0,100,0
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.504,76,85.185,65.217
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.724,550.5,80.769,91.667
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.484,500,79.167,69.231
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.561,495,76.923,79.167
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.88,106,92,96
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.936,424,97.436,96.154
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.833,283,98.718,84.615
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.837,838,96.154,87.5
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.72,495,92,80
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.882,268,92.593,95.652
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.808,323,100,80.769
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.92,338,92,100
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.68,495,88,80
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.875,849,100,87.5
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.697,495,95.652,74.074
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.88,399,96,92
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.881,793,92.308,95.833
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.88,131,96,92
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.8,788,88,92
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.845,813,88.889,95.652
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.644,45.5,87.5,76.923
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.795,561,92.593,86.957
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.686,495,76.923,91.667
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.468,495,58.333,88.462
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.8,432.5,96,84
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.92,540,96.154,95.833
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.84,273,96,88
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.833,158,88.462,94.872
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.885,707,88.462,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.837,247,96.154,87.5
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.68,258,92,76
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.802,469,88.889,91.304
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.84,412,91.667,92.308
