"rand1.BATHYRAJA.SMITHII_PA1_RUN1_GAM","rand2.BATHYRAJA.SMITHII_PA1_RUN1_GAM","rand3.BATHYRAJA.SMITHII_PA1_RUN1_GAM","rand4.BATHYRAJA.SMITHII_PA1_RUN1_GAM","rand5.BATHYRAJA.SMITHII_PA1_RUN1_GAM","rand1.BATHYRAJA.SMITHII_PA1_RUN1_GLM","rand2.BATHYRAJA.SMITHII_PA1_RUN1_GLM","rand3.BATHYRAJA.SMITHII_PA1_RUN1_GLM","rand4.BATHYRAJA.SMITHII_PA1_RUN1_GLM","rand5.BATHYRAJA.SMITHII_PA1_RUN1_GLM","rand1.BATHYRAJA.SMITHII_PA1_RUN1_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_RUN1_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_RUN1_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_RUN1_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_RUN1_MAXENT.Phillips","rand1.BATHYRAJA.SMITHII_PA1_RUN2_GLM","rand2.BATHYRAJA.SMITHII_PA1_RUN2_GLM","rand3.BATHYRAJA.SMITHII_PA1_RUN2_GLM","rand4.BATHYRAJA.SMITHII_PA1_RUN2_GLM","rand5.BATHYRAJA.SMITHII_PA1_RUN2_GLM","rand1.BATHYRAJA.SMITHII_PA1_RUN2_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_RUN2_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_RUN2_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_RUN2_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_RUN2_MAXENT.Phillips","rand1.BATHYRAJA.SMITHII_PA1_RUN3_GLM","rand2.BATHYRAJA.SMITHII_PA1_RUN3_GLM","rand3.BATHYRAJA.SMITHII_PA1_RUN3_GLM","rand4.BATHYRAJA.SMITHII_PA1_RUN3_GLM","rand5.BATHYRAJA.SMITHII_PA1_RUN3_GLM","rand1.BATHYRAJA.SMITHII_PA1_RUN3_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_RUN3_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_RUN3_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_RUN3_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_RUN3_MAXENT.Phillips","rand1.BATHYRAJA.SMITHII_PA1_RUN4_GAM","rand2.BATHYRAJA.SMITHII_PA1_RUN4_GAM","rand3.BATHYRAJA.SMITHII_PA1_RUN4_GAM","rand4.BATHYRAJA.SMITHII_PA1_RUN4_GAM","rand5.BATHYRAJA.SMITHII_PA1_RUN4_GAM","rand1.BATHYRAJA.SMITHII_PA1_RUN4_GLM","rand2.BATHYRAJA.SMITHII_PA1_RUN4_GLM","rand3.BATHYRAJA.SMITHII_PA1_RUN4_GLM","rand4.BATHYRAJA.SMITHII_PA1_RUN4_GLM","rand5.BATHYRAJA.SMITHII_PA1_RUN4_GLM","rand1.BATHYRAJA.SMITHII_PA1_RUN4_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_RUN4_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_RUN4_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_RUN4_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_RUN4_MAXENT.Phillips","rand1.BATHYRAJA.SMITHII_PA1_RUN5_GAM","rand2.BATHYRAJA.SMITHII_PA1_RUN5_GAM","rand3.BATHYRAJA.SMITHII_PA1_RUN5_GAM","rand4.BATHYRAJA.SMITHII_PA1_RUN5_GAM","rand5.BATHYRAJA.SMITHII_PA1_RUN5_GAM","rand1.BATHYRAJA.SMITHII_PA1_RUN5_GLM","rand2.BATHYRAJA.SMITHII_PA1_RUN5_GLM","rand3.BATHYRAJA.SMITHII_PA1_RUN5_GLM","rand4.BATHYRAJA.SMITHII_PA1_RUN5_GLM","rand5.BATHYRAJA.SMITHII_PA1_RUN5_GLM","rand1.BATHYRAJA.SMITHII_PA1_RUN5_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_RUN5_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_RUN5_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_RUN5_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_RUN5_MAXENT.Phillips","rand1.BATHYRAJA.SMITHII_PA1_Full_GAM","rand2.BATHYRAJA.SMITHII_PA1_Full_GAM","rand3.BATHYRAJA.SMITHII_PA1_Full_GAM","rand4.BATHYRAJA.SMITHII_PA1_Full_GAM","rand5.BATHYRAJA.SMITHII_PA1_Full_GAM","rand1.BATHYRAJA.SMITHII_PA1_Full_GLM","rand2.BATHYRAJA.SMITHII_PA1_Full_GLM","rand3.BATHYRAJA.SMITHII_PA1_Full_GLM","rand4.BATHYRAJA.SMITHII_PA1_Full_GLM","rand5.BATHYRAJA.SMITHII_PA1_Full_GLM","rand1.BATHYRAJA.SMITHII_PA1_Full_MAXENT.Phillips","rand2.BATHYRAJA.SMITHII_PA1_Full_MAXENT.Phillips","rand3.BATHYRAJA.SMITHII_PA1_Full_MAXENT.Phillips","rand4.BATHYRAJA.SMITHII_PA1_Full_MAXENT.Phillips","rand5.BATHYRAJA.SMITHII_PA1_Full_MAXENT.Phillips"
0.946754,0.961442,0.932718,0.949632,0.941697,0.770203,0.734188,0.754272,0.742886,0.714582,0.868118,0.860378,0.840178,0.829765,0.87945,0.870905,0.873561,0.888512,0.901775,0.89088,0.811384,0.756921,0.815409,0.801513,0.803297,0.797912,0.783885,0.798794,0.801924,0.78178,0.876269,0.753446,0.837553,0.83833,0.805631,0.886557,0.869082,0.875958,0.819712,0.901012,0.839362,0.844384,0.856895,0.851321,0.840307,0.558255,0.566777,0.609867,0.612652,0.630173,0.951858,0.942232,0.982139,0.941237,0.955375,0.748878,0.789942,0.81331,0.732756,0.781502,0.842787,0.851371,0.864542,0.792437,0.861942,0.792182,0.766762,0.775604,0.775918,0.746052,0.792622,0.761712,0.740332,0.788953,0.801383,0.849792,0.889258,0.850553,0.797898,0.802513
0.872011,0.899609,0.837192,0.865735,0.8453,0.427355,0.429476,0.453819,0.429606,0.414561,0.341878,0.30939,0.335808,0.322888,0.320648,1,1,1,1,1,0.364926,0.393242,0.400152,0.396662,0.385863,0.828064,0.84517,0.850244,0.843585,0.829287,0.254313,0.251974,0.267829,0.272158,0.258978,0.725806,0.652562,0.713453,0.648351,0.673886,0.130143,0.125158,0.121263,0.126004,0.119954,0.283504,0.304287,0.29422,0.311405,0.283424,0.776052,0.748197,0.726507,0.726146,0.783309,0.709895,0.727694,0.70174,0.711565,0.715765,0.164267,0.147243,0.159641,0.152591,0.168838,0.807073,0.76585,0.769429,0.742852,0.774331,0.926389,0.960477,0.936882,0.945761,0.944936,0.164416,0.157519,0.156941,0.157098,0.170003
0.70668,0.694577,0.699392,0.710178,0.715242,0,0,0,0,0,0.037038,0.039015,0.041471,0.0444290000000001,0.044187,0.587494,0.586244,0.596871,0.596217,0.581109,0.017964,0.020294,0.0196460000000001,0.020766,0.018645,0,0,0,0,0,0.00507299999999999,0.00404000000000004,0.00404199999999999,0.00509599999999999,0.00499400000000005,0.59474,0.593134,0.609359,0.597649,0.584294,0,0,0,0,0,0.038382,0.0478460000000001,0.040443,0.041577,0.043547,0.588,0.60718,0.585102,0.59682,0.596272,0.212408,0.207553,0.220636,0.208748,0.23124,0.0205419999999999,0.02001,0.022284,0.021429,0.019584,0.60478,0.626849,0.603379,0.610166,0.625445,0.682885,0.696694,0.719956,0.696839,0.702209,0.0208970000000001,0.023585,0.018757,0.031172,0.024338
0.574087,0.55113,0.56064,0.552158,0.597734,0.560528,0.566065,0.553993,0.576392,0.587655,0.081315,0.078857,0.07924,0.07953,0.079859,0,0,0,0,0,0.010503,0.012501,0.011972,0.011209,0.011978,0,0,0,0,0,0.00927,0.00851199999999996,0.010221,0.00966400000000001,0.00954299999999997,0.493196,0.519652,0.513834,0.524438,0.508878,0,0,0,0,0,0.00365899999999997,0.00341800000000003,0.00357700000000005,0.00314899999999996,0.00340300000000004,0.712651,0.727749,0.703903,0.705653,0.715035,0.896725,0.875721,0.912927,0.890726,0.881801,0.00307599999999997,0.00309000000000004,0.003104,0.00327599999999995,0.00341100000000005,0.623395,0.641977,0.632841,0.641484,0.638074,0.799476,0.764362,0.770779,0.795622,0.799427,0.010385,0.010511,0.011217,0.010749,0.01056
0.419665,0.434066,0.413357,0.408651,0.40301,0.23549,0.233935,0.224723,0.22666,0.234305,0.00455700000000003,0.00560499999999997,0.005687,0.00370199999999998,0.00490599999999997,0.197851,0.182643,0.191843,0.181851,0.200095,0.010449,0.011865,0.010841,0.00986500000000001,0.00951999999999997,0.019029,0.020471,0.019068,0.025146,0.018945,0.053159,0.04553,0.053868,0.052188,0.049053,0.50279,0.512713,0.455444,0.535997,0.554868,0,0,0,0,0,0.123067,0.134976,0.125615,0.11373,0.128881,0.397998,0.352046,0.389794,0.389835,0.390054,0.299224,0.28428,0.300792,0.304287,0.281943,0.045787,0.05028,0.045359,0.041574,0.041254,0.309879,0.342763,0.35425,0.338119,0.34502,0.419688,0.400859,0.40704,0.41977,0.410996,0.00954299999999997,0.00953199999999998,0.010666,0.00917900000000005,0.0115499999999999
0.5346,0.516363,0.537729,0.534995,0.519521,0.490681,0.501588,0.480165,0.480604,0.497538,0.023268,0.030711,0.024,0.028981,0.029863,0,0,0,0,0,0.046243,0.050731,0.040243,0.057912,0.041651,0,0,0,0,0,0.015653,0.020469,0.017946,0.019906,0.017338,0.497851,0.548174,0.498899,0.530727,0.487777,0.387869,0.359586,0.368173,0.372834,0.376275,0.03845,0.0306650000000001,0.030353,0.030182,0.029389,0.415068,0.438261,0.39852,0.427315,0.429039,0.10135,0.095044,0.092942,0.098665,0.119284,0.04323,0.036327,0.037672,0.040419,0.036236,0.413395,0.418562,0.405229,0.430776,0.378883,0.126494,0.118015,0.115416,0.103273,0.104392,0.00612800000000002,0.00570800000000005,0.00615200000000005,0.00619999999999998,0.00620299999999996
0.144875,0.144657,0.147654,0.16798,0.143007,0,0,0,0,0,0.075107,0.088722,0.079914,0.072603,0.074882,0,0,0,0,0,0.013316,0.015761,0.0119669999999999,0.013418,0.01592,0.093156,0.102947,0.103035,0.101748,0.103773,0.042968,0.0412400000000001,0.042072,0.040241,0.046616,0.374776,0.381339,0.379306,0.370621,0.391347,0.206584,0.223517,0.209364,0.226201,0.236105,0.023302,0.02646,0.023729,0.0360470000000001,0.0187659999999999,0.297259,0.326845,0.304238,0.304135,0.309995,0.482466,0.480866,0.470033,0.491886,0.485411,0.073507,0.069946,0.0668530000000001,0.07704,0.078232,0.381517,0.383258,0.406517,0.39304,0.399715,0.419894,0.425631,0.427696,0.430692,0.41212,0.00573299999999999,0.00573400000000002,0.00662700000000005,0.00621700000000003,0.00550700000000004
0.28619,0.27354,0.301564,0.275347,0.278114,0.018057,0.01511,0.0164,0.014574,0.016976,0.0503,0.053884,0.0618880000000001,0.0452,0.044609,0,0,0,0,0,0.065416,0.054647,0.050168,0.0578610000000001,0.050701,0,0,0,0,0,0.0215880000000001,0.0163489999999999,0.018068,0.019571,0.019965,0.194226,0.210197,0.229191,0.205441,0.212009,0,0,0,0,0,0.0504520000000001,0.045682,0.049455,0.046275,0.0498,0.201464,0.180546,0.19748,0.176458,0.189802,0.606829,0.58401,0.600634,0.616041,0.577245,0.016092,0.01756,0.014876,0.017257,0.014531,0.130736,0.150685,0.147382,0.143208,0.165196,0.464356,0.455047,0.465315,0.469804,0.475782,0.00594099999999997,0.00519700000000001,0.00473199999999996,0.00531000000000004,0.00535799999999997
0.600342,0.560631,0.563723,0.56244,0.556331,0.590563,0.603876,0.590283,0.593377,0.59726,0.00847900000000001,0.00837900000000003,0.00864799999999999,0.00847699999999996,0.011977,0,0,0,0,0,0.063038,0.051154,0.054067,0.0510930000000001,0.04262,0.22692,0.247545,0.231718,0.234313,0.235068,0.0775749999999999,0.096121,0.101502,0.080568,0.077412,0.608834,0.634497,0.595731,0.605211,0.600154,0.43531,0.442601,0.409196,0.447559,0.45436,0.030577,0.026346,0.021837,0.025693,0.017204,0.592967,0.59731,0.574765,0.587081,0.578569,0,0,0,0,0,0.041102,0.046966,0.045829,0.040874,0.047013,0.522651,0.50083,0.526999,0.523129,0.534173,0.607424,0.600678,0.577905,0.589207,0.593443,0.020308,0.0203950000000001,0.016702,0.024454,0.020327
0.205487,0.187329,0.211132,0.217186,0.205786,0.460603,0.459902,0.477574,0.454188,0.460009,0.00296300000000005,0.00290500000000005,0.00333600000000001,0.00309599999999999,0.00319800000000003,0.00587199999999999,0.00976999999999995,0.00878299999999999,0.00684499999999999,0.00976999999999995,0.024552,0.026481,0.023957,0.02298,0.023618,0.401132,0.414146,0.396033,0.383074,0.424506,0.00316000000000005,0.00323600000000002,0.00358099999999995,0.00330900000000001,0.003162,0.146742,0.154988,0.127823,0.148816,0.132644,0,0,0,0,0,0.045099,0.049538,0.042759,0.05178,0.044872,0.266833,0.288864,0.29148,0.273605,0.260772,0,0,0,0,0,0.0232599999999999,0.0210360000000001,0.02156,0.02057,0.02222,0.261687,0.23755,0.262086,0.239253,0.277252,0.095777,0.094316,0.098469,0.08921,0.0947750000000001,0.00212199999999996,0.00204300000000002,0.00213799999999997,0.00206499999999998,0.00221700000000002
