"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.924,550.5,96.739,95.652
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.924,697,95.652,96.739
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.681,495,90.323,77.778
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.65,495,90,75
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.897,0,100,0
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.624,495,76.667,85.714
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.448,263,73.333,71.429
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.724,328,82.759,89.655
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.621,495,89.655,72.414
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.931,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.793,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.757,500,90,85.714
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.793,5,93.103,86.207
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.793,66,89.655,89.655
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.621,20,80,82.143
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.621,495,80.645,81.481
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.655,106,79.31,86.207
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.862,480,93.333,92.857
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.621,15,82.759,79.31
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.599,495,70.968,88.889
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.655,25,82.759,82.759
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.867,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.848,649,93.478,90.217
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.924,465,98.913,93.478
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.76,719,87.097,88.889
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.679,495,100,67.857
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.862,306,96.552,89.655
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.683,495,93.333,75
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.862,505,93.333,92.857
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.793,578,100,79.31
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.724,879,89.655,82.759
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.931,646.5,96.552,96.552
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.897,278,93.103,96.552
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.893,333,100,89.286
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.828,413,96.552,86.207
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.793,83,100,79.31
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.757,778,90,85.714
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.778,137,100,77.778
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.793,460,89.655,89.655
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.929,58,100,92.857
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.759,503,89.655,86.207
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.871,747,87.097,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.931,242.5,100,93.103
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.867,164,100,86.667
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.891,150,94.565,94.565
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.815,85.5,93.478,88.043
