"rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN1_MAXENT.Phillips","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN2_MAXENT.Phillips","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN3_MAXENT.Phillips","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN4_MAXENT.Phillips","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_RUN5_MAXENT.Phillips","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GAM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GAM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GAM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GAM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GAM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GLM","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GLM","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GLM","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GLM","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_Full_GLM","rand1.BATHYTOSHIA.BREVICAUDATA_PA1_Full_MAXENT.Phillips","rand2.BATHYTOSHIA.BREVICAUDATA_PA1_Full_MAXENT.Phillips","rand3.BATHYTOSHIA.BREVICAUDATA_PA1_Full_MAXENT.Phillips","rand4.BATHYTOSHIA.BREVICAUDATA_PA1_Full_MAXENT.Phillips","rand5.BATHYTOSHIA.BREVICAUDATA_PA1_Full_MAXENT.Phillips"
0.711427,0.725442,0.698441,0.702918,0.756131,0.766178,0.752888,0.713559,0.77609,0.744786,0.879912,0.890082,0.888688,0.842738,0.871391,0.831011,0.832812,0.756255,0.82495,0.854031,0.743501,0.788781,0.757147,0.810114,0.802894,0.899186,0.928488,0.958917,0.958956,0.88689,0.648367,0.65258,0.711136,0.689054,0.711617,0.304313,0.302471,0.273972,0.313404,0.283355,0.872839,0.871289,0.887764,0.930607,0.90382,0.672295,0.649324,0.639254,0.576743,0.685184,1,1,1,1,1,0.859865,0.837297,0.865776,0.891065,0.849185,0.648285,0.632689,0.652812,0.673716,0.673051,1,1,1,1,1,0.974883,0.981086,0.97717,0.992768,0.948741,0.818973,0.861408,0.85467,0.820238,0.856838,0.963573,0.96669,0.97767,0.974803,0.961645,0.941365,0.896342,0.909918,0.922944,0.924171
0.585449,0.57383,0.639074,0.617174,0.571711,0.080292,0.081723,0.0788450000000001,0.078803,0.077511,0.00630900000000001,0.00682700000000003,0.00633700000000004,0.00600299999999998,0.00654900000000003,0.564426,0.579884,0.574919,0.568899,0.549489,0.592885,0.591585,0.606807,0.596291,0.600793,0,0,0,0,0,0.510934,0.506906,0.497571,0.491899,0.510506,0.134825,0.122272,0.123863,0.142953,0.128557,0.00107100000000004,0.00101399999999996,0.00169200000000003,0.00109099999999995,0.00125500000000001,0.584501,0.533318,0.567894,0.569332,0.555762,0,0,0,0,0,0.039717,0.049077,0.040175,0.038855,0.04761,0.542477,0.52072,0.479224,0.488071,0.553519,0.290471,0.28374,0.300587,0.314178,0.313687,0.063804,0.064533,0.061429,0.059582,0.06214,0.427492,0.416751,0.433685,0.460282,0.435235,0.497413,0.495469,0.489176,0.485858,0.479918,0.0165689999999999,0.0183179999999999,0.018137,0.016016,0.017524
0.447127,0.442669,0.45286,0.456814,0.495769,0.221019,0.212476,0.233555,0.203573,0.218042,0.09868,0.0918870000000001,0.104809,0.104531,0.103492,0.47314,0.449485,0.489624,0.497301,0.464546,0.041706,0.042689,0.04136,0.040207,0.041872,0.00636099999999995,0.00683299999999998,0.00660799999999995,0.00662700000000005,0.00676399999999999,0.512879,0.518222,0.532294,0.44406,0.558844,0.182136,0.168533,0.171764,0.179206,0.153346,0.006907,0.00710200000000005,0.00714599999999999,0.00732600000000005,0.00693500000000002,0.431656,0.473146,0.449184,0.440654,0.501599,0.177876,0.169057,0.182546,0.186528,0.188259,0.032054,0.029258,0.030355,0.030544,0.029208,0.429916,0.452908,0.484987,0.518412,0.492501,0.155977,0.159597,0.143218,0.122477,0.126416,0.00502499999999995,0.00604099999999996,0.00397700000000001,0.00578400000000001,0.00351400000000002,0.358876,0.376852,0.382216,0.350724,0.336683,0.101288,0.086884,0.095378,0.0932770000000001,0.08763,0.011169,0.010251,0.010096,0.010677,0.010656
0.76846,0.802252,0.748294,0.760375,0.782898,0.528295,0.520345,0.542795,0.500883,0.547407,0.20558,0.202515,0.216549,0.208281,0.210661,0.600705,0.591882,0.612463,0.606267,0.595957,0.997501,1,1,1,1,0.122314,0.114555,0.106619,0.116084,0.113996,0.902119,0.945469,0.921479,0.892551,0.874619,0.767799,0.78864,0.80935,0.796888,0.802618,0,0,0,0,0,0.768295,0.778923,0.733476,0.729972,0.760679,0,0,0,0,0,0.505418,0.468899,0.485816,0.488962,0.499451,0.618468,0.655215,0.672519,0.632963,0.642409,1,1,1,1,1,0.321526,0.287766,0.295672,0.30245,0.277879,0.537391,0.588467,0.542063,0.546435,0.563084,0.65071,0.668585,0.641131,0.667066,0.647044,0.372464,0.366601,0.363884,0.376579,0.383749
0.788914,0.786657,0.799317,0.830808,0.803658,0.232955,0.242964,0.25186,0.253986,0.246804,0.232562,0.233613,0.246488,0.231563,0.233155,0.644518,0.671244,0.648508,0.652898,0.689101,0.626785,0.616111,0.612876,0.619346,0.626021,0.199337,0.176797,0.179682,0.192052,0.179089,0.709945,0.707947,0.715839,0.715205,0.728096,0.549746,0.543975,0.552437,0.525836,0.531165,0.137369,0.137807,0.143126,0.143239,0.135347,0.781286,0.786626,0.771911,0.782303,0.783345,0,0,0,0,0,0.406854,0.40801,0.413245,0.429933,0.406422,0.753971,0.715621,0.730265,0.675543,0.694258,0.623463,0.616996,0.602579,0.633842,0.627682,0.185144,0.173581,0.181009,0.190391,0.196082,0.635119,0.613649,0.663329,0.645524,0.650933,0.806969,0.800852,0.80191,0.777416,0.804081,0.290312,0.296211,0.298692,0.303558,0.28851
0.681758,0.669077,0.638092,0.645171,0.643615,0.325612,0.317211,0.315368,0.328022,0.328744,0.022734,0.023099,0.022907,0.023757,0.024963,0.632382,0.71378,0.675083,0.685768,0.662999,0.985904,0.968798,0.954176,0.955411,0.990524,0.161386,0.168287,0.171972,0.162954,0.155063,0.810832,0.798629,0.80701,0.788776,0.830486,0,0,0,0,0,0.022537,0.023268,0.028051,0.022209,0.022108,0.713214,0.734047,0.687216,0.70959,0.738063,0,0,0,0,0,0.00332900000000003,0.00330600000000003,0.00339999999999996,0.00318700000000005,0.00312599999999996,0.580151,0.580375,0.527247,0.514015,0.544783,0,0,0,0,0,0,0,0,0,0,0.413,0.404589,0.410678,0.4215,0.40568,0,0,0,0,0,0.015803,0.015428,0.01597,0.016227,0.0146579999999999
0.753217,0.764195,0.743212,0.742221,0.706344,0.267674,0.254662,0.265334,0.265927,0.267451,0.081074,0.075431,0.071584,0.072074,0.069101,0.60685,0.605934,0.619997,0.604439,0.595702,1,0.983296,1,0.996408,0.98231,0.0189279999999999,0.021335,0.01981,0.021554,0.021134,0.673064,0.68304,0.662123,0.685217,0.688535,0.575926,0.561753,0.59581,0.561327,0.569279,0.165082,0.145345,0.151944,0.161495,0.147164,0.733844,0.724356,0.755478,0.737588,0.709311,0,0,0,0,0,0,0,0,0,0,0.690901,0.698875,0.677088,0.688882,0.671289,0.653642,0.642704,0.64396,0.648192,0.64754,0,0,0,0,0,0.555844,0.550278,0.596865,0.555087,0.570405,0.180848,0.193152,0.195107,0.18135,0.196554,0.00133099999999997,0.00133099999999997,0.001471,0.00131000000000003,0.00128600000000001
0.701672,0.678762,0.696705,0.666211,0.689409,0,0,0,0,0,0,0,0,0,0,0.643905,0.681826,0.658029,0.638639,0.632418,0.752765,0.749983,0.737181,0.745009,0.760571,0.103955,0.088035,0.094,0.098187,0.093407,0.549999,0.52928,0.481863,0.546984,0.535544,0,0,0,0,0,0.021365,0.021738,0.021289,0.018081,0.016018,0.833771,0.808152,0.827844,0.820387,0.844844,0,0,0,0,0,0,0,0,0,0,0.630128,0.634869,0.63192,0.635486,0.640673,0.574931,0.561371,0.536793,0.529665,0.556057,0,0,0,0,0,0.624285,0.60569,0.628621,0.593249,0.618007,0.492247,0.502306,0.491958,0.488539,0.485778,4.30000000000152e-05,4.59999999999905e-05,4.000000000004e-05,4.000000000004e-05,4.8000000000048e-05
0.669288,0.638103,0.612462,0.627945,0.637139,0.019477,0.020703,0.018513,0.01932,0.021655,0.057786,0.051563,0.04534,0.045365,0.059585,0.385125,0.406385,0.406773,0.418577,0.401037,0.889101,0.877903,0.880147,0.892918,0.889742,0.018293,0.020424,0.015664,0.015006,0.0171750000000001,0.314604,0.337478,0.366124,0.356326,0.359671,0.022037,0.019506,0.016146,0.022805,0.021247,0.049628,0.0526180000000001,0.053963,0.050058,0.050044,0.703591,0.689361,0.693752,0.685955,0.689118,0.122302,0.132393,0.126388,0.127427,0.126253,0.00749599999999995,0.00739400000000001,0.00815699999999997,0.00651599999999997,0.006826,0.370329,0.372225,0.395376,0.377407,0.323051,0.128513,0.139673,0.156931,0.135991,0.141182,0.010235,0.01076,0.010857,0.00999499999999998,0.00992099999999996,0.151351,0.148621,0.159748,0.141519,0.15323,0.090599,0.082301,0.088293,0.07958,0.080487,0.052487,0.043924,0.050615,0.052798,0.049427
0.764066,0.797178,0.784731,0.793834,0.762593,0.446297,0.429576,0.409642,0.432667,0.440303,0.083233,0.092651,0.09005,0.091106,0.102471,0.608265,0.676671,0.636656,0.62141,0.620714,0.403234,0.427088,0.409963,0.410686,0.409931,0.070349,0.062867,0.0660230000000001,0.068732,0.069255,0.809654,0.814754,0.820539,0.781379,0.791896,0.556697,0.549159,0.535081,0.537595,0.552788,0.00765899999999997,0.00804499999999997,0.00754500000000002,0.00808799999999998,0.00783699999999998,0.826772,0.83997,0.799584,0.817909,0.829457,0.462304,0.449784,0.44593,0.468122,0.450989,0.042192,0.040689,0.0408809999999999,0.037536,0.0373289999999999,0.838951,0.887524,0.816501,0.837319,0.834978,0.554417,0.553227,0.570614,0.551371,0.567809,0.08451,0.084893,0.081929,0.089849,0.084718,0.522506,0.467253,0.50132,0.489808,0.521194,0.124794,0.124466,0.120192,0.120247,0.120331,0.068454,0.063173,0.068369,0.066198,0.064462
