"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.985,495,100,98.485
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.939,550.5,96.97,96.97
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.848,428,98.485,86.364
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.636,495,81.818,81.818
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.826,424,100,82.609
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.864,439,95.455,90.909
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.591,495,81.818,77.273
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.818,379,90.909,90.909
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.909,765,90.909,100
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.861,641,95.652,90.476
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.735,86,95.238,78.261
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.864,495,95.455,90.909
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.773,177,95.455,81.818
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.727,495,81.818,90.909
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.913,111,100,91.304
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.957,384,100,95.652
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.774,391,90.476,86.957
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.818,495,90.909,90.909
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.718,278,95.652,76.19
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.773,495,86.364,90.909
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.774,823,86.957,90.476
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.636,298,86.364,77.273
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.783,409,100,78.261
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.97,579,96.97,100
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.939,668.5,93.939,100
