"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.977,838,100,97.676
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.83,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.841,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.712,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.7,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.792,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.956,717,100,95.612
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.927,687,97.222,95.513
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.892,540,94.286,94.876
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.833,495,91.429,91.914
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.891,253,97.143,91.994
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.8,495,88.571,91.433
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.899,40,98.913,90.984
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.903,211,97.222,93.029
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.919,210,97.143,94.796
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.907,119.5,97.143,93.595
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.838,151,91.429,92.394
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.912,123,97.143,94.075
