"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,495,100,99.92
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.995,495,100,99.519
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.495,495,50,99.519
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.498,495,50,99.84
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.999,495,100,99.92
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.497,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.999,980,100,99.92
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.975,495,100,97.516
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,1000,0,99.84
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.99,495,100,99.038
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.996,495,100,99.599
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.996,495,100,99.599
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.999,408,100,99.88
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.999,614,100,99.92
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.999,580,100,99.92
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",1,460,100,100
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.999,342,100,99.92
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.996,329,100,99.599
