"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",1,495,100,100
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",1,495,100,100
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.675,126,80,87.5
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.889,495,100,88.889
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.706,495,92.857,77.778
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.8,495,100,80
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.889,495,100,88.889
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.889,495,100,88.889
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.778,419,100,77.778
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.889,495,100,88.889
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.778,495,100,77.778
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",1,495,100,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.667,0,100,0
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.933,5,93.333,100
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.8,0,100,0
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",1,808,100,100
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",1,495,100,100
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",1,475,100,100
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.667,495,100,66.667
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",1,475,100,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.817,495,92.857,88.889
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.889,495,100,88.889
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.864,247,90.909,95.455
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",1,604,100,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.625,402,100,62.5
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.889,247,100,88.889
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.595,330,92.857,66.667
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.6,247,100,60
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.746,269,85.714,88.889
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.889,247,100,88.889
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.667,57.5,100,66.667
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.889,247,100,88.889
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.778,137.5,100,77.778
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.333,293,100,33.333
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.595,247,92.857,66.667
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.875,327,100,87.5
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",1,516,100,100
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.889,247,100,88.889
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.817,298,92.857,88.889
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.8,334,100,80
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.333,247,100,33.333
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.6,307,100,60
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.778,357,100,77.778
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.778,247,100,77.778
