"rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN1_MAXENT.Phillips","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN2_MAXENT.Phillips","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN3_MAXENT.Phillips","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN4_MAXENT.Phillips","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_RUN5_MAXENT.Phillips","rand1.CARCHARHINUS.AMBOINENSIS_PA1_Full_GAM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_Full_GAM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_Full_GAM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_Full_GAM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_Full_GAM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_Full_GLM","rand2.CARCHARHINUS.AMBOINENSIS_PA1_Full_GLM","rand3.CARCHARHINUS.AMBOINENSIS_PA1_Full_GLM","rand4.CARCHARHINUS.AMBOINENSIS_PA1_Full_GLM","rand5.CARCHARHINUS.AMBOINENSIS_PA1_Full_GLM","rand1.CARCHARHINUS.AMBOINENSIS_PA1_Full_MAXENT.Phillips","rand2.CARCHARHINUS.AMBOINENSIS_PA1_Full_MAXENT.Phillips","rand3.CARCHARHINUS.AMBOINENSIS_PA1_Full_MAXENT.Phillips","rand4.CARCHARHINUS.AMBOINENSIS_PA1_Full_MAXENT.Phillips","rand5.CARCHARHINUS.AMBOINENSIS_PA1_Full_MAXENT.Phillips"
1,0.999511,1,1,0.988696,1,0.649213,0.835351,0.828546,0.669477,0.867473,0.619986,0.672822,0.674825,0.684884,1,0.976629,1,0.994826,0.96379,1,1,0.957038,1,1,0.653592,0.634912,0.791745,0.706192,0.663611,0.544129,1,0.808836,0.676844,0.983741,0,0,0,0,0,0.624219,0.574638,0.667218,0.618026,0.767386,0.985145,0.940059,0.966142,0.89174,0.965878,0,0,0,0,0,0.72481,0.62266,0.798562,0.711522,0.733227,0.920637,0.977365,0.941148,0.977365,0.946118,0,0,0,0,0,0.587142,0.631463,0.449013,0.613608,0.504329,0.961444,0.933118,0.969337,0.882778,0.916844,0.737719,0.723668,0.722332,0.676683,0.712409,0.692873,0.853518,0.709929,0.657583,0.812084
1,1,1,0.995167,1,0.781408,0.731601,0.767285,1,0.876406,0,0,0,0,0,0.725484,0.77999,0.753586,0.832619,0.68172,0,0,0,0,0,0,0,0,0,0,0.436085,0.363415,0.404793,0.395815,0.396843,0.776728,0.790599,0.788259,0.78304,0.782292,0,0,0,0,0,0.823163,0.813813,0.848942,0.854404,0.83037,0,0,0,0,0,0.1288,0.109341,0.123409,0.121759,0.119336,0.905245,0.906259,0.905577,0.890622,0.905755,0.928462,0.994455,0.965992,0.937301,0.956529,0,0,0,0,0,0.495607,0.486033,0.481026,0.474369,0.466692,0.759401,0.754277,0.763564,0.757332,0.749226,0.018242,0.0193719999999999,0.022853,0.019945,0.024196
1,1,0.97079,1,1,0,0,0,0,0,0.818205,0.838325,0.707838,0.741096,0.732349,1,0.989628,1,0.990396,0.966978,0,0,0,0,0,0.623826,0.613052,0.559789,0.578974,0.567235,0.984272,1,1,0.926139,0.876386,0.009579,0.009579,0.009579,0,0.019247,0.473403,0.606487,0.5148,0.514334,0.554556,1,1,0.985688,1,1,1,0.969605,1,0.997863,0.988513,0.867596,0.809554,0.721509,0.828697,0.813315,1,0.975378,1,1,0.995989,0.346656,0.264392,0.466813,0.391892,0.368873,0.805182,0.728539,0.826757,0.870111,0.698236,0.670681,0.643293,0.764895,0.691446,0.583751,0,0,0,0,0,0.465414,0.455209,0.357774,0.340094,0.403698
0.737912,0.888918,0.892374,0.781192,0.852929,1,1,1,0.83562,1,0.641706,0.544424,0.560184,0.567204,0.544964,0.566194,0.505663,0.591813,0.559368,0.544064,0.994916,0.975662,0.925984,0.978282,0.978808,0.166238,0.214293,0.171932,0.195836,0.166611,0.863829,0.892587,0.92471,0.911057,0.862005,0,0,0,0,0,0.557142,0.535096,0.574578,0.544342,0.631294,0.960373,0.940021,0.951614,0.931118,0.943327,0.959909,0.827573,0.919498,0.901539,0.922475,0.948947,0.981544,0.978755,0.958907,0.951272,0.941038,0.949092,0.940513,0.949527,0.949579,0,0,0,0,0,0.570615,0.620153,0.48247,0.522933,0.528946,0.810519,0.731373,0.641428,0.771628,0.628382,0.651553,0.688373,0.726132,0.66923,0.696869,0.727003,0.718298,0.713308,0.824666,0.696311
0.904603,0.909598,0.900604,0.919075,0.930052,0.738049,0.77242,0.689996,0.810188,0.745052,0,0,0,0,0,0.886038,0.859457,0.886238,0.879362,0.907641,0.74405,0.801812,0.779083,0.848519,0.757793,0,0,0,0,0,0.690147,0.776154,0.705722,0.747843,0.706561,0.871842,0.902741,0.911494,0.893459,0.906955,0,0,0,0,0,0.922189,0.906215,0.918808,0.91618,0.925407,0.688839,0.645386,0.661365,0.682871,0.648631,0.538435,0.572546,0.520261,0.525984,0.55123,0.89039,0.887888,0.868306,0.88563,0.886057,0,0,0,0,0,0,0,0,0,0,0.927626,0.92258,0.876112,0.876052,0.866897,0,0,0,0,0,0,0,0,0,0
0.694775,0.718523,0.678168,0.732736,0.707963,0.61659,0.593983,0.624491,0.714471,0.632248,0,0,0,0,0,0.421199,0.431189,0.389374,0.392021,0.432114,0.924373,0.978359,0.92558,0.927384,0.926354,0,0,0,0,0,0.45662,0.512031,0.491342,0.396447,0.344113,0.766891,0.756485,0.745917,0.767874,0.754925,0,0,0,0,0,0.698792,0.647192,0.66042,0.618463,0.665121,0,0,0,0,0,0,0,0,0,0,0.940869,0.933554,0.939057,0.951208,0.950707,0,0,0,0,0,0,0,0,0,0,0.571579,0.633366,0.581526,0.655414,0.65435,1,1,1,1,1,0,0,0,0,0
0.755632,0.835201,0.731041,0.74029,0.745064,0,0,0,0,0,0,0,0,0,0,1,0.975309,0.976415,0.981587,0.965091,0,0,0,0,0,0,0,0,0,0,0.867847,0.895778,0.82122,0.843696,0.872304,0,0,0,0,0,0,0,0,0,0,1,0.989622,1,1,0.999553,0.590958,0.855321,0.693241,0.829368,0.677732,0,0,0,0,0,0.986804,0.963501,0.956138,0.971642,0.949607,0.965146,0.992177,0.985483,0.986737,0.995975,0,0,0,0,0,0.317103,0.429228,0.295262,0.334148,0.273497,0.823774,0.813399,0.809676,0.806296,0.831589,0,0,0,0,0
0.718885,0.837022,0.771936,0.860809,0.927968,0,0,0,0,0,0,0,0,0,0,0.910501,0.896657,0.901631,0.896199,0.884615,0.945801,0.945046,0.948761,0.921833,0.964603,0.172022,0.127404,0.189526,0.133026,0.159565,1,0.987839,1,1,0.977162,1,1,1,0.989505,0.993623,0,0,0,0,0,0.918553,0.917677,0.955447,0.911051,0.945247,0,0,0,0,0,0.374294,0.346282,0.355577,0.36612,0.379368,1,1,1,0.986456,1,0.958281,0.957474,0.956971,0.938044,0.936946,0,0,0,0,0,0.782641,0.744445,0.735086,0.783229,0.765618,0,0,0,0,0,0.03879,0.0379930000000001,0.035379,0.037514,0.043471
0.748713,0.743195,0.680782,0.764302,0.694624,0,0,0,0,0,0,0,0,0,0,0.97958,0.967455,0.978614,0.916098,0.900013,0,0,0,0,0,0,0,0,0,0,0.790789,0.845918,0.810076,0.82208,0.792625,0.036114,0.062794,0.0686290000000001,0.018548,0.044556,0,0,0,0,0,0.921559,0.900267,0.924905,0.926,0.8978,0.776508,0.71888,0.776546,0.634402,0.739746,0,0,0,0,0,1,1,1,0.996883,0.989156,0.996061,0.988174,0.989538,0.981689,0.988914,0,0,0,0,0,0.528363,0.42362,0.498392,0.70649,0.406175,0,0,0,0,0,0.00106799999999996,0.000546000000000046,0.00094099999999997,0.00125500000000001,0.00114999999999998
0.899955,0.881339,0.884846,0.894552,0.88309,0,0,0,0,0,0.00660899999999998,0.004637,0.00594700000000004,0.006328,0.00569200000000003,0.925283,0.925396,0.942102,0.957211,0.919424,0,0,0,0,0,0.181704,0.187291,0.201097,0.208945,0.227436,0.862182,0.785244,0.831111,0.819825,0.785244,0.995899,0.958887,0.988496,0.944315,0.985618,0.217954,0.201103,0.2082,0.183582,0.261835,0.89719,0.861647,0.886116,0.880072,0.884508,0,0,0,0,0,0.00193600000000005,0.00185500000000005,0.00165499999999996,0.00181100000000001,0.00155499999999997,0.890732,0.91402,0.893628,0.890289,0.871783,0,0,0,0,0,0.00129599999999996,0.00151800000000002,0.00168599999999997,0.00159600000000004,0.00159500000000001,0.635794,0.605535,0.598808,0.563295,0.612067,0.200726,0.198364,0.233479,0.232667,0.179926,0.018653,0.016606,0.014417,0.0161829999999999,0.0262250000000001
