"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.857,545,96.131,89.583
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.902,384,98.81,91.369
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.81,343,96.429,84.524
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.655,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.833,490,100,83.333
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.905,136,98.81,91.667
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.679,15,89.286,78.571
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.81,667,90.476,90.476
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.774,0,100,0
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.774,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.738,76,98.81,75
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.833,56,95.238,88.095
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.774,0,100,0
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.69,899,83.333,85.714
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.798,576,92.857,86.905
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.81,364,96.429,84.524
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.821,414,98.81,83.333
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.786,217,95.238,83.333
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.643,86,88.095,76.19
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.798,561,97.619,82.143
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.679,51,84.524,83.333
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.81,111,97.619,83.333
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.81,535,95.536,85.417
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.833,512,97.619,86.012
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.833,621.5,95.238,86.905
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.762,319,97.619,78.571
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.857,316,100,85.714
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.893,372,94.048,95.238
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.857,460.5,100,85.714
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.833,492,94.048,89.286
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.845,419,97.619,86.905
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.857,564,96.429,89.286
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.762,485,98.81,77.381
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.833,288,98.81,84.524
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.81,562,92.857,88.095
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.833,274,98.81,84.524
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.833,562.5,96.429,86.905
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.893,638,95.238,92.857
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.821,580,95.238,86.905
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.81,181,96.429,84.524
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.75,396,97.619,77.381
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.833,577,96.429,86.905
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.81,554,92.857,88.095
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.833,380,97.619,85.714
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.801,113,94.94,84.524
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.83,522,85.119,97.917
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.821,306,92.857,89.286
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.679,10,85.714,82.143
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.845,97,96.429,88.095
