"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.869,NA,263,98.81,88.095
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.869,NA,263,98.81,88.095
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.97,NA,266,98.81,88.095
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.774,NA,275,90.476,86.905
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.774,NA,275,90.476,86.905
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.933,NA,280,90.476,86.905
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.845,NA,379,95.238,89.286
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.845,NA,379,95.238,89.286
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.961,NA,380.5,95.238,89.286
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.869,NA,112,100,86.905
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.869,NA,112,100,86.905
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.958,NA,113,100,86.905
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.833,NA,210,96.429,86.905
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.833,NA,210,96.429,86.905
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.93,NA,211.5,96.429,86.905
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.81,NA,481,89.286,91.667
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.81,NA,481,89.286,91.667
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.946,NA,417.5,92.857,88.095
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.881,NA,554,94.048,94.048
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.881,NA,554,94.048,94.048
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.955,NA,557,94.048,94.048
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.857,NA,157,100,85.714
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.857,NA,157,100,85.714
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.969,NA,153.5,100,85.714
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.857,NA,458,97.619,88.095
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.857,NA,458,97.619,88.095
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.968,NA,459,97.619,88.095
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.917,NA,365,97.619,94.048
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.917,NA,365,97.619,94.048
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.967,NA,319.5,98.81,92.857
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.899,NA,450,97.619,92.262
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.899,NA,450,97.619,92.262
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.986,NA,450.5,97.619,92.262
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.81,NA,654,95.238,85.714
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.81,NA,758,94.048,86.905
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.928,NA,757,94.048,86.905
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.821,NA,347,89.286,92.857
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.821,NA,347,89.286,92.857
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.936,NA,351.5,89.286,92.857
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.845,NA,369,97.619,85.714
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.845,NA,369,97.619,85.714
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.951,NA,356.5,98.81,85.714
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.81,NA,349,91.667,89.286
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.81,NA,349,91.667,89.286
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.947,NA,350.5,91.667,89.286
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.881,NA,192.5,97.619,90.476
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.881,NA,192.5,97.619,90.476
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.962,NA,190.5,97.619,90.476
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.845,NA,366,95.238,89.286
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.845,NA,366,95.238,89.286
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.946,NA,364,95.238,89.286
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.893,NA,505,96.429,92.857
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.893,NA,505,96.429,92.857
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.969,NA,503,96.429,92.857
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.833,NA,448,95.238,86.905
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.833,NA,443,96.429,86.905
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.961,NA,441,96.429,86.905
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.81,NA,326,94.048,86.905
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.81,NA,326,94.048,86.905
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.931,NA,196.5,96.429,84.524
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.798,NA,287,94.048,85.714
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.798,NA,312,92.857,86.905
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.928,NA,211.5,95.238,84.524
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.884,NA,430,97.321,91.071
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.884,NA,430,97.321,91.071
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.985,NA,424.5,97.619,90.774
