"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.191,0.496,0.941,0.566,0.619,0.539,0.276,0.682,0.819,0.026,0.524,0.674,NA,0.696,0.74,0.135,0.784,0.47,NA,0.62,0.746,0.094,0.705,0.718,0.077,0.596,0.88,0.141,0.435,0.663,0.189,0.577,0.881,0.2,0.592,0.259,0.487,0.649,0.63,0.218,0.652,0.226,0.077,0.708,0.39,0.413,0.827,0.409,0.263,0.599,0.368,0.31,0.658,0.34,0.063,0.732,0.139,0.476,0.875,0.393,0.13,0.816,0.36,0.329,0.649,0.282
0.687,0.206,0.028,0.645,0,0.004,0.695,0,0.003,0.109,0,0.011,NA,0,0.055,0.601,0,0.005,NA,0,0.034,0.604,0,0.02,0.391,0,0.003,0.28,0,0.033,0.038,0,0.005,0.65,0.033,0.004,0.465,0,0.003,0.209,0,0.005,0.286,0.013,0.073,0.354,0,0.02,0.158,0,0.017,0.507,0,0.06,0.39,0,0.021,0.466,0,0,0.499,0,0.006,0.572,0.399,0
0.452,0,0.007,0.485,0,0,0.62,0,0.002,0.109,0,0,NA,0.174,0.025,0.399,0,0.006,NA,0,0,0.452,0,0.056,0.391,0,0,0.332,0,0,0,0,0,0.441,0,0.018,0.387,0.158,0,0.125,0,0.003,0.001,0,0.017,0.436,0,0,0.456,0,0.015,0.362,0,0,0.12,0,0,0.099,0,0.164,0.27,0,0,0.208,0.227,0.033
0.724,0,0,0.342,0,0,0.532,0.195,0,0.292,0,0,NA,0,0.019,0.138,0.016,0.017,NA,0.1,0,0.383,0.123,0,0.065,0,0,0.187,0,0.015,0.281,0,0,0.375,0,0.11,0.354,0,0.045,0.538,0,0.127,0.024,0,0.072,0.269,0,0.014,0.19,0,0.061,0.233,0,0,0.013,0,0.057,0.243,0,0.062,0.246,0,0,0.394,0,0.132
0.721,0.388,0.024,0.284,0.247,0.314,0.57,0.116,0.067,0.763,0.3,0.319,NA,0.077,0.04,0.854,0.154,0.351,NA,0.156,0.031,0.471,0.125,0.097,0.724,0.245,0.042,0.524,0.27,0.198,0.639,0.259,0.028,0.615,0.254,0.526,0.576,0.12,0.259,0.227,0.169,0.39,0.372,0.182,0.469,0.531,0.072,0.37,0.422,0.187,0.455,0.564,0.165,0.504,0.286,0.127,0.484,0.344,0.049,0.356,0.583,0.085,0.537,0.336,0.243,0.502
0.573,0,0,0.588,0,0,0.637,0,0.016,0.588,0,0.001,NA,0,0.135,0.663,0,0.023,NA,0,0.007,0.334,0,0.012,0.16,0,0,0.445,0,0,0.532,0,0.005,0.509,0,0.185,0.47,0,0.04,0.523,0,0.027,0.184,0,0.013,0.244,0,0,0.135,0,0.122,0.515,0,0.041,0.355,0,0.055,0.392,0,0.028,0.389,0,0.102,0.472,0,0.065
0.173,0,0.001,0.411,0,0.01,0.57,0,0.003,0.016,0,0,NA,0,0.011,0.283,0,0,NA,0,0,0.59,0,0.031,0.261,0,0,0.179,0,0,0.003,0,0,0.051,0,0.091,0.469,0.132,0.014,0.307,0,0.027,0.044,0,0.148,0.183,0,0.081,0.214,0,0.079,0.128,0,0.081,0.173,0,0.003,0.399,0,0.003,0.125,0,0.002,0.002,0,0.029
0.581,0.019,0.017,0.359,0.101,0.014,0.271,0,0.065,0.271,0.02,0.052,NA,0.04,0.043,0.433,0.063,0.128,NA,0,0.048,0.152,0.019,0.07,0.01,0.021,0.06,0.027,0,0.117,0.384,0.029,0.083,0.419,0.026,0.018,0.575,0.067,0.101,0.087,0.051,0.021,0.171,0.054,0,0.357,0.046,0,0.048,0.046,0.103,0.396,0.049,0.004,0.02,0.047,0.031,0.174,0.046,0.065,0.407,0.041,0,0.038,0,0.058
0.55,0,0.013,0.708,0,0.002,0.759,0,0,0.563,0,0.001,NA,0,0.033,0.553,0,0,NA,0,0,0.719,0,0.016,0.235,0,0.005,0.421,0.054,0.005,0.399,0,0.005,0.541,0,0.079,0.538,0,0.105,0.653,0,0.068,0.353,0,0.267,0.151,0,0.008,0.119,0,0.144,0.407,0,0.306,0.363,0,0.095,0.435,0,0.074,0.355,0,0.012,0.451,0,0.145
0.736,0,0,0.941,0,0,0.699,0,0,0.651,0,0,NA,0,0.077,0.646,0,0.102,NA,0,0.133,0.714,0,0.12,0.452,0,0.007,0.458,0,0.107,0.637,0,0.006,0.024,0,0.085,0.413,0.174,0.07,0.1,0,0.021,0.286,0,0.025,0.266,0,0.055,0.247,0.02,0.096,0.295,0,0,0.035,0,0.352,0.086,0,0.374,0.525,0,0,0.185,0,0.131
0.431,0.006,0,0.409,0,0,0.356,0,0,0.233,0.009,0,NA,0.012,0.058,0.344,0.012,0.064,NA,0,0.001,0.473,0,0,0.079,0.015,0,0.039,0.019,0.039,0.26,0.013,0,0.019,0.01,0.169,0.709,0,0.073,0.382,0,0.216,0.52,0,0.022,0.447,0,0.033,0.434,0.024,0.174,0.54,0,0.008,0.26,0,0.081,0.122,0,0.073,0.281,0,0.055,0.461,0,0.063
0.491,0,0,0.425,0,0,0.546,0.93,0,0.33,0,0,NA,0.783,0,0.76,0,0.082,NA,0.804,0,0.527,0,0,0.182,0,0,0.546,0.678,0.001,0.197,0,0,0.139,0,0.017,0.185,0,0.014,0.692,0,0.013,0.367,0,0.031,0.186,0,0.009,0.017,0,0.112,0.32,0,0,0.421,0,0.1,0.492,0,0.009,0.352,0,0,0.29,0,0.067
0.68,0,0,0.66,0,0,0.599,0,0.004,0.527,0,0,NA,0,0,0.73,0,0.001,NA,0,0,0.368,0,0.009,0.522,0,0,0.581,0.244,0.025,0.606,0,0,0.653,0,0.179,0.464,0,0.013,0.719,0,0.056,0.487,0,0.028,0.551,0,0.033,0.808,0,0.022,0.708,0,0,0.689,0,0.086,0.68,0,0.068,0.71,0,0,0.573,0,0.078
0.257,0.323,0,0.46,0,0,0.389,0.154,0,0.301,0.331,0.039,NA,0.326,0.03,0.47,0,0,NA,0.312,0,0.223,0,0.015,0.275,0.254,0,0.277,0.419,0.06,0.258,0.259,0,0.509,0,0.022,0.375,0,0.039,0.533,0,0.025,0.457,0,0.146,0.393,0,0.012,0.55,0,0.048,0.411,0,0.104,0.569,0,0.016,0.483,0,0,0.472,0,0,0.421,0,0.077
0.686,0,0,0.737,0,0.006,0.051,0.384,0,0.569,0.056,0.001,NA,0,0.032,0.627,0,0.039,NA,0.341,0,0.843,0,0,0.59,0.117,0,0.55,0.376,0.038,0.554,0.071,0,0.71,0,0.116,0.582,0,0.027,0.681,0,0.153,0.702,0,0.027,0.63,0,0.02,0.644,0,0.055,0.541,0,0.086,0.684,0,0.023,0.722,0,0.121,0.415,0,0,0.602,0,0.027
1,0.337,0,0.693,0,0.001,0.25,0,0.002,0.877,0.681,0,NA,0,0,0.961,0,0,NA,0.514,0.001,0.613,0.077,0.069,0.998,0.694,0,0.853,0.613,0.005,0.87,0.648,0,1,0,0.105,0.95,0.216,0.003,1,0,0.057,1,0,0.007,0.937,0,0.062,1,0,0.395,0.927,0,0.003,1,0,0.242,1,0,0.096,0.807,0,0.002,0.988,0,0.102
0.668,0,0.002,0.036,0,0.021,0.221,0,0.013,0.503,0,0.022,NA,0.078,0.086,0.618,0,0.021,NA,0,0.069,0.553,0,0.059,0.429,0,0.037,0.443,0,0.083,0.532,0,0,0.827,0.008,0.163,0.562,0,0.148,0.855,0,0.123,0.827,0,0.088,0.585,0,0.142,0.77,0,0.099,0.514,0,0.002,0.855,0,0.099,0.88,0,0.091,0.353,0,0.002,0.681,0,0.178
