"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.997,803,100,99.679
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.953,495,97.436,97.837
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.849,495,90.476,94.396
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.79,495,81.818,97.196
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.69,415,95.455,73.558
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.695,418,95.455,74.038
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.665,495,68.182,98.317
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.974,35,100,97.376
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.964,9,100,96.157
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.913,0,100,0
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.974,82.5,100,97.436
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.929,0,100,0
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.938,0,100,0
