"rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN1_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN1_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN1_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN1_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN1_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN1_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN1_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN1_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN1_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN1_MAXENT.Phillips","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN2_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN2_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN2_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN2_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN2_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN2_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN2_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN2_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN2_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN2_MAXENT.Phillips","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN3_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN3_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN3_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN3_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN3_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN3_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN3_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN3_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN3_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN3_MAXENT.Phillips","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN4_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN4_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN4_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN4_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN4_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN4_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN4_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN4_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN4_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN4_MAXENT.Phillips","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN5_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN5_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN5_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN5_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN5_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_RUN5_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_RUN5_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_RUN5_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_RUN5_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_RUN5_MAXENT.Phillips","rand1.CARCHARHINUS.BREVIPINNA_PA1_Full_GAM","rand2.CARCHARHINUS.BREVIPINNA_PA1_Full_GAM","rand3.CARCHARHINUS.BREVIPINNA_PA1_Full_GAM","rand4.CARCHARHINUS.BREVIPINNA_PA1_Full_GAM","rand5.CARCHARHINUS.BREVIPINNA_PA1_Full_GAM","rand1.CARCHARHINUS.BREVIPINNA_PA1_Full_GLM","rand2.CARCHARHINUS.BREVIPINNA_PA1_Full_GLM","rand3.CARCHARHINUS.BREVIPINNA_PA1_Full_GLM","rand4.CARCHARHINUS.BREVIPINNA_PA1_Full_GLM","rand5.CARCHARHINUS.BREVIPINNA_PA1_Full_GLM","rand1.CARCHARHINUS.BREVIPINNA_PA1_Full_MAXENT.Phillips","rand2.CARCHARHINUS.BREVIPINNA_PA1_Full_MAXENT.Phillips","rand3.CARCHARHINUS.BREVIPINNA_PA1_Full_MAXENT.Phillips","rand4.CARCHARHINUS.BREVIPINNA_PA1_Full_MAXENT.Phillips","rand5.CARCHARHINUS.BREVIPINNA_PA1_Full_MAXENT.Phillips"
0.706224,0.741317,0.745246,0.738688,0.695889,0.668732,0.689914,0.612108,0.595403,0.62145,0,0,0,0,0,0.587615,0.551275,0.639458,0.671883,0.830421,0,0,0,0,0,0.677367,0.549551,0.653967,0.631652,0.746426,0,0,0,0,0,0.580599,0.674198,0.600454,0.733527,0.695229,0,0,0,0.00461599999999995,0,0.623428,0.655934,0.608521,0.567524,0.549715,0.802089,0.851975,0.91273,0.831503,0.861545,0.318289,0.300995,0.302271,0.308554,0.30354,0.644961,0.611781,0.776465,0.806613,0.753965
0,0,0,0,0,0,0,0,0,0,0.580205,0.565655,0.56248,0.570663,0.577919,3.2000000000032e-05,2.89999999999457e-05,3.2000000000032e-05,3.39999999999785e-05,2.69999999999992e-05,0,0,0,0,0,0.048682,0.049993,0.048335,0.047681,0.052534,0,0,0,0,0,0.00333000000000006,0.00271699999999997,0.00254299999999996,0.00188200000000005,0.00287800000000005,0.795467,0.759435,0.765338,0.802445,0.832322,0.224403,0.228706,0.253386,0.283983,0.231834,0.339314,0.360518,0.375222,0.307543,0.344103,0,0,0,0,0,0.00935399999999997,0.00613399999999997,0.00670199999999999,0.00705,0.00432600000000005
0.421655,0.41343,0.451952,0.420311,0.439581,0.816166,0.749118,0.837164,0.809063,0.869953,0,0,0,0,0,0.643535,0.727872,0.625785,0.690119,0.62556,0,0,0,0,0,0.738701,0.785269,0.657441,0.673098,0.763131,0,0,0,0,0,0.747939,0.69745,0.73127,0.866889,0.836576,0.022478,0.013664,0.022478,0.0181,0.0181,0.746624,0.678928,0.736589,0.639122,0.740192,0.313591,0.4014,0.398887,0.414783,0.33135,0.900284,0.888926,0.906552,0.880865,0.956376,0.708407,0.793846,0.663853,0.742994,0.792962
0.8318,0.846396,0.831705,0.841357,0.830136,0.024212,0.0217619999999999,0.02315,0.021502,0.021168,0,0,0,0,0,0.577583,0.577014,0.555183,0.602646,0.596771,0,0,0,0,0,0.025411,0.022442,0.027603,0.019108,0.027025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08114,0.101012,0.094276,0.095394,0.095366,0.86575,0.754928,0.780904,0.833951,0.839803,0,0,0,0,0,0.30497,0.293224,0.335851,0.292584,0.319219
0,0,0,0,0,0.116345,0.100764,0.104255,0.110478,0.122859,0.90641,0.922467,0.908822,0.932249,0.93178,0,0,0,0,0,0,0,0,0,0,0.034087,0.037597,0.054169,0.034207,0.032541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993732,0.991616,0.970519,0.974144,0.983226,0.307021,0.233954,0.243249,0.255511,0.226463,0.01451,0.012146,0.016079,0.00785000000000002,0.011558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405696,0.410285,0.360668,0.395855,0.402964,0,0,0,0,0,0.377335,0.291893,0.270844,0.311037,0.338968,0,0,0,0,0,0,0,0,0,0,0.611591,0.536926,0.572931,0.567691,0.594633,0,0,0,0,0,0,0,0,0,0
0.854455,0.877137,0.864387,0.876797,0.867418,0.079932,0.0817830000000001,0.102826,0.103733,0.099741,0,0,0,0,0,0.032048,0.031686,0.0296729999999999,0.025091,0.028288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11579,0.134889,0.134118,0.134501,0.117366,0,0,0,0,0,0,0,0,0,0,0.623826,0.608133,0.59998,0.558368,0.612836,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762219,0.793745,0.675237,0.710245,0.765932,0,0,0,0,0,0.03686,0.034096,0.030284,0.032053,0.023964
0,0,0,0,0,0.213851,0.21221,0.192695,0.181109,0.163365,0,0,0,0,0,0.00287999999999999,0.00280800000000003,0.00307100000000005,0.00285100000000005,0.00203399999999998,0.966646,1,1,0.986562,1,0.021984,0.020224,0.019257,0.019169,0.020814,1,0.992956,0.987378,0.988161,1,0,0,0,0,0,0,0,0,0,0,0.020802,0.015143,0.016763,0.022137,0.0177040000000001,0.497121,0.49168,0.543711,0.491702,0.35175,0,0,0,0,0,0.065062,0.0589190000000001,0.068213,0.050301,0.063703
0.745595,0.721194,0.745825,0.726102,0.69855,0.013624,0.0112679999999999,0.0130130000000001,0.010547,0.0122100000000001,0.954414,0.952656,0.937707,0.971675,0.965558,0.107927,0.132286,0.138454,0.1493,0.136156,0,0,0,0,0,0.025953,0.02433,0.023889,0.024168,0.023753,0,0,0,0,0,0.118523,0.136144,0.121767,0.144947,0.126976,0.915853,0.928302,0.896391,0.92775,0.918149,0.205758,0.205865,0.233651,0.219938,0.225973,0.793912,0.844319,0.741178,0.766011,0.790496,0.791494,0.860065,0.861058,0.867671,0.830101,0.038193,0.040215,0.04148,0.042373,0.043672
