"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,586,100,99.92
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.994,419,100,99.439
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,990,0,99.92
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.92
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.279
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.76
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.517,609,60,90.469
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.965,970,100,96.474
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.95,838,100,94.952
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.807,10,100,80.449
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.875,91,100,87.5
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0,1000,0,98.878
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.695,448,100,69.403
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.833,565,100,83.013
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.865,591,100,86.458
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.595,316,100,59.455
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.618,320,100,61.699
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.692,429,100,69.151
