"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.951,458,100,95.122
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.976,424,100,97.561
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",1,454,100,100
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.868,495,94.444,92.308
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.933,449,100,93.333
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.681,495,82.353,85.714
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.944,182,94.444,100
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.941,495,94.118,100
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",1,868.5,100,100
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.871,495,93.75,93.333
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.871,495,93.75,93.333
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",1,403,100,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.933,156,93.333,100
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",1,790,100,100
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.938,424,100,93.75
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.917,772,100,91.667
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.875,495,87.5,100
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.941,495,94.118,100
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.944,495,94.444,100
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",1,340,100,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",1,405,100,100
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",1,859,100,100
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.927,765,92.683,100
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.854,768,85.366,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",1,290,100,100
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.923,260,100,92.308
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.933,6,100,93.333
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.765,356,76.471,100
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.944,801.5,94.444,100
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.941,247,94.118,100
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.882,407,88.235,100
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.804,247,93.75,86.667
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.804,247,93.75,86.667
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.882,291,88.235,100
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.738,387,80,93.75
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.752,247,82.353,92.857
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.875,288,100,87.5
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.781,247,94.737,83.333
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.871,469.5,93.75,93.333
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.824,551,82.353,100
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.812,372.5,88.889,92.308
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.812,537,88.889,92.308
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.933,346,100,93.333
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.857,343,100,85.714
