"rand1.CARCHARHINUS.LEUCAS_PA1_RUN1_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN1_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN1_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN1_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN1_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN1_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN1_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN1_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN1_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN1_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN1_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_RUN1_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_RUN1_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_RUN1_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_RUN1_MAXENT.Phillips","rand1.CARCHARHINUS.LEUCAS_PA1_RUN2_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN2_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN2_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN2_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN2_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN2_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN2_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN2_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN2_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN2_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN2_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_RUN2_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_RUN2_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_RUN2_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_RUN2_MAXENT.Phillips","rand1.CARCHARHINUS.LEUCAS_PA1_RUN3_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN3_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN3_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN3_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN3_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN3_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN3_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN3_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN3_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN3_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN3_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_RUN3_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_RUN3_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_RUN3_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_RUN3_MAXENT.Phillips","rand1.CARCHARHINUS.LEUCAS_PA1_RUN4_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN4_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN4_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN4_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN4_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN4_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN4_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN4_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN4_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN4_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN4_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_RUN4_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_RUN4_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_RUN4_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_RUN4_MAXENT.Phillips","rand1.CARCHARHINUS.LEUCAS_PA1_RUN5_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN5_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN5_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN5_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN5_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN5_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_RUN5_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_RUN5_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_RUN5_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_RUN5_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_RUN5_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_RUN5_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_RUN5_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_RUN5_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_RUN5_MAXENT.Phillips","rand1.CARCHARHINUS.LEUCAS_PA1_Full_GAM","rand2.CARCHARHINUS.LEUCAS_PA1_Full_GAM","rand3.CARCHARHINUS.LEUCAS_PA1_Full_GAM","rand4.CARCHARHINUS.LEUCAS_PA1_Full_GAM","rand5.CARCHARHINUS.LEUCAS_PA1_Full_GAM","rand1.CARCHARHINUS.LEUCAS_PA1_Full_GLM","rand2.CARCHARHINUS.LEUCAS_PA1_Full_GLM","rand3.CARCHARHINUS.LEUCAS_PA1_Full_GLM","rand4.CARCHARHINUS.LEUCAS_PA1_Full_GLM","rand5.CARCHARHINUS.LEUCAS_PA1_Full_GLM","rand1.CARCHARHINUS.LEUCAS_PA1_Full_MAXENT.Phillips","rand2.CARCHARHINUS.LEUCAS_PA1_Full_MAXENT.Phillips","rand3.CARCHARHINUS.LEUCAS_PA1_Full_MAXENT.Phillips","rand4.CARCHARHINUS.LEUCAS_PA1_Full_MAXENT.Phillips","rand5.CARCHARHINUS.LEUCAS_PA1_Full_MAXENT.Phillips"
0.669618,0.73596,0.779793,0.741426,0.793081,0,0,0,0,0,0,0,0,0,0,0.760394,0.877832,0.92178,0.875799,0.841149,0,0,0,0,0,0.287045,0.282276,0.322678,0.28519,0.310063,0.907646,0.896581,0.86218,0.952942,0.835506,0,0,0,0,0,0.241513,0.241396,0.281278,0.263347,0.30258,0.994922,0.990519,1,1,0.948397,0,0,0,0,0,0.54104,0.686908,0.506831,0.542132,0.607216,0.912207,0.841619,0.846365,0.91211,0.962042,0,0,0,0,0,0.091059,0.102568,0.0918870000000001,0.086685,0.100837,0.709621,0.618817,0.640566,0.737712,0.569875,0.858071,0.855837,0.907954,0.911776,0.865982,0.459872,0.56414,0.505921,0.494145,0.482036
0.802674,0.810365,0.803491,0.79489,0.814027,0,0,0,0,0,0,0,0,0,0,0.775987,0.894874,0.870044,0.809334,0.864916,0,0,0,0,0,0,0,0,0,0,0.835319,0.835065,0.831547,0.839696,0.863191,0,0,0,0,0,0,0,0,0,0,0.803088,0.773619,0.787553,0.789242,0.776753,0,0,0,0,0,0.0482089999999999,0.036563,0.035239,0.0379620000000001,0.029626,0.609953,0.601552,0.620073,0.603311,0.661588,0,0,0,0,0,0.009737,0.00752399999999998,0.010665,0.00600699999999998,0.00595699999999999,0.7602,0.76457,0.781109,0.832939,0.862508,0.383842,0.384918,0.397021,0.387363,0.403102,0.00566299999999997,0.00466,0.00493900000000003,0.005965,0.00510200000000005
0.99103,1,1,0.99241,0.991786,0,0,0,0,0,0.998103,0.957169,0.966333,0.984071,1,0.960182,0.92707,0.61639,0.868391,0.915551,0,0,0,0,0,0.973141,0.97637,0.965941,1,0.960778,1,1,0.986711,0.991556,0.991183,0,0,0,0,0,0.999714,0.990459,0.991725,0.93908,0.969655,0.843727,0.75555,1,0.799668,0.858148,0,0,0,0,0,0.750773,0.808542,0.850846,0.826129,0.897207,0.809623,0.837759,0.944744,0.817637,0.940435,0,0,0,0,0,1,0.969003,0.995474,0.999122,0.99771,0.875841,0.875406,0.949303,0.860231,0.9311,0.955797,0.93315,0.918961,0.960414,0.928112,0.914465,0.80453,0.942131,0.904625,0.948859
0.51183,0.52575,0.447555,0.515862,0.493701,0,0,0,0,0,0.57411,0.581968,0.587972,0.554393,0.58384,0.816202,0.872101,0.814508,0.858221,0.812731,0,0,0,0,0,0,0,0,0,0,0.598495,0.608927,0.607585,0.622877,0.612698,0,0,0,0,0,0.219611,0.201002,0.216072,0.209921,0.220867,0.414485,0.438935,0.50332,0.423588,0.455005,0,0,0,0,0,8.000000000008e-06,6.99999999997925e-06,6.99999999997925e-06,6.99999999997925e-06,9.00000000003676e-06,0.862699,0.850858,0.834289,0.898588,0.771238,0,0,0,0,0,0,0,0,0,0,0.94002,0.97108,0.945801,0.947008,0.941215,0.880407,0.894828,0.864392,0.866978,0.867147,0.194013,0.155153,0.193331,0.201798,0.196354
0.77219,0.783481,0.770006,0.795968,0.775128,0,0,0,0,0,0,0,0,0,0,0.831764,0.861496,0.755529,0.838807,0.821014,0,0,0,0,0,0.00094099999999997,0.000843000000000038,0.000713999999999992,0.000967999999999969,0.000608999999999971,0.893563,0.907777,0.895265,0.886659,0.909998,0,0,0,0,0,0,0,0,0,0,0.884287,0.887045,0.919008,0.851883,0.90062,0,0,0,0,0,0,0,0,0,0,0.266878,0.241721,0.227902,0.293372,0.252662,0,0,0,0,0,0,0,0,0,0,0.840834,0.811752,0.784934,0.85993,0.836322,0.877476,0.870592,0.875123,0.853708,0.86945,0.021251,0.018215,0.015696,0.0223370000000001,0.021357
0.903816,0.858384,0.910495,0.910365,0.917887,0,0,0,0,0,0.050114,0.090012,0.060788,0.061899,0.03151,0.792351,0.777068,0.806639,0.779159,0.799192,0,0,0,0,0,0,0,0,0,0,0.776646,0.741964,0.739371,0.734184,0.822586,0,0,0,0,0,0.017882,0.0152910000000001,0.017265,0.0147659999999999,0.015936,0.934769,0.958042,0.934181,0.938649,0.908305,0,0,0,0,0,0,0,0,0,0,0.289038,0.241602,0.286163,0.241154,0.286233,0,0,0,0,0,0,0,0,0,0,0.62039,0.671348,0.574207,0.673629,0.723902,0.977122,0.938327,0.979013,0.965305,0.981572,0.02077,0.0121790000000001,0.025598,0.010955,0.014601
0.753496,0.818207,0.75039,0.779698,0.754157,0,0,0,0,0,0.020598,0.021722,0.018961,0.022974,0.027,0.920591,0.877277,0.849544,0.886763,0.847533,0,0,0,0,0,0.561045,0.568108,0.536657,0.547364,0.552032,0.510735,0.573577,0.554018,0.616772,0.572646,0,0,0,0,0,0.353055,0.369615,0.351381,0.345949,0.384099,0.457535,0.425839,0.46593,0.469735,0.421764,0,0,0,0,0,0.409973,0.403285,0.335047,0.385884,0.359164,0.84247,0.813347,0.775809,0.834035,0.828406,0,0,0,0,0,0.644474,0.699052,0.664776,0.727604,0.657596,0.643803,0.727337,0.747955,0.629565,0.691191,0.917716,0.907365,0.892812,0.892595,0.893784,0.445595,0.41461,0.418581,0.373872,0.381104
0.973767,0.951881,0.966419,0.960321,0.961994,0,0,0,0,0,0,0,0,0,0,0.810628,0.791471,0.791102,0.781983,0.875436,0,0,0,0,0,0,0,0,0,0,0.96708,0.971471,0.967813,0.926256,0.924361,0,0,0,0,0,0,0,0,0,0,0.850318,0.875983,0.881515,0.892241,0.905173,0,0,0,0,0,0,0,0,0,0,0.696788,0.701262,0.64606,0.653452,0.650274,0,0,0,0,0,0,0,0,0,0,0.661091,0.677001,0.656407,0.672078,0.624456,0.460258,0.45723,0.429009,0.440304,0.431403,0,0,0,0,0
0.792829,0.748962,0.724448,0.738386,0.744005,0.994532,0.988345,1,0.994263,0.989907,0.012618,0.012829,0.0124,0.025047,0.016401,0.772834,0.794489,0.619926,0.71795,0.773669,1,1,1,0.981509,0.987484,0.00214099999999995,0.00246800000000003,0.00157200000000002,0.00153800000000004,0.00190100000000004,0.440948,0.425851,0.447215,0.436515,0.423874,1,1,0.998911,1,0.988812,0,0,0,0,0,0.427785,0.515169,0.458373,0.447885,0.444075,1,0.997161,0.983946,0.994466,1,0,0,0,0,0,0.657208,0.688246,0.689166,0.678786,0.664785,1,0.979881,1,1,1,0,0,0,0,0,0.317108,0.287873,0.317679,0.348684,0.317368,0.212597,0.241405,0.247439,0.203211,0.213398,0.019185,0.014927,0.018882,0.020768,0.016791
0.656742,0.531378,0.677193,0.642299,0.678956,0,0,0,0,0,0.114577,0.082788,0.089523,0.110667,0.100684,0.551304,0.733035,0.583295,0.666405,0.689166,0,0,0,0,0,0.042237,0.0392940000000001,0.065804,0.057067,0.045921,0.775997,0.77572,0.752934,0.778993,0.75163,0,0,0,0,0,0.077696,0.097719,0.076389,0.061023,0.086523,0.864514,0.838099,0.868268,0.852047,0.838099,0,0,0,0,0,0.014891,0.015077,0.016814,0.013543,0.015737,0.692581,0.642467,0.633654,0.636676,0.639769,0,0,0,0,0,0.123574,0.081458,0.12473,0.100203,0.120488,0.560563,0.548811,0.530436,0.553853,0.557038,0.414606,0.441193,0.393918,0.414464,0.439146,0.070953,0.066773,0.075466,0.094216,0.088548
