"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.992,934,100,99.199
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.623,15,62.963,99.359
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.759,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.696,20,71.429,98.157
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.652,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.522,5,53.846,98.32
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.904,495,100,90.387
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.859,81,88.889,97.038
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.623,495,67.857,94.471
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.817,495,85.714,95.994
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.879,101,92.593,95.276
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.796,495,88.462,91.12
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.96,81,100,95.994
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.973,131.5,100,97.278
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.912,0,100,0
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.945,46,100,94.391
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.959,42,100,95.917
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.948,26,100,94.64
