"rand1.CARCHARHINUS.LIMBATUS_PA1_RUN1_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN1_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN1_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN1_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN1_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN1_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN1_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN1_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN1_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN1_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN1_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN1_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN1_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN1_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN1_MAXENT.Phillips","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN2_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN2_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN2_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN2_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN2_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN2_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN2_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN2_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN2_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN2_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN2_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN2_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN2_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN2_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN2_MAXENT.Phillips","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN3_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN3_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN3_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN3_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN3_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN3_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN3_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN3_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN3_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN3_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN3_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN3_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN3_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN3_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN3_MAXENT.Phillips","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN4_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN4_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN4_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN4_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN4_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN4_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN4_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN4_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN4_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN4_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN4_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN4_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN4_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN4_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN4_MAXENT.Phillips","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN5_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN5_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN5_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN5_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN5_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN5_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN5_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN5_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN5_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN5_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_RUN5_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_RUN5_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_RUN5_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_RUN5_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_RUN5_MAXENT.Phillips","rand1.CARCHARHINUS.LIMBATUS_PA1_Full_GAM","rand2.CARCHARHINUS.LIMBATUS_PA1_Full_GAM","rand3.CARCHARHINUS.LIMBATUS_PA1_Full_GAM","rand4.CARCHARHINUS.LIMBATUS_PA1_Full_GAM","rand5.CARCHARHINUS.LIMBATUS_PA1_Full_GAM","rand1.CARCHARHINUS.LIMBATUS_PA1_Full_GLM","rand2.CARCHARHINUS.LIMBATUS_PA1_Full_GLM","rand3.CARCHARHINUS.LIMBATUS_PA1_Full_GLM","rand4.CARCHARHINUS.LIMBATUS_PA1_Full_GLM","rand5.CARCHARHINUS.LIMBATUS_PA1_Full_GLM","rand1.CARCHARHINUS.LIMBATUS_PA1_Full_MAXENT.Phillips","rand2.CARCHARHINUS.LIMBATUS_PA1_Full_MAXENT.Phillips","rand3.CARCHARHINUS.LIMBATUS_PA1_Full_MAXENT.Phillips","rand4.CARCHARHINUS.LIMBATUS_PA1_Full_MAXENT.Phillips","rand5.CARCHARHINUS.LIMBATUS_PA1_Full_MAXENT.Phillips"
0.476155,0.529195,0.472515,0.494158,0.557151,0.979212,0.975517,0.961535,0.948493,0.94507,0.558539,0.572565,0.547828,0.525574,0.511616,0.476988,0.427757,0.482004,0.522856,0.485339,0.928375,0.913904,0.91827,0.901406,0.880111,0.284434,0.292808,0.319675,0.251417,0.260974,0.282234,0.320071,0.293671,0.25354,0.271946,0.243033,0.251309,0.228895,0.251088,0.246716,0.468142,0.529301,0.542473,0.457489,0.513415,0.836998,0.785989,0.855765,0.810197,0.702733,0.825406,0.821613,0.824543,0.84569,0.802495,0.47218,0.432025,0.474172,0.461711,0.491497,0.324404,0.35413,0.392218,0.359453,0.33924,0.769784,0.795555,0.799743,0.793294,0.791658,0.41744,0.386741,0.411811,0.386831,0.387037,0.519138,0.488046,0.495755,0.536476,0.543186,0.0655210000000001,0.063335,0.068774,0.064428,0.055839,0.562745,0.495494,0.522471,0.566813,0.487432
0.94477,0.948925,0.953452,0.964893,0.938308,0.203292,0.196074,0.171259,0.167946,0.196827,0,0,0,0,0,0.88803,0.916365,0.873944,0.870387,0.884529,0.810965,0.807496,0.817622,0.815038,0.816838,0.062989,0.056997,0.058159,0.052365,0.057482,0.953378,0.941214,0.931505,0.934249,0.907504,0.556119,0.568892,0.539911,0.553773,0.558475,0,0,0,0,0,0.427632,0.425645,0.424382,0.439787,0.405949,0,0,0,0,0,0.016767,0.016976,0.018427,0.017328,0.017841,0.762343,0.803614,0.70584,0.794935,0.780305,0.451344,0.443865,0.433308,0.447054,0.471311,0,0,0,0,0,0.939513,0.9237,0.935532,0.91702,0.929231,0.621014,0.625608,0.603566,0.644759,0.637065,0,0,0,0,0
0.824032,0.833892,0.825886,0.834008,0.946853,0.797112,0.856236,0.771283,0.802932,0.718642,0.770572,0.720154,0.789889,0.687679,0.76217,0.822971,0.862221,0.845461,0.864445,0.83197,0.176631,0.18588,0.160621,0.182529,0.186922,0.965295,0.975731,0.912675,0.968079,0.970162,0.769689,0.815123,0.753711,0.884616,0.746464,0.998956,0.981803,0.993326,0.986793,1,0.783299,0.866445,0.836342,0.791677,0.768756,0.824009,0.8375,0.835837,0.813948,0.759718,0.821116,0.776536,0.817105,0.827893,0.82672,0.79729,0.746511,0.872331,0.906186,0.804721,0.8311,0.862342,0.850562,0.829577,0.84505,0.601538,0.593572,0.567481,0.612199,0.586805,0.944622,0.929656,0.88363,0.9147,0.950293,0.817561,0.822592,0.815709,0.887806,0.866808,0.985703,0.974715,1,0.972802,1,0.797127,0.825451,0.770595,0.819024,0.750401
0.85715,0.845156,0.844812,0.826588,0.857332,0,0,0,0,0,0.152905,0.150151,0.136222,0.138747,0.151691,0.283922,0.288129,0.287853,0.280845,0.281682,0.875123,0.907046,0.883133,0.905471,0.875951,0.187885,0.204759,0.211186,0.18987,0.176927,0.824437,0.883603,0.849007,0.856178,0.85526,0.207517,0.198301,0.211073,0.176758,0.179054,0.14812,0.151802,0.12263,0.131194,0.146157,0.509729,0.480753,0.495443,0.480786,0.508344,0,0,0,0,0,0.119013,0.121146,0.145484,0.11835,0.109885,0.825274,0.852811,0.823371,0.843776,0.865204,0,0,0,0,0,0.148663,0.146621,0.154479,0.152064,0.146632,0.84119,0.831929,0.876988,0.864908,0.823908,0.504362,0.505842,0.507512,0.527209,0.516341,0.128837,0.125068,0.156942,0.147313,0.144173
1,1,1,1,1,0.63681,0.652934,0.686127,0.661469,0.665339,0.054353,0.061687,0.066526,0.060019,0.064113,0.035338,0.039683,0.04599,0.029915,0.035566,0.597965,0.539762,0.555191,0.567843,0.537494,0,0,0,0,0,0.970006,0.991134,0.976361,0.9701,0.977682,0,0,0,0,0,0.00047699999999995,0.00053700000000001,0.000331999999999999,0.000576000000000021,0.000388000000000055,0.744442,0.775186,0.832441,0.792254,0.785155,0.637173,0.643895,0.658304,0.660154,0.641927,0.00924599999999998,0.00817299999999999,0.00802199999999997,0.00971,0.00924499999999995,0.668398,0.648727,0.669832,0.651513,0.656936,0,0,0,0,0,0.00490100000000004,0.012646,0.00823200000000002,0.00756000000000001,0.00854200000000005,0.988618,1,1,0.997482,0.981849,0.550748,0.557439,0.562127,0.5658,0.533889,0.071682,0.086446,0.070877,0.080214,0.077283
0.890727,0.883566,0.886137,0.891074,0.878101,0.523701,0.516273,0.550775,0.523684,0.587777,0,0,0,0,0,0.560835,0.579545,0.59212,0.585765,0.588138,0.863645,0.846025,0.847652,0.869089,0.861723,0,0,0,0,0,0.832687,0.845014,0.827947,0.841006,0.832691,0.394952,0.41107,0.370481,0.368968,0.387231,0,0,0,0,0,0.199706,0.217278,0.246517,0.238695,0.227046,0.199607,0.211858,0.211882,0.223301,0.212755,0,0,0,0,0,0.902414,0.893747,0.895957,0.923622,0.922144,0.405879,0.41133,0.39534,0.399511,0.422554,0,0,0,0,0,0.845402,0.837505,0.844533,0.858492,0.854891,0.088492,0.0990529999999999,0.089268,0.078017,0.100187,0,0,0,0,0
0.812866,0.77116,0.794332,0.777549,0.80943,0.23542,0.273873,0.240461,0.219068,0.234063,0,0,0,0,0,0.353182,0.299893,0.312123,0.308828,0.341195,0.977208,0.976652,0.958692,0.969571,0.974064,0,0,0,0,0,0.552152,0.440861,0.536851,0.502223,0.4593,0.414947,0.422991,0.420549,0.384491,0.407245,0.044892,0.041053,0.034531,0.03386,0.040259,0.720987,0.748947,0.781473,0.719477,0.658167,0,0,0,0,0,0,0,0,0,0,0.820429,0.829764,0.79412,0.808585,0.811993,0.213353,0.222999,0.207981,0.215027,0.206386,0.00319999999999998,0.00545700000000005,0.00488299999999997,0.00451299999999999,0.00248700000000002,0.738309,0.715243,0.742585,0.722683,0.701287,0,0,0,0,0,0,0,0,0,0
0.892992,0.891708,0.837952,0.875535,0.855739,0.566811,0.55013,0.558123,0.590155,0.546631,0,0,0,0,0,0.849973,0.855533,0.843144,0.784086,0.804523,0.928904,0.962758,0.922181,0.956553,0.932232,0.00220100000000001,0.00213200000000002,0.00279799999999997,0.00237799999999999,0.00260800000000005,0.732892,0.693737,0.721128,0.721276,0.731605,0.635218,0.627008,0.632121,0.634889,0.646187,0.000105000000000022,0.000112000000000001,7.50000000000473e-05,7.9999999999969e-05,8.3999999999973e-05,0.559248,0.560243,0.535403,0.570966,0.567847,0,0,0,0,0,0,0,0,0,0,0.847097,0.867546,0.862373,0.876854,0.869393,0.726989,0.680562,0.680316,0.676949,0.70315,0,0,0,0,0,0.731521,0.762951,0.727216,0.726545,0.74935,0.519903,0.521795,0.517003,0.526578,0.50132,0,0,0,0,0
0.797203,0.790928,0.801015,0.798796,0.787574,0.142569,0.151246,0.121769,0.131186,0.147895,0.028174,0.028034,0.031033,0.024514,0.027634,0.324816,0.336022,0.292486,0.338121,0.367114,0.857016,0.850558,0.83941,0.866386,0.843421,0.0203100000000001,0.013312,0.021912,0.020147,0.012664,0.550328,0.536086,0.502648,0.572359,0.557621,0,0,0,0,0,0.010578,0.0121329999999999,0.01656,0.011473,0.011848,0.456896,0.474064,0.530764,0.543552,0.567086,0,0,0,0,0,0.022315,0.020783,0.0345299999999999,0.018573,0.030184,0.58058,0.517413,0.560629,0.534079,0.514678,0,0,0,0,0,0.02136,0.025281,0.02067,0.016954,0.016202,0.477199,0.505984,0.501761,0.494417,0.52988,0.165657,0.155292,0.159679,0.155544,0.154728,0.033612,0.0353520000000001,0.027176,0.026138,0.020212
0.737498,0.799407,0.77248,0.794879,0.752363,0.590628,0.587321,0.57759,0.570791,0.612227,0.0203179999999999,0.019409,0.020439,0.019873,0.019702,0.368878,0.350436,0.341239,0.360739,0.345328,0.416469,0.439643,0.42519,0.434353,0.438164,0.0306110000000001,0.038937,0.036708,0.033627,0.02955,0.702966,0.754381,0.738582,0.668125,0.614331,0.501538,0.511854,0.526607,0.515645,0.4803,0.022988,0.020221,0.024552,0.020815,0.022729,0.348829,0.432874,0.366482,0.367475,0.379461,0.568389,0.566099,0.542529,0.565449,0.568089,0.01007,0.00969100000000001,0.008826,0.010799,0.00897000000000003,0.430405,0.453497,0.447705,0.390659,0.471624,0.453392,0.474786,0.481031,0.445396,0.474284,0.032347,0.029332,0.028949,0.032457,0.029689,0.352735,0.431202,0.391144,0.425518,0.425848,0.338067,0.333476,0.313186,0.344515,0.338547,0.00759500000000002,0.00687000000000004,0.00700400000000001,0.007436,0.00667700000000004
