"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.985,495,100,98.529
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.98,515,98.039,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.774,944,87.931,89.474
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.757,10,89.286,86.441
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.792,369,86.207,92.982
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.705,5,89.474,81.034
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.896,641,93.103,96.491
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.861,0,100,0
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.739,535,87.931,85.965
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.862,500,94.643,91.525
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.726,601,94.643,77.966
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.809,0,100,0
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.756,126,85.965,89.655
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.635,0,100,0
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.809,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.809,525,91.071,89.831
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.826,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.774,10,89.474,87.931
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.895,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.74,5,84.483,89.474
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.791,667,89.831,89.286
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.773,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.922,362,98.529,93.627
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.887,327,98.529,90.196
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.913,337,98.276,92.982
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.847,688,100,84.746
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.897,756,89.655,100
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.931,677,98.246,94.828
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.948,450,98.276,96.491
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.913,232,98.276,92.982
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.861,278,94.828,91.228
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.897,131,98.214,91.525
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.862,394,94.643,91.525
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.913,696,94.737,96.552
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.897,227,100,89.655
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.842,106,100,84.211
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.914,281,98.214,93.22
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.896,760,94.643,94.915
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.947,206,100,94.737
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.895,561,91.228,98.276
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.913,887,96.552,94.737
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.913,641,96.552,94.737
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.911,619,100,91.071
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.913,379,98.276,92.982
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.941,617,94.608,99.51
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.922,707,92.647,99.51
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.878,86,94.828,92.982
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.879,94,94.643,93.22
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.861,154.5,91.379,94.737
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.931,602.5,100,93.103
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.895,183.5,98.276,91.228
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.79,110,94.828,84.211
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.842,125,98.276,85.965
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.88,264,98.214,89.831
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.862,96.5,94.643,91.525
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.844,56.5,94.737,89.655
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.826,473,91.228,91.379
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.809,408.5,91.379,89.474
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.897,0,100,0
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.862,56,94.643,91.525
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.878,864,93.103,94.737
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.895,94,91.228,98.276
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.913,250,96.552,94.737
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.913,466.5,96.552,94.737
