"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.906,286,100,90.625
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.938,507,96.875,96.875
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.769,495,84.615,92.308
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",1,318,100,100
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.769,495,100,76.923
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",1,473,100,100
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.923,121,100,92.308
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.846,495,92.308,92.308
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.846,312,92.308,92.308
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.769,495,76.923,100
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.857,495,100,85.714
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",1,458,100,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.833,495,100,83.333
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.837,495,93.75,90
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.692,495,92.308,76.923
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.769,495,92.308,84.615
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.845,495,92.857,91.667
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.786,495,78.571,100
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.846,495,92.308,92.308
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",1,533,100,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.774,5,85.714,91.667
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.833,500,100,83.333
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.906,199,93.75,96.875
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.969,579,96.875,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.846,247,100,84.615
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.929,519,92.857,100
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.846,247,100,84.615
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",1,263,100,100
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.769,247,100,76.923
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.846,311,92.308,92.308
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.769,247,76.923,100
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.769,745.5,76.923,100
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.786,247,100,78.571
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.929,504,92.857,100
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.833,247,100,83.333
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.837,247,93.75,90
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.846,262,100,84.615
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.923,247,100,92.308
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.774,234,85.714,91.667
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.786,391,78.571,100
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.846,247,100,84.615
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",1,247,100,100
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.774,247,85.714,91.667
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.75,283,100,75
