"rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN1_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN1_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN1_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN1_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN1_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN1_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN1_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN1_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN1_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN1_MAXENT.Phillips","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN2_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN2_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN2_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN2_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN2_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN2_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN2_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN2_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN2_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN2_MAXENT.Phillips","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN3_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN3_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN3_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN3_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN3_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN3_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN3_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN3_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN3_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN3_MAXENT.Phillips","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN4_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN4_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN4_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN4_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN4_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN4_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN4_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN4_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN4_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN4_MAXENT.Phillips","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN5_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN5_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN5_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN5_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN5_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_RUN5_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_RUN5_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_RUN5_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_RUN5_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_RUN5_MAXENT.Phillips","rand1.CARCHARHINUS.PLUMBEUS_PA1_Full_GAM","rand2.CARCHARHINUS.PLUMBEUS_PA1_Full_GAM","rand3.CARCHARHINUS.PLUMBEUS_PA1_Full_GAM","rand4.CARCHARHINUS.PLUMBEUS_PA1_Full_GAM","rand5.CARCHARHINUS.PLUMBEUS_PA1_Full_GAM","rand1.CARCHARHINUS.PLUMBEUS_PA1_Full_GLM","rand2.CARCHARHINUS.PLUMBEUS_PA1_Full_GLM","rand3.CARCHARHINUS.PLUMBEUS_PA1_Full_GLM","rand4.CARCHARHINUS.PLUMBEUS_PA1_Full_GLM","rand5.CARCHARHINUS.PLUMBEUS_PA1_Full_GLM","rand1.CARCHARHINUS.PLUMBEUS_PA1_Full_MAXENT.Phillips","rand2.CARCHARHINUS.PLUMBEUS_PA1_Full_MAXENT.Phillips","rand3.CARCHARHINUS.PLUMBEUS_PA1_Full_MAXENT.Phillips","rand4.CARCHARHINUS.PLUMBEUS_PA1_Full_MAXENT.Phillips","rand5.CARCHARHINUS.PLUMBEUS_PA1_Full_MAXENT.Phillips"
0,0,0,0,0,0.314938,0.403292,0.394841,0.374978,0.376542,0.99446,1,0.991956,1,0.995138,0.620293,0.752301,0.701713,0.724941,0.690441,0,0,0,0,0,0.595243,0.614094,0.562075,0.663402,0.552992,0,0,0,0,0,0.422956,0.460126,0.382869,0.444979,0.46081,0,0,0,0,0,0.541256,0.599955,0.566896,0.633277,0.586744,0.88943,0.804065,0.896224,0.838506,0.858934,0.799576,0.8734,0.882939,0.849388,0.880983,0.00613600000000003,0.00604700000000002,0.006409,0.00677899999999998,0.00704800000000005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021873,0.023328,0.020632,0.020178,0.01998,0,0,0,0,0,0,0,0,0,0,0.19726,0.208999,0.230088,0.204998,0.216157,0.404837,0.39117,0.364986,0.365517,0.367613,0.00846400000000003,0.00660099999999997,0.00681900000000002,0.00649599999999995,0.007359
1,0.998122,1,1,0.996343,0.614681,0.621895,0.535987,0.582846,0.559174,0,0,0,0,0,0.76891,0.669931,0.746452,0.795384,0.719324,0.966975,0.990847,0.986455,0.995477,1,0.680182,0.7154,0.733187,0.677133,0.68502,1,1,0.983031,0.985615,1,0.536685,0.589672,0.581219,0.5686,0.545628,0.959407,0.981902,0.968304,0.96036,0.954335,0.782686,0.698734,0.850874,0.790611,0.868872,0.797488,0.90186,0.877173,0.82728,0.817705,0.681725,0.648075,0.652376,0.583519,0.570195,0.738521,0.729713,0.726377,0.678415,0.674902
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827776,0.745872,0.813748,0.807813,0.784724,0.580908,0.633011,0.566759,0.652165,0.543274,0.010921,0.0105460000000001,0.00936700000000001,0.00852399999999998,0.010012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862624,0.870402,0.819241,0.84323,0.911903,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.073572,0.093552,0.08651,0.092788,0.092107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112516,0.114606,0.10748,0.123046,0.118545,0,0,0,0,0,0,0,0,0,0,0.4755,0.488789,0.458896,0.4881,0.491624,0.54255,0.555024,0.578275,0.549784,0.554447,0,0,0,0,0
0,0,0,0,0,0.365214,0.370069,0.387307,0.379072,0.369733,0,0,0,0,0,0.383999,0.341803,0.334205,0.360753,0.368035,0,0,0,0,0,0.248,0.294985,0.25614,0.292426,0.330623,0,0,0,0,0,0.138068,0.15101,0.171026,0.148541,0.14963,0,0,0,0,0,0,0,0,0,0,0.676227,0.701272,0.698067,0.735915,0.693076,0.527223,0.47759,0.478793,0.553814,0.493785,0.203655,0.216612,0.182365,0.175875,0.174911
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136658,0.143551,0.12674,0.130456,0.135508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627424,0.624232,0.622015,0.687242,0.622853,0.858141,0.825609,0.861936,0.894906,0.903869,0.817011,0.755748,0.769179,0.776404,0.772745,0.575482,0.562484,0.556666,0.586587,0.566375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023196,0.023085,0.02221,0.025478,0.023667,0.035037,0.036485,0.038311,0.0380779999999999,0.030619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124165,0.108974,0.122929,0.124988,0.128599,0.112245,0.085261,0.097093,0.126086,0.0947750000000001,0.34677,0.458837,0.435337,0.393531,0.405687,0.624545,0.535389,0.465445,0.483948,0.485466,0.00136099999999995,0.00244200000000006,0.00148300000000001,0.00176900000000002,0.00167799999999996
0,0,0,0,0,0.141578,0.132768,0.141793,0.158262,0.133088,0,0,0,0,0,0.021321,0.021817,0.020482,0.021522,0.021219,0,0,0,0,0,0.00951900000000006,0.010507,0.00894099999999998,0.01142,0.012547,0,0,0,0,0,0.074482,0.0680229999999999,0.057903,0.065273,0.07742,0,0,0,0,0,0.086462,0.082983,0.0977479999999999,0.102659,0.091327,0.708753,0.721441,0.724369,0.65327,0.684208,0.783138,0.774648,0.764672,0.730235,0.766231,0.314667,0.340233,0.309462,0.286183,0.34989
