"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.982,495,100,98.182
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.991,500,100,99.091
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.935,5,96.774,96.721
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.887,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.854,10,93.548,91.803
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.675,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.74,495,90.164,83.871
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.784,747,80,98.413
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.853,495,91.667,93.651
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.839,934,83.871,100
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.806,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.837,414,88.525,95.161
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.772,15,88.71,88.525
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.886,495,95.082,93.548
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.789,157,88.71,90.164
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.871,495,95,92.063
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.772,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.87,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.854,545,95.082,90.323
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.82,944,92.188,89.831
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.791,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.936,581,99.091,94.545
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.945,596,98.182,96.364
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.934,444,100,93.443
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.87,542,95.082,91.935
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.919,692,96.774,95.082
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.902,30,98.387,91.803
