"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.746,566,84.588,89.964
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.711,555,82.437,88.71
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.729,453,87.857,85
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.693,482,86.429,82.143
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.664,591,77.143,89.286
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.693,608.5,77.857,91.429
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.707,596,82.857,87.857
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.664,647,80,86.429
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.65,707,75.714,87.857
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.707,565,82.143,88.571
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.764,325,89.286,87.143
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.686,373,86.429,82.143
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.671,386,85,81.429
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.721,595,84.286,87.857
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.686,527,82.143,86.429
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.736,625.5,82.143,90.714
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.771,343,87.143,90
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.636,508,79.286,84.286
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.671,687,82.857,84.286
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.743,590,80.714,93.571
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.729,568,82.143,90.714
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.729,341,92.857,80
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.724,621,82.616,89.606
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.706,594,80.824,89.785
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.693,612,82.143,87.143
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.686,719,78.571,90
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.679,591,80.714,86.429
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.707,590.5,80.714,90
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.714,601,83.571,87.857
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.679,591,82.857,84.286
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.7,495,80.714,89.286
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.736,617,83.571,90
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.764,612,84.286,92.143
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.7,385,83.571,83.571
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.7,662,77.857,92.143
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.707,576,84.286,86.429
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.686,531,80.714,87.857
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.764,645.5,84.286,92.143
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.736,427,83.571,90
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.657,507,78.571,87.143
