"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.199
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.279
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.519
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.495,949,50,99.519
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.279
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.764,611,100,76.257
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.913,875,100,91.266
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.817,730,100,81.651
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.982,968,100,98.157
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.958,556,100,95.753
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.488,989,50,98.718
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.954,580,100,95.412
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.813,537,100,81.33
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.791,438,100,79.087
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.78,460,100,77.965
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.764,460,100,76.282
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.72,349,100,71.795
