"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.985,879,100,98.538
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.661,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.739,10,76.923,96.955
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.572,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.703,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.861,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.953,672,100,95.253
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.848,10,96.154,88.462
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.82,495,92.308,89.663
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.849,495,96.154,88.702
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.76,495,84.615,91.346
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.852,495,92.308,92.869
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.916,80,96.154,95.414
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.9,88,96.154,93.67
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.935,93,100,93.429
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.929,82,100,92.949
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.91,139,96.154,94.872
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.857,108,92.308,93.269
