"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,520,100,99.96
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.599
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.679
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.991,495,100,99.119
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.76
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.519
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.772,495,80,97.155
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0,1000,0,86.859
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.92,495,100,91.987
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.984,838,100,98.397
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.986,990,100,98.558
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.99,989,100,98.958
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.815,196,100,81.43
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.748,0,100,0
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.995,788,100,99.519
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.993,766,100,99.279
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.997,785,100,99.599
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.964,606,100,96.394
