"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.982,848,100,98.158
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.892,495,96.25,92.953
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.781,495,82.353,95.757
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.77,495,85.294,91.673
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.946,30,100,94.64
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.836,10,87.879,95.76
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.867,495,96.97,89.76
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.934,176,96.25,97.097
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.867,56,91.176,95.436
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.906,159,94.118,96.477
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.938,209,96.97,96.88
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.894,56,93.939,95.36
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.895,42,93.939,95.6
