"rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN1_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN1_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN1_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN1_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN1_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN1_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN1_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN1_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN1_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN1_MAXENT.Phillips","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN2_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN2_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN2_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN2_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN2_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN2_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN2_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN2_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN2_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN2_MAXENT.Phillips","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN3_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN3_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN3_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN3_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN3_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN3_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN3_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN3_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN3_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN3_MAXENT.Phillips","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN4_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN4_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN4_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN4_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN4_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN4_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN4_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN4_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN4_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN4_MAXENT.Phillips","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN5_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN5_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN5_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN5_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN5_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_RUN5_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_RUN5_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_RUN5_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_RUN5_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_RUN5_MAXENT.Phillips","rand1.CENTROSCYLLIUM.FABRICII_PA1_Full_GAM","rand2.CENTROSCYLLIUM.FABRICII_PA1_Full_GAM","rand3.CENTROSCYLLIUM.FABRICII_PA1_Full_GAM","rand4.CENTROSCYLLIUM.FABRICII_PA1_Full_GAM","rand5.CENTROSCYLLIUM.FABRICII_PA1_Full_GAM","rand1.CENTROSCYLLIUM.FABRICII_PA1_Full_GLM","rand2.CENTROSCYLLIUM.FABRICII_PA1_Full_GLM","rand3.CENTROSCYLLIUM.FABRICII_PA1_Full_GLM","rand4.CENTROSCYLLIUM.FABRICII_PA1_Full_GLM","rand5.CENTROSCYLLIUM.FABRICII_PA1_Full_GLM","rand1.CENTROSCYLLIUM.FABRICII_PA1_Full_MAXENT.Phillips","rand2.CENTROSCYLLIUM.FABRICII_PA1_Full_MAXENT.Phillips","rand3.CENTROSCYLLIUM.FABRICII_PA1_Full_MAXENT.Phillips","rand4.CENTROSCYLLIUM.FABRICII_PA1_Full_MAXENT.Phillips","rand5.CENTROSCYLLIUM.FABRICII_PA1_Full_MAXENT.Phillips"
0.825547,0.822264,0.807462,0.825768,0.815717,1,0.959617,0.998356,0.980806,0.967751,0.875756,0.856431,0.891429,0.863122,0.851065,0.961661,0.943581,0.952929,0.961608,0.985956,0.819029,0.813172,0.797839,0.835329,0.795536,0.875995,0.906269,0.872533,0.911063,0.878249,0.944828,0.978385,0.982185,0.952805,0.964844,0.979525,0.94022,0.950976,0.98214,0.954979,0.807676,0.792992,0.823443,0.805732,0.779475,0.985485,0.946535,0.940337,0.956678,0.957743,0.762866,0.744502,0.648422,0.737049,0.752464,0.769816,0.786904,0.810491,0.802155,0.795764,0.919601,0.890071,0.916543,0.872795,0.914096
0,0,0,0,0,0.016193,0.014924,0.017427,0.01522,0.0168,0,0,0,0,0,0,0,0,0,0,0.569154,0.555849,0.568179,0.561398,0.555352,0.01401,0.014746,0.0141520000000001,0.01395,0.014444,0.25876,0.275955,0.259182,0.284889,0.272619,0,0,0,0,0,0,0,0,0,0,0.108233,0.107691,0.109321,0.096216,0.102102,0.549153,0.52867,0.521476,0.522639,0.531515,0.34603,0.375747,0.375869,0.351529,0.3439,0.000167000000000028,0.000160000000000049,0.000151000000000012,0.000147000000000008,0.00015900000000002
0.0329660000000001,0.043829,0.027282,0.029199,0.032918,0.012211,0.012375,0.0114300000000001,0.012045,0.012884,0,0,0,0,0,0.000426000000000037,0.000434999999999963,0.000399000000000038,0.000435999999999992,0.000372000000000039,0.303197,0.324651,0.333235,0.346663,0.343589,0.021475,0.022263,0.023257,0.0216150000000001,0.022331,0.316504,0.300966,0.336566,0.338904,0.317339,0.022343,0.019827,0.019833,0.0182870000000001,0.021146,0,0,0,0,0,0.000727000000000033,0.00098699999999996,0.000723999999999947,0.000805999999999973,0.000879999999999992,0.499668,0.422545,0.468311,0.431666,0.417231,0.257899,0.265879,0.248178,0.249746,0.259825,0.00939199999999996,0.00860000000000005,0.011364,0.00953700000000002,0.00981100000000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696947,0.712881,0.718423,0.700266,0.709687,0.000276999999999972,0.00029800000000002,0.000309000000000004,0.000273999999999996,0.000248000000000026,0.749942,0.727097,0.6975,0.771308,0.724567,0.185512,0.172241,0.218174,0.233497,0.188956,0,0,0,0,0,0.000692000000000026,0.000829999999999997,0.000669999999999948,0.000788000000000011,0.000622000000000011,0.540989,0.599942,0.561272,0.571937,0.546674,0.604737,0.61674,0.633147,0.611793,0.637379,0.00347600000000003,0.00282899999999997,0.00289200000000001,0.00307999999999997,0.00336499999999995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.061329,0.051166,0.062775,0.067069,0.06366,0,0,0,0,0,0.000894999999999979,0.000824000000000047,0.00103200000000003,0.00156900000000004,0.00115399999999999,0,0,0,0,0,0.00502499999999995,0.003973,0.00246299999999999,0.00636000000000003,0.00539800000000001,0.781448,0.788436,0.715482,0.756705,0.764379,0,0,0,0,0,0.045614,0.047522,0.047712,0.043526,0.049007
0.406975,0.367471,0.393329,0.343627,0.372587,0.478113,0.450646,0.514805,0.468827,0.502841,0,0,0,0,0,0.665496,0.679929,0.623425,0.699302,0.650679,0.753455,0.75523,0.686202,0.687641,0.696115,0.039138,0.044839,0.041425,0.044926,0.0488499999999999,0.880477,0.885692,0.917753,0.897533,0.892403,0.285466,0.271857,0.270385,0.263517,0.300114,0.364663,0.407772,0.395738,0.370776,0.420927,0.250241,0.270446,0.235194,0.211893,0.246257,0.842027,0.794949,0.775335,0.80017,0.823235,0,0,0,0,0,0.191505,0.211604,0.193588,0.198395,0.208992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129999999999963,0.000113999999999947,0.00011899999999998,0.00013300000000005,0.000122999999999984,0,0,0,0,0,0,0,0,0,0,0.739289,0.74209,0.735459,0.727364,0.7335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799251,0.807414,0.763043,0.752963,0.756971,0,0,0,0,0,0.027763,0.028058,0.028227,0.025756,0.029267
0.110649,0.115081,0.109179,0.119925,0.106679,0,0,0,0,0,0,0,0,0,0,0.037282,0.0389350000000001,0.047535,0.037724,0.044412,0,0,0,0,0,0.524669,0.481173,0.527497,0.527993,0.580967,1,1,0.995854,0.999406,1,2.19999999999665e-05,2.59999999999705e-05,2.59999999999705e-05,2.50000000000528e-05,2.29999999999952e-05,0.187049,0.169286,0.178331,0.169944,0.176929,0.434143,0.422204,0.473868,0.408205,0.432889,0.629859,0.63586,0.644585,0.621047,0.64538,0.355258,0.344581,0.347824,0.348149,0.354036,0.00270499999999996,0.00331499999999996,0.00271600000000005,0.00318499999999999,0.00294899999999998
0,0,0,0,0,0.037232,0.031815,0.032027,0.034857,0.038295,0.10597,0.105018,0.102097,0.114624,0.103058,0.067367,0.064967,0.064836,0.061154,0.058172,0.038598,0.032076,0.026662,0.023487,0.026937,0,0,0,0,0,0.822544,0.832257,0.834225,0.83832,0.83833,0.058418,0.077639,0.059562,0.0806,0.067342,0,0,0,0,0,0.036086,0.040768,0.0396919999999999,0.038757,0.038361,0.581317,0.568185,0.558033,0.566863,0.566918,0,0,0,0,0,0.00273999999999996,0.00241899999999995,0.00325500000000001,0.00306499999999998,0.00292599999999998
0.643459,0.631026,0.653132,0.612061,0.624289,0.0182330000000001,0.018813,0.01663,0.015786,0.010609,0.756279,0.758478,0.722545,0.738646,0.742255,0.018353,0.018311,0.018834,0.016961,0.01583,0.485408,0.480641,0.506408,0.493004,0.523217,0.00867799999999996,0.008795,0.00806399999999996,0.00775800000000004,0.00871200000000005,0.690779,0.710595,0.667341,0.692448,0.660495,0.026483,0.026139,0.022186,0.023887,0.02373,0.407774,0.388167,0.386661,0.410001,0.391156,0.00321499999999997,0.00434000000000001,0.00591299999999995,0.00548700000000002,0.00439999999999996,0.550781,0.556482,0.548247,0.591829,0.562299,0.540969,0.529647,0.536464,0.521395,0.544387,0.00497199999999998,0.006328,0.00503399999999998,0.00392300000000001,0.00533700000000004
