"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,500,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,500,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.793,86,88,91.304
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.725,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.871,5,96.154,90.909
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.703,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.755,192,84.615,90.909
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.916,20,96.154,95.455
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.808,157,80.769,100
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.746,990,88.889,80.952
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.423,495,64,78.261
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.841,86,88.889,95.238
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.873,495,96,91.304
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.667,571,91.667,75
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.664,515,84.615,81.818
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.693,0,100,0
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.804,687,85.185,95.238
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.787,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.916,106,96.154,95.455
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.612,495,88.462,72.727
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.864,490,100,86.364
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.748,495,88.462,86.364
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.873,460,100,87.324
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.873,475,97.183,90.141
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.873,374,96,91.304
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.772,343,96.296,80.952
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.962,495,96.154,100
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.794,348.5,88.462,90.909
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.703,495,88.462,81.818
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.748,439,88.462,86.364
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.955,424,100,95.455
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.81,354,100,80.952
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.79,495,92,86.957
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.783,323,92.593,85.714
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.83,495,96,86.957
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.583,495,91.667,66.667
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.878,500,92.308,95.455
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.952,424,100,95.238
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.857,384,100,85.714
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.664,865,84.615,81.818
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.962,343,96.154,100
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.794,667,88.462,90.909
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.864,328,100,86.364
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.839,662,88.462,95.455
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.901,247,91.549,98.592
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.775,247,78.873,98.592
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.833,247,92,91.304
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.661,0,100,0
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.909,422.5,100,90.909
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.671,247,80.769,86.364
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.65,407,92.308,72.727
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.479,247,61.538,86.364
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.839,308,88.462,95.455
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.598,247,74.074,85.714
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.746,404,92,82.609
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.635,247,77.778,85.714
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.79,256,92,86.957
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.583,388,91.667,66.667
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.748,396,88.462,86.364
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.672,255,81.481,85.714
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.735,55,92.593,80.952
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.664,247,84.615,81.818
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.755,268,84.615,90.909
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.479,281,61.538,86.364
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.864,381,100,86.364
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.381,247,65.385,72.727
