"rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN1_MAXENT.Phillips","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN2_MAXENT.Phillips","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN3_MAXENT.Phillips","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN4_MAXENT.Phillips","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_RUN5_MAXENT.Phillips","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GAM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GAM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GAM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GAM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GAM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GLM","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GLM","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GLM","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GLM","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_Full_GLM","rand1.CENTROSCYMNUS.COELOLEPIS_PA1_Full_MAXENT.Phillips","rand2.CENTROSCYMNUS.COELOLEPIS_PA1_Full_MAXENT.Phillips","rand3.CENTROSCYMNUS.COELOLEPIS_PA1_Full_MAXENT.Phillips","rand4.CENTROSCYMNUS.COELOLEPIS_PA1_Full_MAXENT.Phillips","rand5.CENTROSCYMNUS.COELOLEPIS_PA1_Full_MAXENT.Phillips"
0.866469,0.914906,0.927646,0.887385,0.894636,0.663048,0.644561,0.661174,0.659574,0.689682,0.941754,0.959966,0.959775,0.9408,0.924743,0.928043,0.860282,0.871912,0.853021,0.847181,0.824468,0.811493,0.839841,0.879424,0.858928,0.925527,0.929924,0.95904,0.925847,0.960959,0.863933,0.89972,0.893671,0.89744,0.89356,0.834797,0.807345,0.826803,0.844224,0.81959,0.84801,0.859012,0.8452,0.849662,0.860363,0.797972,0.790673,0.810154,0.783214,0.800805,0.861186,0.83651,0.816241,0.842081,0.852474,0.908709,0.955334,0.944291,0.954416,0.938989,0.926477,0.878625,0.881237,0.903432,0.886118,0.787745,0.782547,0.723562,0.767368,0.78854,0.888871,0.846365,0.83825,0.863943,0.858234,0.739869,0.773512,0.759242,0.703742,0.724743,0.810503,0.815153,0.829222,0.818071,0.822788,0.849359,0.868526,0.91232,0.861336,0.905003
0.730729,0.740414,0.716769,0.7115,0.730077,0.597504,0.575517,0.586526,0.586485,0.599481,0.012982,0.013522,0.015149,0.013399,0.013196,0.779456,0.785022,0.771693,0.829211,0.787226,0,0,0,0,0,0.059416,0.048944,0.059129,0.056701,0.055648,0.607422,0.636025,0.671993,0.610828,0.580136,0,0,0,0,0,0.040012,0.035616,0.037477,0.038332,0.036245,0.623202,0.640326,0.674849,0.640807,0.643551,0,0,0,0,0,0.146341,0.13577,0.152686,0.139186,0.154304,0.276343,0.248898,0.242739,0.23192,0.233723,0.606886,0.586079,0.571158,0.60956,0.610592,0.058214,0.052706,0.052381,0.057909,0.059974,0.736471,0.720253,0.682885,0.765577,0.74479,0,0,0,0,0,0.025743,0.0245339999999999,0.025852,0.023608,0.027092
0.499882,0.444072,0.519075,0.515769,0.494346,0.129654,0.118775,0.139474,0.140521,0.166708,0.011727,0.011982,0.012615,0.012135,0.012742,0.503221,0.505294,0.503284,0.494892,0.52318,0.257205,0.2382,0.230103,0.243603,0.235785,0.014138,0.016267,0.014601,0.016112,0.016377,0.29199,0.314928,0.309398,0.269124,0.319986,0.100004,0.105451,0.078296,0.092493,0.086964,0.0866,0.101337,0.100399,0.114201,0.112766,0.698988,0.632703,0.661232,0.732845,0.680227,0,0,0,0,0,0.00968800000000003,0.015748,0.013629,0.01153,0.00777300000000003,0.139727,0.152104,0.152516,0.145761,0.140748,0,0,0,0,0,0.052162,0.054,0.0488459999999999,0.052164,0.050719,0.34614,0.347306,0.36932,0.37521,0.355951,0,0,0,0,0,0.011751,0.011683,0.012225,0.011024,0.012023
0.757107,0.756839,0.714316,0.775129,0.709252,0,0,0,0,0,0.06187,0.055424,0.057361,0.058832,0.062922,0.936647,0.935033,0.898283,0.929627,0.893256,0,0,0,0,0,0.23093,0.213602,0.186163,0.236724,0.227496,0.756434,0.755112,0.771984,0.72465,0.755531,0,0,0,0,0,0.00488500000000003,0.00612199999999996,0.00497899999999996,0.00550600000000001,0.00551500000000005,0.692586,0.678602,0.701943,0.691119,0.719807,0,0,0,0,0,0.465075,0.470628,0.499572,0.52672,0.491006,0.648005,0.645193,0.634058,0.660431,0.647888,0,0,0,0,0,0,0,0,0,0,0.756305,0.791667,0.747671,0.764749,0.706959,0,0,0,0,0,0.00203399999999998,0.00204499999999996,0.00251000000000001,0.00232200000000005,0.00157200000000002
0.543392,0.521813,0.539988,0.54447,0.57998,0.890492,0.88777,0.882537,0.888491,0.864766,0.108165,0.101748,0.112719,0.109037,0.099732,0.511753,0.493915,0.487407,0.533049,0.502962,0,0,0,0,0,0.041002,0.048506,0.048165,0.052573,0.057744,0.790829,0.786274,0.811794,0.7685,0.7726,0.916738,0.927742,0.907813,0.939623,0.942093,0.162263,0.136291,0.164627,0.149068,0.125735,0.907478,0.913661,0.915,0.916399,0.926147,0,0,0,0,0,0.00671100000000002,0.00523600000000002,0.00590199999999996,0.00583400000000001,0.00540399999999996,0.521608,0.533393,0.507606,0.514907,0.547072,0,0,0,0,0,0.029003,0.0316109999999999,0.031731,0.0174530000000001,0.024919,0.93864,0.961787,0.954441,0.965103,0.964006,0,0,0,0,0,0.081711,0.07086,0.076932,0.0758720000000001,0.076536
0.676421,0.742821,0.774967,0.710002,0.727086,0,0,0,0,0,0,0,0,0,0,0.52831,0.531761,0.481321,0.53284,0.548354,0,0,0,0,0,0,0,0,0,0,0.66108,0.6717,0.738796,0.688699,0.68255,0.642311,0.650143,0.648241,0.640257,0.632079,0,0,0,0,0,0.757451,0.744618,0.767216,0.734096,0.723461,0,0,0,0,0,0,0,0,0,0,0.610414,0.556063,0.570985,0.563249,0.604699,0,0,0,0,0,0,0,0,0,0,0.724496,0.716892,0.712983,0.68695,0.694661,0,0,0,0,0,0.023356,0.02081,0.02025,0.019076,0.020567
0.785617,0.782721,0.75114,0.761709,0.769784,0,0,0,0,0,0.387284,0.380532,0.425772,0.366096,0.373998,0.872991,0.845314,0.84977,0.856618,0.862409,0,0,0,0,0,0.122136,0.117231,0.111731,0.114536,0.115302,0.622161,0.628945,0.622784,0.616074,0.618338,0,0,0,0,0,0.160901,0.158614,0.150206,0.152939,0.153522,0.774738,0.781527,0.74913,0.757857,0.750085,0.46621,0.450336,0.459981,0.447872,0.463019,0.00125799999999998,0.00100599999999995,0.00119400000000003,0.00144299999999997,0.001193,0.707366,0.663271,0.713642,0.715703,0.693062,0,0,0,0,0,0.560195,0.576256,0.581925,0.62364,0.61861,0.633558,0.607051,0.620215,0.645535,0.652552,0,0,0,0,0,0.229486,0.254783,0.24813,0.216598,0.199362
0.92427,0.900695,0.917153,0.911266,0.889287,0,0,0,0,0,0,0,0,0,0,0.948095,0.950362,0.910735,0.958854,0.945032,0.189444,0.187147,0.191514,0.175567,0.194109,0,0,0,0,0,0.754746,0.778328,0.761939,0.788841,0.765688,0.461063,0.461307,0.478444,0.470668,0.457895,0,0,0,0,0,0.934141,0.899023,0.948612,0.912016,0.915795,0.419487,0.410166,0.420371,0.430477,0.421845,0.00475400000000004,0.00517299999999998,0.00552799999999998,0.00505999999999995,0.00476299999999996,0.506936,0.505398,0.522711,0.517138,0.522779,0.762544,0.786651,0.784588,0.789176,0.780056,0,0,0,0,0,0.441784,0.426099,0.423671,0.488759,0.420552,0,0,0,0,0,0.023106,0.021137,0.026489,0.023276,0.022617
0.88424,0.88922,0.890442,0.881763,0.883388,0.162606,0.166938,0.170688,0.159365,0.159808,0.00958099999999995,0.00676299999999996,0.00799300000000003,0.00739400000000001,0.00719700000000001,0.974161,0.958597,0.975775,0.923573,0.972591,0,0,0,0,0,0.00637900000000002,0.00705900000000004,0.00675400000000004,0.00628399999999996,0.00644900000000004,0.759292,0.785272,0.738489,0.727635,0.777284,0,0.00283699999999998,0,0.00141899999999995,0,0.010283,0.00791399999999998,0.00811499999999998,0.010902,0.011031,0.838432,0.829182,0.869361,0.842068,0.85429,0,0,0,0,0,0,0,0,0,0,0.12259,0.13176,0.130338,0.128414,0.126877,0.302641,0.27778,0.277792,0.29685,0.284628,0.104221,0.0992499999999999,0.119781,0.086274,0.095893,0.313275,0.272886,0.283447,0.270272,0.293563,0,0,0,0,0,0.039758,0.037652,0.036268,0.038381,0.0354100000000001
0.50408,0.508472,0.520911,0.517495,0.529308,0.499674,0.498418,0.522296,0.508081,0.498599,0.013507,0.01411,0.012641,0.012306,0.014177,0.367945,0.429419,0.408278,0.354357,0.391176,0.693684,0.695979,0.675552,0.701504,0.668347,0.031393,0.02744,0.0300550000000001,0.030958,0.0298659999999999,0.475338,0.559597,0.461672,0.505165,0.496295,0.689981,0.70161,0.694569,0.710136,0.696783,0.027257,0.028201,0.028394,0.02759,0.0301360000000001,0.481507,0.530992,0.511813,0.529487,0.462865,0.297799,0.295372,0.324415,0.306042,0.291471,0.048057,0.048612,0.051352,0.047349,0.04702,0.362907,0.373478,0.345169,0.345993,0.341028,0.525161,0.519996,0.511146,0.540657,0.502539,0.00638300000000003,0.00687000000000004,0.00545499999999999,0.007216,0.00592499999999996,0.28639,0.330225,0.283618,0.338682,0.307136,0.687124,0.700812,0.693243,0.693958,0.675804,0.0153759999999999,0.014892,0.015482,0.017261,0.015591
