"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,561,100,99.88
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.439
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.24,980,25,99.038
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.49,788,50,98.958
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.923,610,100,92.271
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.789,20,100,78.766
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.962,156,100,96.154
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.699,488,100,69.792
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.852,141,100,85.176
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.804,0,100,0
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.949,199,100,94.874
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.888,258,100,88.782
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.929,392,100,92.949
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.898,305,100,89.824
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.912,429,100,91.186
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.906,341,100,90.625
