"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",1,495,100,100
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",1,495,100,100
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.714,495,85.714,85.714
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.357,495,64.286,71.429
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.917,818,91.667,100
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.019,495,76.923,25
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.923,817,92.308,100
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.721,495,84.615,87.5
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",NA,NA,NA,NA
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",NA,NA,NA,NA
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.625,621,100,62.5
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.5,0,100,0
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",NA,NA,NA,NA
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.673,495,92.308,75
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.286,91,57.143,71.429
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.5,495,78.571,71.429
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.25,495,91.667,33.333
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.596,495,84.615,75
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",NA,NA,NA,NA
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.673,495,92.308,75
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",NA,NA,NA,NA
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.643,0,100,0
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.889,705,88.889,100
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.667,799,66.667,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.5,461,92.857,57.143
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.571,632.5,71.429,85.714
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.667,438,100,66.667
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.192,247,69.231,50
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.625,411.5,100,62.5
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.471,304,84.615,62.5
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.798,493.5,92.308,87.5
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.548,475,92.308,62.5
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.673,473,92.308,75
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.571,423,85.714,71.429
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.721,495,84.615,75
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.769,662.5,76.923,100
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.714,454,100,71.429
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.714,668,85.714,85.714
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.611,431,83.333,77.778
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.471,453,84.615,62.5
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.583,12.5,91.667,66.667
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.673,508,92.308,75
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.769,600,76.923,100
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.571,411,85.714,71.429
