"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.998,949,100,99.78
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.488,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.244,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.679
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.492,15,50,99.199
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.737,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.83,495,85.714,97.276
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.69,495,75,93.99
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.983,359,100,98.317
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.483,495,50,98.317
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.247,768,25,99.679
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.948,495,100,94.792
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.95,207,100,94.973
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.942,200,100,94.151
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.937,79,100,93.59
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.933,104,100,93.349
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.944,239,100,94.391
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.951,199,100,95.032
