"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,99.96
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.496,616,50,99.6
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.498,985,50,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.996,990,100,99.6
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.76
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.939,798,100,93.854
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.939,827,100,93.915
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.486,944,50,98.559
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.951,898,100,95.036
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.953,858,100,95.116
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.493,990,50,99.279
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.887,455,100,88.709
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.923,558,100,92.314
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.926,442,100,92.634
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.906,527,100,90.633
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.934,544,100,93.435
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.918,425,100,91.753
