"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.835,462,98.871,84.609
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.785,384,93.548,84.936
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.767,106,96.129,80.529
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.775,152,96.774,80.769
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.75,192,94.839,80.128
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.762,151,96.129,80.048
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.795,536,96.452,83.006
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.794,601,93.548,85.897
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.762,621,92.258,83.974
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.79,648,94.194,84.776
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.776,516,96.129,81.41
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.762,482,95.484,80.689
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.821,192,96.774,85.21
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.778,91,94.839,82.933
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.774,60,98.065,79.327
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.77,222,92.258,84.615
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.783,166,94.839,83.494
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.749,141,92.258,82.612
