"rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN1_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN1_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN1_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN1_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN1_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN1_MAXENT.Phillips","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN2_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN2_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN2_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN2_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN2_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN2_MAXENT.Phillips","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN3_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN3_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN3_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN3_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN3_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN3_MAXENT.Phillips","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN4_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN4_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN4_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN4_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN4_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN4_MAXENT.Phillips","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN5_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_RUN5_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_RUN5_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_RUN5_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_RUN5_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_RUN5_MAXENT.Phillips","rand1.CRURIRAJA.PARCOMACULATA_PA1_Full_GAM","rand2.CRURIRAJA.PARCOMACULATA_PA1_Full_GAM","rand3.CRURIRAJA.PARCOMACULATA_PA1_Full_GAM","rand4.CRURIRAJA.PARCOMACULATA_PA1_Full_GAM","rand5.CRURIRAJA.PARCOMACULATA_PA1_Full_GAM","rand1.CRURIRAJA.PARCOMACULATA_PA1_Full_GLM","rand2.CRURIRAJA.PARCOMACULATA_PA1_Full_GLM","rand3.CRURIRAJA.PARCOMACULATA_PA1_Full_GLM","rand4.CRURIRAJA.PARCOMACULATA_PA1_Full_GLM","rand5.CRURIRAJA.PARCOMACULATA_PA1_Full_GLM","rand1.CRURIRAJA.PARCOMACULATA_PA1_Full_MAXENT.Phillips","rand2.CRURIRAJA.PARCOMACULATA_PA1_Full_MAXENT.Phillips","rand3.CRURIRAJA.PARCOMACULATA_PA1_Full_MAXENT.Phillips","rand4.CRURIRAJA.PARCOMACULATA_PA1_Full_MAXENT.Phillips","rand5.CRURIRAJA.PARCOMACULATA_PA1_Full_MAXENT.Phillips"
0.703305,0.732012,0.722901,0.726407,0.718674,0.647662,0.63076,0.653697,0.638546,0.654723,0.807587,0.813445,0.812937,0.800647,0.847877,0.836277,0.842785,0.849309,0.835141,0.868046,0.563348,0.549207,0.54605,0.548157,0.571129,0.76528,0.798935,0.777789,0.762791,0.768558,0.781428,0.764212,0.767811,0.768881,0.775026,0.811712,0.820029,0.821554,0.79851,0.806279,0.706857,0.692623,0.657941,0.690702,0.67796,0.761917,0.735744,0.72949,0.741715,0.762862,0.709538,0.71386,0.717647,0.720181,0.706419,0.739953,0.768007,0.734221,0.716693,0.74857,0.785072,0.768214,0.77058,0.784553,0.767487,0.771047,0.799335,0.767407,0.757982,0.751985,0.701226,0.69647,0.687961,0.686037,0.680205,0.705934,0.71895,0.705635,0.699819,0.721736,0.775714,0.757326,0.752335,0.756116,0.737931,0.690064,0.71104,0.707902,0.71222,0.705327
0.448238,0.445919,0.431417,0.422469,0.424234,0.025004,0.024448,0.0241749999999999,0.026369,0.02398,0.012215,0.011565,0.01309,0.011541,0.014128,0.286195,0.300945,0.291303,0.296775,0.293704,0.242785,0.261964,0.251494,0.252083,0.250191,0.012538,0.0132910000000001,0.012202,0.013097,0.013907,0.417582,0.415321,0.42464,0.412928,0.42051,0,0,0,0,0,0.00621000000000005,0.00688200000000005,0.00640099999999999,0.006606,0.00669500000000001,0.529274,0.554111,0.545573,0.538429,0.52888,0.299642,0.299741,0.304888,0.302588,0.29499,0.034247,0.033457,0.0320780000000001,0.033547,0.034809,0.458518,0.439209,0.450612,0.458964,0.457813,0.039395,0.036672,0.042784,0.038179,0.0379429999999999,0.000356000000000023,0.000342999999999982,0.000376000000000043,0.00037100000000001,0.000344000000000011,0.383983,0.392751,0.396214,0.400998,0.389784,0.067925,0.071931,0.070267,0.070458,0.0715249999999999,0.019625,0.020739,0.018089,0.021083,0.018301
0.338171,0.346234,0.36028,0.342646,0.345184,0,0,0,0,0,0.000654000000000043,0.00122800000000001,0.001135,0.000672000000000006,0.000812000000000035,0.372654,0.382555,0.393712,0.381792,0.3675,0.046448,0.0440739999999999,0.045168,0.045629,0.044565,0.00511600000000001,0.00541999999999998,0.00527999999999995,0.00481699999999996,0.005193,0.322229,0.329313,0.338241,0.337045,0.337731,0.0218739999999999,0.0219510000000001,0.021101,0.020859,0.021267,0.00509400000000004,0.00505699999999998,0.00534800000000002,0.00503799999999999,0.00483,0.277264,0.276448,0.270143,0.261853,0.263618,0.391028,0.395098,0.37545,0.373036,0.383264,0.013031,0.012717,0.01247,0.010422,0.012479,0.304196,0.299893,0.295958,0.316371,0.321243,0,0,0,0,0,0.00935399999999997,0.00991900000000001,0.009961,0.00925799999999999,0.010095,0.264623,0.256749,0.258704,0.269784,0.252528,0.08941,0.091168,0.085311,0.084635,0.08595,0.00554900000000003,0.00520900000000002,0.00567099999999998,0.00497999999999998,0.00544199999999995
0.149517,0.147401,0.144432,0.151457,0.145146,0.020002,0.019171,0.0193759999999999,0.018968,0.019326,0.042948,0.042686,0.0441009999999999,0.041388,0.0399350000000001,0.147334,0.145103,0.155753,0.144122,0.135071,0.11786,0.11341,0.120619,0.11887,0.119934,0.0481549999999999,0.043692,0.044349,0.048476,0.045319,0.096157,0.085406,0.091786,0.091355,0.094275,0.050951,0.048801,0.048059,0.045898,0.052069,0.011362,0.011428,0.012606,0.011421,0.011883,0.100755,0.107902,0.099102,0.107508,0.103578,0.023394,0.02355,0.023474,0.023462,0.0238080000000001,0.01381,0.014767,0.014113,0.015752,0.019865,0.16274,0.160823,0.167446,0.15823,0.159576,0,0,0,0,0,0.034474,0.0336649999999999,0.0291709999999999,0.03249,0.0299160000000001,0.148975,0.157624,0.15754,0.156969,0.150843,0.028231,0.026627,0.027563,0.028701,0.030369,0.015141,0.01533,0.015638,0.014485,0.015621
0.231942,0.231156,0.225126,0.221858,0.220835,0.164326,0.150981,0.170416,0.152093,0.165796,0.221927,0.212542,0.207273,0.216712,0.214922,0.191976,0.201083,0.187684,0.189595,0.199808,0.237495,0.223339,0.227244,0.234183,0.239154,0.103382,0.10261,0.101801,0.10716,0.102432,0.229593,0.231871,0.225198,0.247851,0.221499,0.0539539999999999,0.049524,0.052863,0.049018,0.051588,0.0306340000000001,0.031255,0.03235,0.031153,0.032271,0.124671,0.138933,0.1417,0.143301,0.124209,0.040402,0.042391,0.042614,0.04435,0.041172,0.03615,0.036836,0.036559,0.036865,0.0355529999999999,0.167339,0.162561,0.164614,0.168568,0.161289,0.01663,0.017,0.017011,0.017693,0.017316,0.11965,0.121192,0.120094,0.123894,0.120292,0.153536,0.172565,0.169411,0.164985,0.158964,0.037864,0.035705,0.038152,0.0359159999999999,0.038131,0.051908,0.053658,0.053348,0.051067,0.0535
0.0829,0.085614,0.080793,0.083395,0.085925,0.048106,0.050217,0.049368,0.052469,0.049,0.003548,0.00348700000000002,0.00337100000000001,0.00373699999999999,0.00310100000000002,0.099875,0.109437,0.100931,0.102919,0.097205,0.115451,0.11235,0.115175,0.11502,0.110241,0.023451,0.021312,0.025176,0.018934,0.022767,0.115388,0.122995,0.123896,0.124671,0.116691,0.104666,0.101668,0.1103,0.103614,0.105831,0.010289,0.0111830000000001,0.0102100000000001,0.010645,0.010329,0.169156,0.173414,0.162655,0.161742,0.166039,0.249454,0.248047,0.247792,0.247407,0.244248,0.014144,0.012985,0.014754,0.014431,0.012429,0.089824,0.09357,0.093584,0.090673,0.0891690000000001,0.039892,0.037965,0.040193,0.038893,0.038493,0.029635,0.033531,0.031606,0.033075,0.031295,0.0316610000000001,0.029381,0.030964,0.032762,0.030243,0.072981,0.074102,0.073661,0.073055,0.073819,0.011813,0.011974,0.012507,0.012061,0.014706
0.325046,0.325235,0.332343,0.332647,0.314314,0.109026,0.107481,0.10818,0.113122,0.109225,0.00579600000000002,0.00675099999999995,0.00682700000000003,0.00561100000000003,0.005548,0.174744,0.166853,0.184484,0.17337,0.175429,0,0,0,0,0,0.00508399999999998,0.00429100000000004,0.00457600000000002,0.00456599999999996,0.00458899999999995,0.11411,0.112535,0.111353,0.119261,0.112845,0,0,0,0,0,0.000812999999999953,0.000762999999999958,0.000743999999999967,0.000782999999999978,0.000744999999999996,0.145276,0.148002,0.143679,0.145649,0.14421,0,0,0,0,0,0.00122,0.00116099999999997,0.00116499999999997,0.00119100000000005,0.001108,0.160815,0.164819,0.166596,0.163842,0.174771,0.057988,0.053063,0.057375,0.055017,0.053572,0.00616099999999997,0.00618600000000002,0.00600199999999995,0.00645099999999998,0.00647799999999998,0.174738,0.16509,0.170409,0.174677,0.176379,0,0,0,0,0,0.00190000000000001,0.00206300000000004,0.00202800000000003,0.00212900000000005,0.00198200000000004
0.055839,0.055691,0.052748,0.053796,0.054055,0.095832,0.100314,0.09488,0.0985549999999999,0.09994,0.138481,0.12761,0.128575,0.13198,0.134777,0.0379890000000001,0.038125,0.0419310000000001,0.033712,0.035371,0.099514,0.103914,0.101551,0.100934,0.100152,0.065743,0.075128,0.069898,0.06673,0.070766,0.096661,0.103192,0.100836,0.096544,0.097541,0.0333329999999999,0.0333639999999999,0.031886,0.033443,0.03456,0.0112950000000001,0.011514,0.012435,0.012245,0.011866,0.062028,0.062511,0.058599,0.061844,0.0619499999999999,0.094269,0.097617,0.097207,0.094839,0.098828,0.019118,0.01891,0.01903,0.01842,0.019366,0.000647999999999982,0.000616999999999979,0.000607000000000024,0.000609999999999999,0.000650999999999957,0.026672,0.026768,0.025018,0.026682,0.025326,0.00934500000000005,0.00924599999999998,0.00945099999999999,0.00940399999999997,0.00952299999999995,0.061899,0.055528,0.052987,0.048588,0.046925,0.040353,0.041066,0.041022,0.04009,0.042482,0.013602,0.015052,0.0150130000000001,0.013428,0.014346
0.374115,0.357742,0.35961,0.359334,0.357121,0,0,0,0,0,0.02146,0.022127,0.020127,0.022871,0.020537,0.337141,0.329339,0.338636,0.326915,0.33511,0,0,0,0,0,0.013818,0.013904,0.015811,0.014006,0.013966,0.28789,0.286217,0.293301,0.269207,0.299093,0.091337,0.094042,0.102654,0.093338,0.096496,0.00817400000000001,0.00818700000000006,0.00814700000000002,0.00938099999999997,0.00898699999999997,0.339226,0.334934,0.34472,0.328173,0.34523,0.067217,0.070388,0.078211,0.067845,0.0711000000000001,0.026844,0.024886,0.024895,0.023292,0.027867,0.287127,0.296331,0.304695,0.294652,0.312691,0,0,0,0,0,0.0376379999999999,0.034641,0.037146,0.040376,0.038751,0.309743,0.318252,0.315881,0.306838,0.321036,0.021245,0.023172,0.0219510000000001,0.0211479999999999,0.02249,0.020503,0.019331,0.023934,0.024859,0.019359
0.119202,0.121593,0.121692,0.11466,0.120552,0.149042,0.150048,0.146974,0.149914,0.153633,0.00398500000000002,0.00398299999999996,0.00387099999999996,0.00405100000000003,0.00375300000000001,0.125376,0.126333,0.121698,0.11844,0.125002,0.181862,0.191404,0.187046,0.181742,0.186572,0.00401399999999996,0.00412199999999996,0.00386600000000004,0.00436099999999995,0.00408500000000001,0.021474,0.018931,0.021326,0.021514,0.020058,0.0303,0.030786,0.0308850000000001,0.0313099999999999,0.032295,0.004633,0.00439100000000003,0.00424999999999998,0.00473299999999999,0.00454600000000005,0.109486,0.115763,0.108099,0.110067,0.117294,0.177773,0.169593,0.177123,0.174143,0.172141,0.000573999999999963,0.000634000000000023,0.000793999999999961,0.000801999999999969,0.000704999999999956,0.200365,0.199026,0.203328,0.208516,0.198628,0.230421,0.221078,0.228554,0.225704,0.231697,0.00802599999999998,0.00892800000000005,0.00926499999999997,0.00851599999999997,0.008714,0.158179,0.15897,0.16592,0.160123,0.159883,0.028551,0.028728,0.028797,0.030598,0.030143,0.00168800000000002,0.00179700000000005,0.00204899999999997,0.00195400000000001,0.00184700000000004
