"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,566,100,99.86
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.66,965,66.667,99.359
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.44
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.325,833,33.333,99.199
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.119
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.326,990,33.333,99.279
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.899,595,100,89.91
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.753,703,100,75.26
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,1000,0,99.44
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.94,837,100,93.995
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.761,290,100,75.981
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.785,759,100,78.463
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.905,408,100,90.49
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.932,549,100,93.034
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.914,487,100,91.353
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.958,613,100,95.837
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.888,462,100,88.791
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.941,549,100,94.075
