"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.978,500,100,97.826
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.951,545,99.457,95.652
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.866,409,96.078,90.566
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.768,495,86.275,90.566
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.768,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.673,0,100,0
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.728,495,78.431,94.34
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.827,0,100,0
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.75,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.753,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.904,293,96.154,94.231
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.713,980,81.132,90.196
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.67,0,100,0
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.787,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.885,227,92.308,96.154
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.694,495,90.196,79.245
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.713,354,83.333,88
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.693,71,83.019,86.275
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.865,515,96.154,90.385
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.846,0,100,0
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.845,237,94.34,90.196
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.853,468,97.283,88.043
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.929,438,100,92.935
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.83,144,100,83.019
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.868,366,100,86.792
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.887,120,100,86.792
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.883,96,98.113,90.196
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.865,462,96.154,90.385
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.925,355,100,92.453
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.866,498,96.078,90.566
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.865,116,98.077,88.462
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.829,756,86.792,96.078
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.942,449,96.154,98.077
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.824,215,100,82.353
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.828,768,94.118,88.679
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.865,574,94.34,92.157
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.923,318,100,92.308
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.826,784,90.196,92.453
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.88,20,100,88
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.824,559,98.113,84.314
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.846,641,94.231,90.385
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.904,373,100,90.385
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.806,155,94.34,86.275
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.799,639.5,80.435,99.457
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.935,802,93.478,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.887,13.5,100,88.679
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.866,381,94.118,92.453
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.788,115,88.235,90.566
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.882,228.5,100,88.235
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.788,179,86.538,92.308
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.867,9,98.039,88.679
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.635,0,100,0
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.865,113,96.154,90.385
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.694,249.5,81.132,88.235
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.885,226,92.308,96.154
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.692,452.5,84.906,84.314
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.887,83,100,88.679
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.825,18,96.226,86.275
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.885,252,98.077,90.385
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.866,151.5,96.078,90.566
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.821,4.5,98.148,84
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.789,549.5,88.679,90.196
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.788,9,98.077,80.769
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.923,46,100,92.308
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.785,0,100,0
