"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.975,843,100,97.458
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.771,495,82.5,94.637
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.809,0,100,0
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.685,495,74.194,94.32
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.867,341,93.548,93.04
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.747,495,81.25,93.435
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.851,30,96.875,88.231
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.913,65,98.75,92.536
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.882,150,93.75,94.476
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.854,179,90.323,95.04
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.861,63,93.548,92.56
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.901,82,96.875,93.195
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.858,62,93.75,92.074
