"rand1.DEANIA.CALCEUS_PA1_RUN1_GLM","rand2.DEANIA.CALCEUS_PA1_RUN1_GLM","rand3.DEANIA.CALCEUS_PA1_RUN1_GLM","rand4.DEANIA.CALCEUS_PA1_RUN1_GLM","rand5.DEANIA.CALCEUS_PA1_RUN1_GLM","rand1.DEANIA.CALCEUS_PA1_RUN1_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_RUN1_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_RUN1_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_RUN1_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_RUN1_MAXENT.Phillips","rand1.DEANIA.CALCEUS_PA1_RUN2_GLM","rand2.DEANIA.CALCEUS_PA1_RUN2_GLM","rand3.DEANIA.CALCEUS_PA1_RUN2_GLM","rand4.DEANIA.CALCEUS_PA1_RUN2_GLM","rand5.DEANIA.CALCEUS_PA1_RUN2_GLM","rand1.DEANIA.CALCEUS_PA1_RUN2_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_RUN2_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_RUN2_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_RUN2_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_RUN2_MAXENT.Phillips","rand1.DEANIA.CALCEUS_PA1_RUN3_GLM","rand2.DEANIA.CALCEUS_PA1_RUN3_GLM","rand3.DEANIA.CALCEUS_PA1_RUN3_GLM","rand4.DEANIA.CALCEUS_PA1_RUN3_GLM","rand5.DEANIA.CALCEUS_PA1_RUN3_GLM","rand1.DEANIA.CALCEUS_PA1_RUN3_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_RUN3_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_RUN3_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_RUN3_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_RUN3_MAXENT.Phillips","rand1.DEANIA.CALCEUS_PA1_RUN4_GLM","rand2.DEANIA.CALCEUS_PA1_RUN4_GLM","rand3.DEANIA.CALCEUS_PA1_RUN4_GLM","rand4.DEANIA.CALCEUS_PA1_RUN4_GLM","rand5.DEANIA.CALCEUS_PA1_RUN4_GLM","rand1.DEANIA.CALCEUS_PA1_RUN4_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_RUN4_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_RUN4_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_RUN4_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_RUN4_MAXENT.Phillips","rand1.DEANIA.CALCEUS_PA1_RUN5_GLM","rand2.DEANIA.CALCEUS_PA1_RUN5_GLM","rand3.DEANIA.CALCEUS_PA1_RUN5_GLM","rand4.DEANIA.CALCEUS_PA1_RUN5_GLM","rand5.DEANIA.CALCEUS_PA1_RUN5_GLM","rand1.DEANIA.CALCEUS_PA1_RUN5_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_RUN5_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_RUN5_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_RUN5_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_RUN5_MAXENT.Phillips","rand1.DEANIA.CALCEUS_PA1_Full_GAM","rand2.DEANIA.CALCEUS_PA1_Full_GAM","rand3.DEANIA.CALCEUS_PA1_Full_GAM","rand4.DEANIA.CALCEUS_PA1_Full_GAM","rand5.DEANIA.CALCEUS_PA1_Full_GAM","rand1.DEANIA.CALCEUS_PA1_Full_GLM","rand2.DEANIA.CALCEUS_PA1_Full_GLM","rand3.DEANIA.CALCEUS_PA1_Full_GLM","rand4.DEANIA.CALCEUS_PA1_Full_GLM","rand5.DEANIA.CALCEUS_PA1_Full_GLM","rand1.DEANIA.CALCEUS_PA1_Full_MAXENT.Phillips","rand2.DEANIA.CALCEUS_PA1_Full_MAXENT.Phillips","rand3.DEANIA.CALCEUS_PA1_Full_MAXENT.Phillips","rand4.DEANIA.CALCEUS_PA1_Full_MAXENT.Phillips","rand5.DEANIA.CALCEUS_PA1_Full_MAXENT.Phillips"
0.829405,0.802818,0.846657,0.799138,0.822814,0.907917,0.913205,0.882867,0.904685,0.860215,0.8797,0.877834,0.851672,0.906665,0.8742,0.902664,0.884163,0.899473,0.877054,0.896239,0.666537,0.689526,0.654814,0.692599,0.66253,0.920299,0.940526,0.930636,0.939003,0.977371,0.980226,0.953626,0.980827,0.964701,0.954222,0.888831,0.892243,0.871966,0.87516,0.882129,0.865432,0.810392,0.825559,0.868637,0.835773,0.875157,0.874384,0.90733,0.920197,0.893754,0.871367,0.87843,0.826839,0.872904,0.807598,0.829604,0.810774,0.806684,0.805057,0.825772,0.903602,0.911864,0.910078,0.81515,0.868941
0.570545,0.548635,0.556584,0.561694,0.555156,0.291096,0.316673,0.302593,0.306304,0.305819,0.605361,0.620392,0.584961,0.610636,0.601284,0.018266,0.017981,0.017685,0.020576,0.01918,0,0,0,0,0,0.071694,0.086956,0.074387,0.073939,0.076171,0.541577,0.53654,0.555209,0.545033,0.534415,0.062082,0.069814,0.066111,0.0722930000000001,0.067092,0,0,0,0,0,0.0432399999999999,0.047358,0.047868,0.045451,0.048052,0.615764,0.622707,0.622824,0.642035,0.589944,0.566156,0.57971,0.569823,0.550879,0.568539,0.12407,0.125497,0.140888,0.132988,0.128259
0.283028,0.265403,0.254221,0.281475,0.280541,0.010441,0.00859600000000005,0.010825,0.013005,0.010137,0.341341,0.31534,0.340367,0.335576,0.3479,0.03574,0.038257,0.038307,0.041547,0.03927,0.209552,0.202002,0.189779,0.19614,0.184566,0.018257,0.019197,0.015572,0.020187,0.0185959999999999,0,0,0,0,0,0.000862000000000029,0.000832000000000055,0.000906999999999991,0.000929999999999986,0.00100199999999995,0.184,0.194985,0.188224,0.206988,0.199006,0.025786,0.017595,0.022764,0.014269,0.018566,0.36306,0.373339,0.334795,0.354989,0.371029,0.129854,0.122809,0.117519,0.147877,0.140632,0.00338799999999995,0.00310699999999997,0.00324500000000005,0.00277899999999998,0.003359
0.902762,0.908944,0.912151,0.929345,0.939604,0.165689,0.168062,0.17479,0.17708,0.174756,0.779023,0.76331,0.777134,0.792909,0.787199,0,0,0,0,0,0.645464,0.658617,0.638455,0.635995,0.66112,0.045615,0.040481,0.040327,0.04653,0.045887,0.674741,0.70413,0.687077,0.677509,0.692355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513687,0.524255,0.564039,0.572473,0.520052,0,0,0,0,0,0.000904000000000016,0.00100800000000001,0.000914999999999999,0.000925999999999982,0.000936000000000048
0,0,0,0,0,0.017273,0.025624,0.02473,0.018903,0.023638,0.276589,0.25266,0.238902,0.262677,0.233828,0.00219800000000003,0.00318499999999999,0.00236000000000003,0.00334299999999998,0.00286799999999998,0.596099,0.587445,0.585022,0.609375,0.612876,0.000828000000000051,0.00103299999999995,0.000928999999999958,0.00104800000000005,0.000851999999999964,0,0,0,0,0,2.8000000000028e-05,3.29999999999497e-05,2.89999999999457e-05,2.8000000000028e-05,3.39999999999785e-05,0.418296,0.431106,0.413605,0.422967,0.420174,0.037212,0.03066,0.039537,0.02964,0.033536,0.669025,0.728827,0.72463,0.713498,0.6952,0,0,0,0,0,0.015856,0.016976,0.017231,0.017754,0.021573
0.39857,0.425887,0.370808,0.409877,0.410715,0.057127,0.065999,0.058998,0.062312,0.061984,0.826771,0.852976,0.7923,0.833468,0.841752,0,0,0,0,0,0.382239,0.390187,0.384669,0.388834,0.38499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431618,0.423131,0.427996,0.412174,0.425387,9.80000000000425e-05,9.09999999999522e-05,0.00011300000000003,9.80000000000425e-05,9.30000000000097e-05,0.340645,0.334917,0.354237,0.340785,0.358289,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.317239,0.274744,0.276247,0.304411,0.289042,1,1,1,1,1,0.338143,0.375891,0.308995,0.328407,0.323233,0.187846,0.229618,0.208792,0.207142,0.225329,0.218661,0.20254,0.19285,0.180391,0.171378,0.061219,0.054214,0.063751,0.059438,0.056734,0.449702,0.476063,0.437504,0.453773,0.418766,0.846594,0.870195,0.881749,0.836396,0.879583,0.377209,0.374064,0.366156,0.365283,0.368119,0.5332,0.517606,0.529472,0.531612,0.545739,0.871767,0.88,0.855248,0.850822,0.878141,0.531804,0.516985,0.501932,0.509961,0.495392
0.3943,0.401222,0.424408,0.433736,0.406839,0,0,0,0,0,0.362991,0.3763,0.396034,0.362763,0.380767,0,0,0,0,0,0.465267,0.464722,0.423674,0.449132,0.475984,0.000122999999999984,0.000114999999999976,0.00011899999999998,0.000133999999999967,0.000172999999999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665138,0.659223,0.663661,0.66117,0.678066,0,0,0,0,0,0.000909000000000049,0.000894999999999979,0.000939000000000023,0.000909000000000049,0.000888
0.134375,0.125517,0.134008,0.138701,0.132313,0.042177,0.0455449999999999,0.041229,0.03888,0.040114,0,0,0,0,0,0.086542,0.100047,0.0881690000000001,0.0964159999999999,0.0912809999999999,0.245813,0.267104,0.25469,0.228238,0.254557,0.017962,0.021281,0.020541,0.019115,0.0178700000000001,0.0660230000000001,0.082155,0.072128,0.073483,0.081055,0.063978,0.059764,0.070639,0.064159,0.06111,0.060177,0.056943,0.058632,0.060727,0.055073,0.042996,0.037143,0.036025,0.038844,0.043283,0.684069,0.620754,0.647456,0.619062,0.635911,0,0,0,0,0,0.035125,0.0297460000000001,0.032148,0.028672,0.036716
0.466978,0.460916,0.446897,0.462096,0.463496,0.014311,0.011341,0.014304,0.013216,0.012358,0.326964,0.333027,0.345603,0.340843,0.307605,0.028383,0.027544,0.027656,0.033979,0.0302750000000001,0.264695,0.25959,0.251875,0.322561,0.286389,0.053056,0.056469,0.065778,0.065617,0.063791,0.608495,0.587071,0.591782,0.592578,0.595644,0.045198,0.0466760000000001,0.045517,0.0422169999999999,0.044848,0,0,0,0,0,0.052843,0.042506,0.047336,0.042273,0.046143,0.336896,0.330099,0.36898,0.301092,0.323743,0.343188,0.338566,0.35505,0.3399,0.321944,0.016886,0.015563,0.015448,0.01627,0.018196
