"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.8,298,100,80
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.733,495,88.889,84.444
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.812,379,100,81.25
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.786,414,100,78.571
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.619,182,90.476,71.429
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.944,767,94.444,100
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.633,10,90,73.333
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.878,424,95.455,92.308
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.77,429,89.474,87.5
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.765,121,100,76.471
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.947,545,94.737,93.75
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.717,919,85,86.667
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.833,101,90.476,92.857
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.78,0,100,0
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.738,71,95.238,78.571
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.383,495,65,73.333
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.78,296,84.211,93.75
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.95,263,95,100
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.738,250,95.238,78.571
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.8,475,80,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.598,490,83.333,76.471
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.65,495,85,80
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.956,615,97.778,97.778
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.956,717,95.556,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.562,734.5,100,56.25
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.786,247,100,78.571
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.571,695.5,100,57.143
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.716,822.5,83.333,88.235
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.183,259,45,73.333
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.923,500,100,92.308
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.822,281,94.737,87.5
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.765,415,100,76.471
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.625,432.5,100,62.5
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.75,368,95,80
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.667,247,80.952,85.714
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.582,247,89.474,68.75
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.5,247,85.714,64.286
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.767,417.5,90,86.667
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.645,247,89.474,75
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.767,329,90,86.667
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.571,375,100,57.143
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.9,327,90,100
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.824,206.5,100,82.353
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.55,0,100,0
