"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.81,581.5,95.238,85.714
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",1,495,100,100
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.536,495,63.636,90
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.722,495,83.333,88.889
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.155,495,45.455,70
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.583,495,91.667,66.667
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.528,495,75,77.778
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.722,495,83.333,88.889
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.694,495,91.667,77.778
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.5,495,83.333,66.667
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.636,495,63.636,100
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.718,495,81.818,90
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.722,122,83.333,88.889
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.472,495,91.667,55.556
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.536,864,63.636,90
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.556,495,100,55.556
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.418,495,81.818,60
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.7,495,100,70
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.6,535,100,60
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.6,495,100,60
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.627,495,72.727,90
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.556,10,66.667,88.889
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.905,605.5,90.476,100
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.952,247,100,95.238
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.055,391,45.455,60
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.889,200,100,88.889
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.727,710,72.727,100
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.583,388,91.667,66.667
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.778,128.5,100,77.778
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.667,395,100,66.667
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.389,16,83.333,55.556
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.5,475,83.333,66.667
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.718,541,81.818,90
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.409,382,90.909,50
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.556,237,66.667,88.889
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.389,402,83.333,55.556
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.318,0,100,0
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.361,247,91.667,44.444
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.309,355,90.909,40
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.364,562,36.364,100
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.2,356,100,20
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.309,247,90.909,40
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.609,242,90.909,70
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.611,770,83.333,77.778
