"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.997,965,100,99.68
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,98.719
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.275,636,28.571,98.959
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.274,949,28.571,98.799
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,98.799
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.266,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.955,758,100,95.455
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.887,0,100,0
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.92,162,100,91.994
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.932,247.5,100,93.195
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.771,91,85.714,91.433
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.752,658,100,75.18
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.889,189,96.429,92.432
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.853,54,100,85.348
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.958,352,100,95.837
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.95,340,100,94.956
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.94,276,100,93.915
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.779,219,85.714,92.074
