"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.817,511,97.753,83.989
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.81,391,98.174,82.865
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.798,566,97.838,81.967
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.755,521,96.216,79.235
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.848,582,95.135,89.617
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.788,273,98.37,80.435
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.831,343,99.459,83.607
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.777,298,94.595,83.06
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.838,399,97.268,86.486
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.748,347,95.161,79.67
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.814,354,99.459,81.967
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.809,339,96.216,84.699
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.792,407,97.849,81.319
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.809,605,95.135,85.792
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.777,368,95.652,82.065
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.749,187,98.378,76.503
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.832,319,98.37,84.783
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.814,352,97.849,83.516
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.793,401,97.297,81.967
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.786,363,98.387,80.22
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.824,321,96.791,85.635
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.798,407,97.297,82.514
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.794,518,96.348,83.006
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.809,508,97.051,83.567
