"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,495,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.902,323,98.039,92.157
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.667,415,96.078,70.588
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.62,0,100,0
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.629,460,94.444,68.421
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.412,495,83.333,57.895
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.681,48,94.444,73.684
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.678,495,78.947,88.889
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.617,734,89.474,72.222
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.459,500,73.684,72.222
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.789,443,100,78.947
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.715,130,95,76.471
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.782,346,90,88.235
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.518,495,83.333,68.421
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.625,309.5,100,62.5
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.827,128,95.238,87.5
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.515,760,77.778,73.684
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.722,495,100,72.222
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.656,263.5,95,70.588
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.789,202,100,78.947
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.456,649,78.947,66.667
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.468,495,57.895,88.889
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.725,25,94.737,77.778
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.843,683,86.275,98.039
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.824,516.5,86.275,96.078
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.512,419,78.947,72.222
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.579,248,100,57.895
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.57,522.5,83.333,73.684
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.459,411,72.222,73.684
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.836,512,94.737,88.889
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.45,241,89.474,55.556
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.737,688,73.684,100
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.681,304.5,94.444,73.684
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.606,806,90,70.588
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.774,222.5,95,82.353
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.52,45,88.889,63.158
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.607,390,85.714,75
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.857,217,85.714,100
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.187,291,55.556,63.158
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.561,30.5,89.474,66.667
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.388,247,80,58.824
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.781,466,83.333,94.737
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.509,247,84.211,66.667
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.725,432,94.737,77.778
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.62,257,84.211,77.778
