"rand1.DIPTURUS.SPRINGERI_PA1_RUN1_GAM","rand2.DIPTURUS.SPRINGERI_PA1_RUN1_GAM","rand3.DIPTURUS.SPRINGERI_PA1_RUN1_GAM","rand4.DIPTURUS.SPRINGERI_PA1_RUN1_GAM","rand5.DIPTURUS.SPRINGERI_PA1_RUN1_GAM","rand1.DIPTURUS.SPRINGERI_PA1_RUN1_GLM","rand2.DIPTURUS.SPRINGERI_PA1_RUN1_GLM","rand3.DIPTURUS.SPRINGERI_PA1_RUN1_GLM","rand4.DIPTURUS.SPRINGERI_PA1_RUN1_GLM","rand5.DIPTURUS.SPRINGERI_PA1_RUN1_GLM","rand1.DIPTURUS.SPRINGERI_PA1_RUN1_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_RUN1_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_RUN1_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_RUN1_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_RUN1_MAXENT.Phillips","rand1.DIPTURUS.SPRINGERI_PA1_RUN2_GAM","rand2.DIPTURUS.SPRINGERI_PA1_RUN2_GAM","rand3.DIPTURUS.SPRINGERI_PA1_RUN2_GAM","rand4.DIPTURUS.SPRINGERI_PA1_RUN2_GAM","rand5.DIPTURUS.SPRINGERI_PA1_RUN2_GAM","rand1.DIPTURUS.SPRINGERI_PA1_RUN2_GLM","rand2.DIPTURUS.SPRINGERI_PA1_RUN2_GLM","rand3.DIPTURUS.SPRINGERI_PA1_RUN2_GLM","rand4.DIPTURUS.SPRINGERI_PA1_RUN2_GLM","rand5.DIPTURUS.SPRINGERI_PA1_RUN2_GLM","rand1.DIPTURUS.SPRINGERI_PA1_RUN2_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_RUN2_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_RUN2_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_RUN2_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_RUN2_MAXENT.Phillips","rand1.DIPTURUS.SPRINGERI_PA1_RUN3_GAM","rand2.DIPTURUS.SPRINGERI_PA1_RUN3_GAM","rand3.DIPTURUS.SPRINGERI_PA1_RUN3_GAM","rand4.DIPTURUS.SPRINGERI_PA1_RUN3_GAM","rand5.DIPTURUS.SPRINGERI_PA1_RUN3_GAM","rand1.DIPTURUS.SPRINGERI_PA1_RUN3_GLM","rand2.DIPTURUS.SPRINGERI_PA1_RUN3_GLM","rand3.DIPTURUS.SPRINGERI_PA1_RUN3_GLM","rand4.DIPTURUS.SPRINGERI_PA1_RUN3_GLM","rand5.DIPTURUS.SPRINGERI_PA1_RUN3_GLM","rand1.DIPTURUS.SPRINGERI_PA1_RUN3_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_RUN3_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_RUN3_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_RUN3_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_RUN3_MAXENT.Phillips","rand1.DIPTURUS.SPRINGERI_PA1_RUN4_GAM","rand2.DIPTURUS.SPRINGERI_PA1_RUN4_GAM","rand3.DIPTURUS.SPRINGERI_PA1_RUN4_GAM","rand4.DIPTURUS.SPRINGERI_PA1_RUN4_GAM","rand5.DIPTURUS.SPRINGERI_PA1_RUN4_GAM","rand1.DIPTURUS.SPRINGERI_PA1_RUN4_GLM","rand2.DIPTURUS.SPRINGERI_PA1_RUN4_GLM","rand3.DIPTURUS.SPRINGERI_PA1_RUN4_GLM","rand4.DIPTURUS.SPRINGERI_PA1_RUN4_GLM","rand5.DIPTURUS.SPRINGERI_PA1_RUN4_GLM","rand1.DIPTURUS.SPRINGERI_PA1_RUN4_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_RUN4_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_RUN4_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_RUN4_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_RUN4_MAXENT.Phillips","rand1.DIPTURUS.SPRINGERI_PA1_RUN5_GAM","rand2.DIPTURUS.SPRINGERI_PA1_RUN5_GAM","rand3.DIPTURUS.SPRINGERI_PA1_RUN5_GAM","rand4.DIPTURUS.SPRINGERI_PA1_RUN5_GAM","rand5.DIPTURUS.SPRINGERI_PA1_RUN5_GAM","rand1.DIPTURUS.SPRINGERI_PA1_RUN5_GLM","rand2.DIPTURUS.SPRINGERI_PA1_RUN5_GLM","rand3.DIPTURUS.SPRINGERI_PA1_RUN5_GLM","rand4.DIPTURUS.SPRINGERI_PA1_RUN5_GLM","rand5.DIPTURUS.SPRINGERI_PA1_RUN5_GLM","rand1.DIPTURUS.SPRINGERI_PA1_RUN5_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_RUN5_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_RUN5_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_RUN5_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_RUN5_MAXENT.Phillips","rand1.DIPTURUS.SPRINGERI_PA1_Full_GAM","rand2.DIPTURUS.SPRINGERI_PA1_Full_GAM","rand3.DIPTURUS.SPRINGERI_PA1_Full_GAM","rand4.DIPTURUS.SPRINGERI_PA1_Full_GAM","rand5.DIPTURUS.SPRINGERI_PA1_Full_GAM","rand1.DIPTURUS.SPRINGERI_PA1_Full_GLM","rand2.DIPTURUS.SPRINGERI_PA1_Full_GLM","rand3.DIPTURUS.SPRINGERI_PA1_Full_GLM","rand4.DIPTURUS.SPRINGERI_PA1_Full_GLM","rand5.DIPTURUS.SPRINGERI_PA1_Full_GLM","rand1.DIPTURUS.SPRINGERI_PA1_Full_MAXENT.Phillips","rand2.DIPTURUS.SPRINGERI_PA1_Full_MAXENT.Phillips","rand3.DIPTURUS.SPRINGERI_PA1_Full_MAXENT.Phillips","rand4.DIPTURUS.SPRINGERI_PA1_Full_MAXENT.Phillips","rand5.DIPTURUS.SPRINGERI_PA1_Full_MAXENT.Phillips"
0.89189,0.906362,0.935379,0.906605,0.881835,0.480411,0.472161,0.46651,0.471228,0.450692,0.863733,0.842063,0.844475,0.886381,0.836692,0.882838,0.848661,0.818752,0.915082,0.819737,0.539407,0.538572,0.538093,0.556568,0.544658,0.924932,0.922041,0.917248,0.926278,0.908403,0.903987,0.912803,0.848226,0.872109,0.890616,0.553482,0.540308,0.526051,0.549981,0.524185,0.851947,0.864456,0.848719,0.891043,0.865344,0.805583,0.77186,0.835934,0.84333,0.844693,0.538509,0.554168,0.550121,0.533042,0.531351,0.899595,0.867855,0.847161,0.847164,0.859427,0.837334,0.826135,0.888431,0.813514,0.92,0.397104,0.404159,0.398171,0.423135,0.392844,0.808725,0.842178,0.812479,0.779699,0.822408,0.680654,0.74433,0.747382,0.72765,0.695168,0.571618,0.564757,0.560525,0.563136,0.585527,0.893744,0.893357,0.908542,0.89678,0.921378
0.692065,0.727179,0.693005,0.713287,0.712952,0.483649,0.500651,0.493429,0.496893,0.495133,0.15026,0.133824,0.128098,0.134113,0.146889,0.682873,0.645375,0.661148,0.678082,0.662043,0.389786,0.388996,0.390431,0.371852,0.395538,0.090604,0.095507,0.094265,0.098869,0.099007,0.787904,0.773197,0.770735,0.808394,0.795262,0.321224,0.309958,0.299688,0.308322,0.292014,0.041677,0.042297,0.041806,0.04158,0.0445680000000001,0.740917,0.726531,0.731725,0.695482,0.683275,0.439894,0.44241,0.451736,0.452462,0.446024,0.012545,0.012273,0.012899,0.00967200000000001,0.010919,0.637833,0.614812,0.633102,0.610765,0.631293,0.538602,0.543778,0.538379,0.567615,0.561452,0.112235,0.110796,0.101702,0.112087,0.104924,0.486873,0.498443,0.508504,0.486679,0.518269,0,0,0,0,0,0.044158,0.045513,0.04753,0.046355,0.045058
0.600822,0.524236,0.589314,0.610975,0.591492,0.078111,0.081157,0.079267,0.080566,0.076827,0.048803,0.053941,0.0545600000000001,0.050499,0.049955,0.349109,0.341576,0.360779,0.323211,0.382641,0.100064,0.092346,0.091488,0.103403,0.098652,0.076752,0.072673,0.077576,0.074529,0.074685,0.465822,0.41244,0.474853,0.44831,0.444849,0.067589,0.068645,0.066342,0.069415,0.071182,0.036884,0.038311,0.041201,0.035453,0.0379930000000001,0.380094,0.379406,0.396513,0.368254,0.409513,0.14292,0.143135,0.148601,0.150865,0.144072,0.142011,0.134926,0.137541,0.13983,0.129871,0.552412,0.521972,0.505603,0.561066,0.504837,0.108582,0.115547,0.112275,0.118115,0.111028,0.00239500000000004,0.00273900000000005,0.00303100000000001,0.00310999999999995,0.00364500000000001,0.320672,0.314093,0.309015,0.313376,0.317333,0.081959,0.084246,0.085458,0.0934160000000001,0.085501,0.116621,0.112677,0.11397,0.110463,0.109875
0.671762,0.666193,0.680907,0.675518,0.662511,0,0,0,0,0,0.134852,0.139486,0.136877,0.12966,0.118806,0.676392,0.647748,0.659004,0.650922,0.633241,0.482483,0.48452,0.468064,0.483622,0.478817,0.445137,0.463546,0.436112,0.430627,0.470403,0.758294,0.761262,0.78112,0.793442,0.809966,0.24213,0.2552,0.249353,0.255452,0.254997,0,0,0,0,0,0.747813,0.763019,0.724223,0.769129,0.722111,0,0,0,0,0,0.010263,0.00998900000000003,0.01106,0.00976699999999997,0.00986500000000001,0.666274,0.650353,0.664406,0.659064,0.662556,0.486877,0.480064,0.476767,0.453065,0.483063,0.000735999999999959,0.000685000000000047,0.000747000000000053,0.000762999999999958,0.000688000000000022,0.49883,0.486842,0.471559,0.488071,0.495402,0.647408,0.617688,0.632913,0.637348,0.636906,0,0,0,0,0
0.779545,0.722424,0.808247,0.743616,0.758799,0.971482,0.972907,0.954552,0.973609,0.964922,0.000407000000000046,0.000554000000000054,0.000357000000000052,0.000466999999999995,0.000341000000000036,0.794728,0.793832,0.800139,0.753023,0.767186,0.859885,0.862276,0.862058,0.848739,0.858433,0.000543999999999989,0.000554999999999972,0.000519000000000047,0.000511000000000039,0.000530999999999948,0.797961,0.776574,0.788964,0.75577,0.80247,0,0,0,0,0,0.375225,0.371461,0.373715,0.371971,0.392763,0.766583,0.749837,0.726686,0.760689,0.710591,0.885861,0.868565,0.887601,0.888277,0.898175,0.201043,0.20122,0.188099,0.202431,0.198256,0.803124,0.821687,0.852365,0.82446,0.77993,1,0.998303,1,1,0.995307,0.186454,0.212881,0.192403,0.189664,0.207645,0.675216,0.680619,0.674592,0.634953,0.664679,0.833247,0.822936,0.822361,0.840202,0.831351,0.227726,0.215571,0.21297,0.22033,0.215011
0.729689,0.727889,0.729707,0.734915,0.744753,0.507462,0.519166,0.519242,0.494957,0.500523,0,0,0,0,0,0.628798,0.600437,0.660857,0.640448,0.591897,0,0,0,0,0,4.000000000004e-06,5.00000000003276e-06,5.00000000003276e-06,5.00000000003276e-06,4.000000000004e-06,0.961447,0.949563,0.991588,0.971462,0.949007,0.657532,0.665762,0.665976,0.656554,0.646025,0,0,0,0,0,0.966342,0.960789,0.967986,0.958978,0.979308,0.678225,0.660974,0.634991,0.653872,0.648001,0,0,0,0,0,0.811997,0.811883,0.828211,0.813237,0.806776,0.813977,0.856891,0.850544,0.835218,0.845739,0,0,0,0,0,0.744775,0.721228,0.744931,0.731222,0.75331,0.241859,0.221711,0.238826,0.23907,0.234437,0.001417,0.000862999999999947,0.000581999999999971,0.000747999999999971,0.000716999999999968
0.773307,0.824176,0.806668,0.805931,0.782548,0.554149,0.5645,0.534077,0.564729,0.556177,0,0,0,0,0,0.641117,0.614349,0.660778,0.62071,0.643032,0.335084,0.344923,0.328859,0.308704,0.337217,0,0,0,0,0,0.746383,0.753099,0.731174,0.791481,0.705858,0.464944,0.48654,0.49266,0.469649,0.469206,0,0,0,0,0,0.787234,0.804343,0.800247,0.787258,0.813497,0.515373,0.517201,0.513655,0.543459,0.525241,0.00373199999999996,0.00382700000000002,0.00365300000000002,0.00365700000000002,0.00362700000000005,0.709561,0.703808,0.711386,0.676364,0.708879,0.520825,0.514413,0.511554,0.489051,0.519697,0.10892,0.11718,0.106357,0.105249,0.109171,0.534937,0.553834,0.519039,0.516243,0.518276,0.19427,0.2015,0.18781,0.193464,0.199156,0.049655,0.048735,0.051777,0.0541509999999999,0.051198
0.887093,0.912866,0.880798,0.892508,0.879749,0.665215,0.660119,0.678829,0.663804,0.666571,0.061163,0.059339,0.060422,0.068763,0.070678,0.37159,0.362032,0.383757,0.322988,0.389016,0.363376,0.361275,0.344101,0.351764,0.349179,0,0,0,0,0,0.798014,0.778275,0.828491,0.792666,0.788067,0.352923,0.359393,0.352122,0.349629,0.353306,0,0,0,0,0,0.780556,0.777589,0.772528,0.777084,0.73583,0.413281,0.415677,0.412061,0.412059,0.422269,0,0,0,0,0,0.706089,0.751417,0.740814,0.726351,0.733274,0.908599,0.921655,0.917569,0.906535,0.925957,0.003579,0.00384200000000001,0.00383999999999995,0.00347799999999998,0.003606,0.574913,0.531156,0.564078,0.573972,0.561185,0.304673,0.301393,0.312145,0.284052,0.295399,0,0,0,0,0
0.624079,0.645394,0.590492,0.619203,0.625848,0.164277,0.16144,0.178064,0.171323,0.161555,0.096939,0.09624,0.104903,0.0915,0.080515,0.660621,0.634571,0.64309,0.611422,0.641933,0.179207,0.171747,0.163563,0.166527,0.160812,0.047671,0.0500159999999999,0.0475719999999999,0.045813,0.046771,0.826049,0.839885,0.834954,0.86259,0.850058,0.265423,0.247505,0.24064,0.24447,0.253803,0.106335,0.099895,0.10115,0.108953,0.098623,0.577199,0.554809,0.596898,0.557138,0.569075,0.084752,0.083127,0.091221,0.093622,0.098564,0.330408,0.320973,0.31526,0.31298,0.31581,0.509904,0.482002,0.492054,0.504653,0.545189,0.615391,0.595055,0.610482,0.612552,0.586824,0.0538419999999999,0.055377,0.055934,0.049489,0.049503,0.399751,0.400354,0.404296,0.440643,0.380534,0.070784,0.0620889999999999,0.069068,0.068385,0.071331,0.097498,0.103393,0.100559,0.10791,0.097747
0.476548,0.500125,0.513114,0.515445,0.489042,0.743423,0.700267,0.722969,0.728451,0.713179,0.08895,0.083994,0.092487,0.0944469999999999,0.091333,0.353971,0.383006,0.39403,0.351617,0.409014,0.81531,0.83032,0.805763,0.80986,0.811896,0.065918,0.068097,0.067253,0.067954,0.065577,0.447213,0.335666,0.349996,0.432836,0.391773,0.777016,0.808793,0.814907,0.797946,0.824279,0.134489,0.127277,0.133951,0.136974,0.129997,0.3318,0.399163,0.426511,0.400455,0.398734,0.772378,0.778146,0.818356,0.795653,0.796409,0.10734,0.108162,0.101911,0.106622,0.109951,0.479689,0.531766,0.455857,0.434101,0.451672,0.741843,0.746501,0.71171,0.740902,0.757203,0.057848,0.056396,0.05253,0.04997,0.056338,0.288194,0.322288,0.320026,0.288207,0.326563,0.803303,0.807627,0.812645,0.806369,0.802119,0.039652,0.039469,0.037431,0.038291,0.041619
