"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,510,100,99.96
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.84
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.52
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.84
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.76
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.76
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.937,775,100,93.674
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.491,990,50,99.119
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.47,0,100,0
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.987,990,100,98.639
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.458,111,50,95.757
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.949,763,100,94.796
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.843,318,100,84.164
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.945,559,100,94.476
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.958,629,100,95.757
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.883,389,100,88.231
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.906,478,100,90.633
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.835,234,100,83.347
