"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,515,100,99.9
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.497,909,50,99.679
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.494,5,50,99.359
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.498,495,50,99.76
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.599
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.946,737,100,94.611
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.772,693,100,77.244
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.941,889,100,94.071
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.496,985,50,99.599
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.982,881,100,98.237
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.756,695,100,75.481
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.715,392,100,71.514
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.731,435,100,73.077
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.853,547,100,85.337
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.865,544,100,86.458
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.85,544,100,84.856
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.693,396,100,69.311
