"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.738,495,85.593,88.246
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.764,495,86.047,90.385
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.646,495,75.61,89.04
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.759,495,83.333,92.554
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.775,495,93.023,84.455
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.701,495,90.476,79.664
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.899,75,97.458,92.431
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.899,114,97.674,92.147
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.873,90,95.122,92.16
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.904,145,97.619,92.794
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.893,61,100,89.183
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.9,70,97.619,92.394
