"rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN1_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN1_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN1_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN1_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN1_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN1_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN1_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN1_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN1_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN1_MAXENT.Phillips","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN2_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN2_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN2_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN2_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN2_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN2_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN2_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN2_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN2_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN2_MAXENT.Phillips","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN3_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN3_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN3_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN3_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN3_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN3_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN3_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN3_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN3_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN3_MAXENT.Phillips","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN4_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN4_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN4_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN4_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN4_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN4_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN4_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN4_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN4_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN4_MAXENT.Phillips","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN5_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN5_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN5_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN5_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN5_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_RUN5_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_RUN5_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_RUN5_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_RUN5_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_RUN5_MAXENT.Phillips","rand1.ETMOPTERUS.COMPAGNOI_PA1_Full_GLM","rand2.ETMOPTERUS.COMPAGNOI_PA1_Full_GLM","rand3.ETMOPTERUS.COMPAGNOI_PA1_Full_GLM","rand4.ETMOPTERUS.COMPAGNOI_PA1_Full_GLM","rand5.ETMOPTERUS.COMPAGNOI_PA1_Full_GLM","rand1.ETMOPTERUS.COMPAGNOI_PA1_Full_MAXENT.Phillips","rand2.ETMOPTERUS.COMPAGNOI_PA1_Full_MAXENT.Phillips","rand3.ETMOPTERUS.COMPAGNOI_PA1_Full_MAXENT.Phillips","rand4.ETMOPTERUS.COMPAGNOI_PA1_Full_MAXENT.Phillips","rand5.ETMOPTERUS.COMPAGNOI_PA1_Full_MAXENT.Phillips"
1,0.955193,0.989742,0.980012,0.979255,0.983247,0.992827,0.934364,0.988925,0.944903,1,1,1,1,1,0.962888,0.961057,0.959473,1,0.950818,0.929662,0.963511,0.913612,0.935104,0.940338,0.974701,0.969661,0.949994,0.958415,0.933343,0.608897,0.596633,0.590356,0.623737,0.606674,0.98119,0.966324,0.965119,0.972347,0.96139,0.914628,0.922747,0.92538,0.909566,0.921889,0.954782,0.8947,0.887581,0.859752,0.894195,0.994738,0.990337,0.987647,0.991697,0.970519,0.929947,0.940988,0.931039,0.920386,0.978083
0.243872,0.22782,0.229165,0.22346,0.209277,0.033774,0.033245,0.032298,0.035685,0.036279,0.652018,0.694983,0.67229,0.658345,0.654857,0.00219800000000003,0.00389600000000001,0.001942,0.00225500000000001,0.00501200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021665,0.02116,0.02033,0.021289,0.020137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761699999999998,0.00718700000000005,0.00762200000000002,0.00717100000000004,0.00724599999999997
0.433159,0.404975,0.406074,0.417719,0.424311,0.00586200000000003,0.00597999999999999,0.00638099999999997,0.00620799999999999,0.00592000000000004,0.426445,0.407404,0.435349,0.437752,0.438205,0.050068,0.0503400000000001,0.052499,0.054081,0.048219,0,0,0,0,0,0,0,0,0,0,0.297813,0.302305,0.296501,0.291136,0.314594,0.000909999999999966,0.000896000000000008,0.000924999999999954,0.000998999999999972,0.000959999999999961,0.21322,0.204983,0.203823,0.218711,0.197305,0,0,0,0,0,0,0,0,0,0,0.034327,0.033488,0.0308659999999999,0.030511,0.033382
0,0,0,0,0,0,0,0,0,0,0.48058,0.486908,0.510889,0.481211,0.483509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02761,0.027572,0.027691,0.031933,0.023356
0,0,0,0,0,0.00716300000000003,0.00704700000000003,0.00733300000000003,0.00739199999999995,0.00712599999999997,0,0,0,0,0,0.00659900000000002,0.00603200000000004,0.00713799999999998,0.00764200000000004,0.00700900000000004,0.227026,0.179665,0.206572,0.214304,0.192932,0.00109099999999995,0.001162,0.00105900000000003,0.000986000000000042,0.00106899999999999,0,0,0,0,0,0.00633700000000004,0.00621700000000003,0.00629900000000005,0.00531099999999995,0.00671200000000005,0.00680499999999995,0.00510100000000002,0.00623499999999999,0.00680499999999995,0.00680199999999997,0.05849,0.069723,0.071963,0.072755,0.0620810000000001,0,0,0,0,0,0.038563,0.037183,0.036296,0.037512,0.036936
0,0,0,0,0,0.0815630000000001,0.078919,0.073729,0.072674,0.080742,0.495938,0.483742,0.460169,0.505625,0.477256,0.016317,0.0161480000000001,0.017124,0.017234,0.015299,0,0,0,0,0,0.082261,0.095002,0.090066,0.081718,0.085421,0.315602,0.32997,0.324967,0.335818,0.325484,0.00451100000000004,0.006629,0.00597400000000003,0.00657600000000003,0.00711700000000004,0,0,0,0,0,0.013283,0.013006,0.012285,0.01497,0.014375,0,0,0,0,0,0.00183299999999997,0.00169799999999998,0.00155000000000005,0.00174700000000005,0.00164600000000004
0.215815,0.231842,0.219786,0.234891,0.24409,0,0,0,0,0,0,0,0,0,0,0.0193489999999999,0.015724,0.017533,0.016413,0.016767,0,0,0,0,0,0.017969,0.021031,0.020938,0.020885,0.022342,0,0,0,0,0,4.30000000000152e-05,3.69999999999537e-05,4.19999999999865e-05,4.8000000000048e-05,4.8000000000048e-05,0,0,0,0,0,0.000506000000000006,0.000618000000000007,0.000615000000000032,0.000566999999999984,0.000472999999999946,0,0,0,0,0,0.00055000000000005,0.000499000000000027,0.000456000000000012,0.000577999999999967,0.000465000000000049
0.039842,0.047672,0.057096,0.0577569999999999,0.048938,0,0,0,0,0,0.30432,0.325996,0.329562,0.334405,0.337728,0.020477,0.019925,0.02047,0.022665,0.023083,0.249515,0.261544,0.262014,0.246525,0.232492,0.013228,0.011659,0.012825,0.015956,0.0154029999999999,0.325169,0.350747,0.333882,0.339582,0.350758,0.048528,0.048238,0.047512,0.047579,0.0508459999999999,0,0,0,0,0,0.00457600000000002,0.00462799999999997,0.00568100000000005,0.00654999999999994,0.00648700000000002,0.293856,0.28831,0.286991,0.31342,0.274623,0.00174300000000005,0.00201300000000004,0.00204199999999999,0.001911,0.00223200000000001
0.167549,0.178683,0.189462,0.189673,0.180358,0,0,0,0,0,0.657225,0.660388,0.633707,0.63852,0.623645,0.00079499999999999,0.000978000000000034,0.00092800000000004,0.000824999999999965,0.000587000000000004,0.029341,0.023778,0.02929,0.030581,0.033855,0,0,0,0,0,0.277236,0.267362,0.269049,0.285795,0.275168,0,0,0,0,0,0,0,0,0,0,0.00217500000000004,0.002224,0.00231599999999998,0.00226599999999999,0.00202899999999995,0,0,0,0,0,0.003996,0.00408200000000003,0.00390500000000005,0.00378800000000001,0.00439500000000004
0,0,0,0,0,0.00349999999999995,0.00318099999999999,0.003745,0.00345899999999999,0.00326700000000002,0.400816,0.393134,0.41797,0.377411,0.391493,0.013191,0.014642,0.0149629999999999,0.012532,0.013738,0,0,0,0,0,0,0,0,0,0,0.679508,0.68776,0.679357,0.679973,0.690751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047488,0.0484059999999999,0.047675,0.045517,0.049252
