"rand1.ETMOPTERUS.PUSILLUS_PA1_RUN1_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN1_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN1_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN1_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN1_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN1_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN1_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN1_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN1_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN1_MAXENT.Phillips","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN2_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN2_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN2_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN2_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN2_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN2_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN2_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN2_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN2_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN2_MAXENT.Phillips","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN3_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN3_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN3_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN3_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN3_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN3_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN3_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN3_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN3_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN3_MAXENT.Phillips","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN4_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN4_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN4_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN4_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN4_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN4_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN4_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN4_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN4_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN4_MAXENT.Phillips","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN5_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN5_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN5_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN5_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN5_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_RUN5_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_RUN5_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_RUN5_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_RUN5_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_RUN5_MAXENT.Phillips","rand1.ETMOPTERUS.PUSILLUS_PA1_Full_GAM","rand2.ETMOPTERUS.PUSILLUS_PA1_Full_GAM","rand3.ETMOPTERUS.PUSILLUS_PA1_Full_GAM","rand4.ETMOPTERUS.PUSILLUS_PA1_Full_GAM","rand5.ETMOPTERUS.PUSILLUS_PA1_Full_GAM","rand1.ETMOPTERUS.PUSILLUS_PA1_Full_GLM","rand2.ETMOPTERUS.PUSILLUS_PA1_Full_GLM","rand3.ETMOPTERUS.PUSILLUS_PA1_Full_GLM","rand4.ETMOPTERUS.PUSILLUS_PA1_Full_GLM","rand5.ETMOPTERUS.PUSILLUS_PA1_Full_GLM","rand1.ETMOPTERUS.PUSILLUS_PA1_Full_MAXENT.Phillips","rand2.ETMOPTERUS.PUSILLUS_PA1_Full_MAXENT.Phillips","rand3.ETMOPTERUS.PUSILLUS_PA1_Full_MAXENT.Phillips","rand4.ETMOPTERUS.PUSILLUS_PA1_Full_MAXENT.Phillips","rand5.ETMOPTERUS.PUSILLUS_PA1_Full_MAXENT.Phillips"
0.936898,0.889349,0.889661,0.933907,0.939541,0.794582,0.802233,0.810651,0.795796,0.814542,0.740367,0.778369,0.774645,0.775949,0.771737,0.926571,0.888578,0.89568,0.860393,0.878161,0.527136,0.539395,0.567386,0.517604,0.521489,0.328579,0.325912,0.296035,0.311223,0.309947,0.86019,0.821092,0.862736,0.8442,0.861298,0.577069,0.559415,0.588548,0.579969,0.566219,0.899758,0.860392,0.900097,0.868876,0.855058,0.547833,0.530938,0.583159,0.541282,0.536257,0.845769,0.858155,0.850149,0.953219,0.904551,0.829659,0.810599,0.823585,0.792997,0.795737,0.816535,0.854216,0.779873,0.796332,0.82347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401967,0.409778,0.396096,0.378426,0.393445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841343,0.818253,0.852375,0.810186,0.841112,0,0,0,0,0,0.255333,0.24495,0.261495,0.24427,0.276601
0.338616,0.326094,0.337728,0.356311,0.335007,0,0,0,0,0,0.629816,0.561337,0.597593,0.619798,0.612259,0,0,0,0,0,0.808747,0.758296,0.787372,0.813353,0.789857,0.294451,0.289104,0.310275,0.284161,0.282625,0,0,0,0,0,0,0,0,0,0,0.305514,0.298085,0.309776,0.308747,0.304198,0,0,0,0,0,0.470542,0.585165,0.583709,0.582228,0.604102,0,0,0,0,0,0.252598,0.290781,0.250445,0.281707,0.295302
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75857,0.774236,0.753569,0.756442,0.739324,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319999999999987,0.000314999999999954,0.000330000000000052,0.000318999999999958,0.000318999999999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944033,0.896455,0.838962,0.830084,0.88638,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046454,0.043941,0.046007,0.044543,0.045721,0.423471,0.417952,0.418103,0.414269,0.42507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858028,0.812058,0.822499,0.801547,0.840585,0,0,0,0,0,0.010189,0.0091,0.00972200000000001,0.01002,0.00846199999999997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816617,0.841013,0.825095,0.866566,0.85804,0,0,0,0,0,0.010703,0.012588,0.011886,0.012367,0.011968
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857242,0.868005,0.854792,0.860042,0.870427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902803,0.886786,0.851683,0.878856,0.858068,0,0,0,0,0,0,0,0,0,0
0.124444,0.120882,0.110194,0.117611,0.117887,0,0,0,0,0,0.138007,0.132254,0.13195,0.135951,0.132475,0,0,0,0,0,0.0370279999999999,0.039924,0.036753,0.040834,0.037544,0,0,0,0,0,0,0,0,0,0,0.00970800000000005,0.00992499999999996,0.00976699999999997,0.00968100000000005,0.00991399999999998,0.117631,0.109239,0.110894,0.105679,0.103592,0,0,0,0,0,0.918656,0.899212,0.925449,0.890258,0.855921,0,0,0,0,0,0.0189859999999999,0.021637,0.020755,0.021524,0.017417
0,0,0,0,0,0.295906,0.297681,0.305466,0.293694,0.309441,0,0,0,0,0,0.132308,0.13064,0.130083,0.131266,0.130768,0,0,0,0,0,0.785812,0.797388,0.803815,0.793059,0.81411,0,0,0,0,0,0.601938,0.57251,0.614088,0.560858,0.591991,0,0,0,0,0,0.654474,0.622497,0.630004,0.645164,0.652257,0.607865,0.602611,0.677222,0.714567,0.556795,0.472608,0.468266,0.493361,0.49386,0.494327,0.053136,0.052161,0.0506720000000001,0.052041,0.050972
